experiment_id,org_id,variant,assigned_at,eligible_segment
onboarding_guided_v1,org_00033,treatment,2025-12-18T00:00:00,SMB
onboarding_guided_v1,org_00034,treatment,2025-06-23T00:00:00,SMB
onboarding_guided_v1,org_00035,control,2025-05-21T00:00:00,Mid-Market
onboarding_guided_v1,org_00036,control,2025-10-12T00:00:00,SMB
onboarding_guided_v1,org_00037,control,2025-03-01T00:00:00,Mid-Market
onboarding_guided_v1,org_00038,treatment,2025-02-16T00:00:00,Enterprise
onboarding_guided_v1,org_00039,treatment,2025-12-17T00:00:00,SMB
onboarding_guided_v1,org_00040,treatment,2025-03-16T00:00:00,SMB
onboarding_guided_v1,org_00041,treatment,2025-04-21T00:00:00,Mid-Market
onboarding_guided_v1,org_00042,treatment,2025-03-31T00:00:00,Mid-Market
onboarding_guided_v1,org_00043,control,2025-11-03T00:00:00,SMB
onboarding_guided_v1,org_00044,treatment,2025-05-26T00:00:00,SMB
onboarding_guided_v1,org_00045,control,2025-06-15T00:00:00,Enterprise
onboarding_guided_v1,org_00046,treatment,2025-04-14T00:00:00,SMB
onboarding_guided_v1,org_00047,control,2025-10-23T00:00:00,SMB
onboarding_guided_v1,org_00048,treatment,2025-02-12T00:00:00,SMB
onboarding_guided_v1,org_00049,treatment,2025-02-20T00:00:00,SMB
onboarding_guided_v1,org_00050,treatment,2025-03-03T00:00:00,Mid-Market
onboarding_guided_v1,org_00051,treatment,2025-01-17T00:00:00,SMB
onboarding_guided_v1,org_00052,treatment,2025-04-16T00:00:00,SMB
onboarding_guided_v1,org_00053,treatment,2025-11-23T00:00:00,SMB
onboarding_guided_v1,org_00054,treatment,2025-03-14T00:00:00,SMB
onboarding_guided_v1,org_00055,control,2025-09-01T00:00:00,SMB
onboarding_guided_v1,org_00056,treatment,2025-09-06T00:00:00,SMB
onboarding_guided_v1,org_00057,treatment,2025-02-28T00:00:00,SMB
onboarding_guided_v1,org_00058,control,2025-08-01T00:00:00,SMB
onboarding_guided_v1,org_00059,treatment,2025-01-14T00:00:00,Enterprise
onboarding_guided_v1,org_00060,control,2025-10-16T00:00:00,SMB
onboarding_guided_v1,org_00061,treatment,2025-11-13T00:00:00,Enterprise
onboarding_guided_v1,org_00062,treatment,2025-07-27T00:00:00,SMB
onboarding_guided_v1,org_00063,treatment,2025-01-25T00:00:00,SMB
onboarding_guided_v1,org_00064,treatment,2025-01-23T00:00:00,Mid-Market
onboarding_guided_v1,org_00065,control,2025-08-19T00:00:00,SMB
onboarding_guided_v1,org_00066,control,2025-09-30T00:00:00,SMB
onboarding_guided_v1,org_00067,control,2025-07-20T00:00:00,SMB
onboarding_guided_v1,org_00068,control,2025-04-25T00:00:00,SMB
onboarding_guided_v1,org_00069,control,2025-12-30T00:00:00,SMB
onboarding_guided_v1,org_00070,treatment,2025-03-06T00:00:00,SMB
onboarding_guided_v1,org_00071,treatment,2025-08-27T00:00:00,SMB
onboarding_guided_v1,org_00072,control,2025-04-04T00:00:00,SMB
onboarding_guided_v1,org_00073,treatment,2025-11-10T00:00:00,SMB
onboarding_guided_v1,org_00074,treatment,2025-01-26T00:00:00,SMB
onboarding_guided_v1,org_00075,treatment,2025-03-31T00:00:00,SMB
onboarding_guided_v1,org_00076,control,2025-09-05T00:00:00,Enterprise
onboarding_guided_v1,org_00077,control,2025-06-13T00:00:00,SMB
onboarding_guided_v1,org_00078,treatment,2025-02-26T00:00:00,Mid-Market
onboarding_guided_v1,org_00079,control,2025-06-20T00:00:00,SMB
onboarding_guided_v1,org_00080,control,2025-10-03T00:00:00,Enterprise
onboarding_guided_v1,org_00081,control,2025-06-10T00:00:00,SMB
onboarding_guided_v1,org_00082,treatment,2025-06-12T00:00:00,Mid-Market
onboarding_guided_v1,org_00083,control,2025-01-27T00:00:00,Enterprise
onboarding_guided_v1,org_00084,control,2025-05-12T00:00:00,Mid-Market
onboarding_guided_v1,org_00085,treatment,2025-10-06T00:00:00,Enterprise
onboarding_guided_v1,org_00086,treatment,2025-09-14T00:00:00,SMB
onboarding_guided_v1,org_00087,treatment,2025-08-14T00:00:00,SMB
onboarding_guided_v1,org_00088,control,2025-04-15T00:00:00,SMB
onboarding_guided_v1,org_00089,treatment,2025-12-24T00:00:00,SMB
onboarding_guided_v1,org_00090,control,2025-07-04T00:00:00,SMB
onboarding_guided_v1,org_00091,treatment,2025-09-28T00:00:00,SMB
onboarding_guided_v1,org_00092,control,2025-09-17T00:00:00,Enterprise
onboarding_guided_v1,org_00093,treatment,2025-10-10T00:00:00,Mid-Market
onboarding_guided_v1,org_00094,control,2025-04-09T00:00:00,SMB
onboarding_guided_v1,org_00095,treatment,2025-12-20T00:00:00,SMB
onboarding_guided_v1,org_00096,control,2025-04-05T00:00:00,Enterprise
onboarding_guided_v1,org_00097,treatment,2025-05-04T00:00:00,SMB
onboarding_guided_v1,org_00098,treatment,2025-08-03T00:00:00,SMB
onboarding_guided_v1,org_00099,control,2025-11-11T00:00:00,SMB
onboarding_guided_v1,org_00100,treatment,2025-04-25T00:00:00,Enterprise
onboarding_guided_v1,org_00101,control,2025-08-13T00:00:00,SMB
onboarding_guided_v1,org_00102,control,2025-09-23T00:00:00,Mid-Market
onboarding_guided_v1,org_00103,treatment,2025-10-18T00:00:00,SMB
onboarding_guided_v1,org_00104,treatment,2025-07-24T00:00:00,SMB
onboarding_guided_v1,org_00105,treatment,2025-07-22T00:00:00,SMB
onboarding_guided_v1,org_00106,treatment,2025-10-04T00:00:00,Mid-Market
onboarding_guided_v1,org_00107,control,2025-06-25T00:00:00,SMB
onboarding_guided_v1,org_00108,control,2025-05-20T00:00:00,Enterprise
onboarding_guided_v1,org_00109,treatment,2025-08-25T00:00:00,Enterprise
onboarding_guided_v1,org_00110,treatment,2025-06-08T00:00:00,Enterprise
onboarding_guided_v1,org_00111,control,2025-02-12T00:00:00,Mid-Market
onboarding_guided_v1,org_00112,control,2025-12-06T00:00:00,Mid-Market
onboarding_guided_v1,org_00113,treatment,2025-02-07T00:00:00,SMB
onboarding_guided_v1,org_00114,treatment,2025-12-29T00:00:00,SMB
onboarding_guided_v1,org_00115,control,2025-03-24T00:00:00,SMB
onboarding_guided_v1,org_00116,control,2025-09-28T00:00:00,SMB
onboarding_guided_v1,org_00117,control,2025-10-22T00:00:00,SMB
onboarding_guided_v1,org_00118,treatment,2025-02-03T00:00:00,SMB
onboarding_guided_v1,org_00119,treatment,2025-07-26T00:00:00,Mid-Market
onboarding_guided_v1,org_00120,control,2025-09-04T00:00:00,Enterprise
onboarding_guided_v1,org_00121,treatment,2025-08-21T00:00:00,SMB
onboarding_guided_v1,org_00122,treatment,2025-06-02T00:00:00,Mid-Market
onboarding_guided_v1,org_00123,control,2025-12-15T00:00:00,SMB
onboarding_guided_v1,org_00124,control,2025-07-10T00:00:00,SMB
onboarding_guided_v1,org_00125,treatment,2025-12-24T00:00:00,SMB
onboarding_guided_v1,org_00126,control,2025-05-01T00:00:00,SMB
onboarding_guided_v1,org_00127,control,2025-07-18T00:00:00,Mid-Market
onboarding_guided_v1,org_00128,control,2025-07-08T00:00:00,SMB
onboarding_guided_v1,org_00129,treatment,2025-02-28T00:00:00,SMB
onboarding_guided_v1,org_00130,treatment,2025-04-29T00:00:00,Enterprise
onboarding_guided_v1,org_00131,control,2025-09-29T00:00:00,SMB
onboarding_guided_v1,org_00132,treatment,2025-08-12T00:00:00,Mid-Market
onboarding_guided_v1,org_00133,control,2025-02-21T00:00:00,Mid-Market
onboarding_guided_v1,org_00134,control,2025-07-12T00:00:00,Mid-Market
onboarding_guided_v1,org_00135,control,2025-04-08T00:00:00,Mid-Market
onboarding_guided_v1,org_00136,control,2025-06-12T00:00:00,Mid-Market
onboarding_guided_v1,org_00137,treatment,2025-04-27T00:00:00,Enterprise
onboarding_guided_v1,org_00138,control,2025-12-18T00:00:00,Enterprise
onboarding_guided_v1,org_00139,treatment,2025-03-04T00:00:00,SMB
onboarding_guided_v1,org_00140,control,2025-04-04T00:00:00,Mid-Market
onboarding_guided_v1,org_00141,control,2025-01-13T00:00:00,Mid-Market
onboarding_guided_v1,org_00142,control,2025-12-11T00:00:00,Enterprise
onboarding_guided_v1,org_00143,control,2025-09-23T00:00:00,SMB
onboarding_guided_v1,org_00144,control,2025-09-28T00:00:00,Enterprise
onboarding_guided_v1,org_00145,treatment,2025-08-11T00:00:00,SMB
onboarding_guided_v1,org_00146,treatment,2025-06-13T00:00:00,SMB
onboarding_guided_v1,org_00147,control,2025-10-23T00:00:00,SMB
onboarding_guided_v1,org_00148,control,2025-04-29T00:00:00,Enterprise
onboarding_guided_v1,org_00149,treatment,2025-12-11T00:00:00,SMB
onboarding_guided_v1,org_00150,control,2025-11-26T00:00:00,SMB
onboarding_guided_v1,org_00151,control,2025-01-15T00:00:00,SMB
onboarding_guided_v1,org_00152,treatment,2025-02-20T00:00:00,SMB
onboarding_guided_v1,org_00153,treatment,2025-09-13T00:00:00,SMB
onboarding_guided_v1,org_00154,control,2025-04-10T00:00:00,SMB
onboarding_guided_v1,org_00155,treatment,2025-09-05T00:00:00,SMB
onboarding_guided_v1,org_00156,treatment,2025-05-30T00:00:00,SMB
onboarding_guided_v1,org_00157,treatment,2025-09-19T00:00:00,SMB
onboarding_guided_v1,org_00158,treatment,2025-09-05T00:00:00,SMB
onboarding_guided_v1,org_00159,control,2025-12-22T00:00:00,SMB
onboarding_guided_v1,org_00160,treatment,2025-02-26T00:00:00,Mid-Market
onboarding_guided_v1,org_00161,treatment,2025-09-29T00:00:00,Mid-Market
onboarding_guided_v1,org_00162,treatment,2025-07-29T00:00:00,Mid-Market
onboarding_guided_v1,org_00163,control,2025-11-20T00:00:00,Mid-Market
onboarding_guided_v1,org_00164,control,2025-06-02T00:00:00,SMB
onboarding_guided_v1,org_00165,treatment,2025-05-17T00:00:00,Mid-Market
onboarding_guided_v1,org_00166,control,2025-12-14T00:00:00,SMB
onboarding_guided_v1,org_00167,treatment,2025-11-24T00:00:00,Mid-Market
onboarding_guided_v1,org_00168,treatment,2025-02-02T00:00:00,SMB
onboarding_guided_v1,org_00169,control,2025-08-30T00:00:00,Mid-Market
onboarding_guided_v1,org_00170,control,2025-08-27T00:00:00,Mid-Market
onboarding_guided_v1,org_00171,treatment,2025-09-08T00:00:00,Mid-Market
onboarding_guided_v1,org_00172,treatment,2025-07-08T00:00:00,Mid-Market
onboarding_guided_v1,org_00173,control,2025-03-22T00:00:00,SMB
onboarding_guided_v1,org_00174,treatment,2025-11-17T00:00:00,Mid-Market
onboarding_guided_v1,org_00175,control,2025-06-28T00:00:00,SMB
onboarding_guided_v1,org_00176,treatment,2025-06-05T00:00:00,SMB
onboarding_guided_v1,org_00177,treatment,2025-11-18T00:00:00,Enterprise
onboarding_guided_v1,org_00178,treatment,2025-06-05T00:00:00,SMB
onboarding_guided_v1,org_00179,treatment,2025-08-25T00:00:00,SMB
onboarding_guided_v1,org_00180,control,2025-11-07T00:00:00,Enterprise
onboarding_guided_v1,org_00181,control,2025-06-20T00:00:00,SMB
onboarding_guided_v1,org_00182,treatment,2025-04-25T00:00:00,SMB
onboarding_guided_v1,org_00183,treatment,2025-10-19T00:00:00,Mid-Market
onboarding_guided_v1,org_00184,treatment,2025-01-08T00:00:00,SMB
onboarding_guided_v1,org_00185,treatment,2025-07-15T00:00:00,Enterprise
onboarding_guided_v1,org_00186,control,2025-02-07T00:00:00,Mid-Market
onboarding_guided_v1,org_00187,control,2025-09-25T00:00:00,SMB
onboarding_guided_v1,org_00188,control,2025-07-13T00:00:00,SMB
onboarding_guided_v1,org_00189,treatment,2025-04-05T00:00:00,SMB
onboarding_guided_v1,org_00190,treatment,2025-01-07T00:00:00,SMB
onboarding_guided_v1,org_00191,control,2025-07-06T00:00:00,SMB
onboarding_guided_v1,org_00192,control,2025-07-17T00:00:00,Mid-Market
onboarding_guided_v1,org_00193,control,2025-11-04T00:00:00,SMB
onboarding_guided_v1,org_00194,treatment,2025-08-06T00:00:00,SMB
onboarding_guided_v1,org_00195,control,2025-05-07T00:00:00,SMB
onboarding_guided_v1,org_00196,treatment,2025-07-15T00:00:00,Mid-Market
onboarding_guided_v1,org_00197,treatment,2025-10-02T00:00:00,SMB
onboarding_guided_v1,org_00198,treatment,2025-05-30T00:00:00,Mid-Market
onboarding_guided_v1,org_00199,control,2025-06-23T00:00:00,SMB
onboarding_guided_v1,org_00200,treatment,2025-04-11T00:00:00,SMB
onboarding_guided_v1,org_00201,control,2025-05-28T00:00:00,SMB
onboarding_guided_v1,org_00202,treatment,2025-05-14T00:00:00,Mid-Market
onboarding_guided_v1,org_00203,treatment,2025-08-23T00:00:00,SMB
onboarding_guided_v1,org_00204,control,2025-11-05T00:00:00,SMB
onboarding_guided_v1,org_00205,control,2025-01-29T00:00:00,Enterprise
onboarding_guided_v1,org_00206,control,2025-06-10T00:00:00,Enterprise
onboarding_guided_v1,org_00207,control,2025-10-03T00:00:00,Mid-Market
onboarding_guided_v1,org_00208,control,2025-02-28T00:00:00,SMB
onboarding_guided_v1,org_00209,control,2025-10-03T00:00:00,SMB
onboarding_guided_v1,org_00210,control,2025-01-30T00:00:00,Mid-Market
onboarding_guided_v1,org_00211,control,2025-04-20T00:00:00,Mid-Market
onboarding_guided_v1,org_00212,treatment,2025-02-01T00:00:00,SMB
onboarding_guided_v1,org_00213,treatment,2025-12-28T00:00:00,SMB
onboarding_guided_v1,org_00214,treatment,2025-01-24T00:00:00,SMB
onboarding_guided_v1,org_00215,treatment,2025-04-14T00:00:00,SMB
onboarding_guided_v1,org_00216,treatment,2025-12-02T00:00:00,Mid-Market
onboarding_guided_v1,org_00217,treatment,2025-12-02T00:00:00,SMB
onboarding_guided_v1,org_00218,control,2025-07-15T00:00:00,Mid-Market
onboarding_guided_v1,org_00219,treatment,2025-07-16T00:00:00,SMB
onboarding_guided_v1,org_00220,treatment,2025-05-08T00:00:00,SMB
onboarding_guided_v1,org_00221,control,2025-06-04T00:00:00,SMB
onboarding_guided_v1,org_00222,treatment,2025-12-05T00:00:00,SMB
onboarding_guided_v1,org_00223,control,2025-12-01T00:00:00,SMB
onboarding_guided_v1,org_00224,treatment,2025-01-19T00:00:00,SMB
onboarding_guided_v1,org_00225,treatment,2025-11-18T00:00:00,SMB
onboarding_guided_v1,org_00226,control,2025-05-06T00:00:00,SMB
onboarding_guided_v1,org_00227,treatment,2025-04-27T00:00:00,Enterprise
onboarding_guided_v1,org_00228,control,2025-03-28T00:00:00,Enterprise
onboarding_guided_v1,org_00229,control,2025-10-21T00:00:00,Mid-Market
onboarding_guided_v1,org_00230,treatment,2025-11-09T00:00:00,SMB
onboarding_guided_v1,org_00231,control,2025-05-07T00:00:00,SMB
onboarding_guided_v1,org_00232,control,2025-02-23T00:00:00,SMB
onboarding_guided_v1,org_00233,treatment,2025-03-28T00:00:00,Mid-Market
onboarding_guided_v1,org_00234,treatment,2025-05-22T00:00:00,SMB
onboarding_guided_v1,org_00235,control,2025-03-21T00:00:00,SMB
onboarding_guided_v1,org_00236,treatment,2025-07-08T00:00:00,SMB
onboarding_guided_v1,org_00237,control,2025-02-23T00:00:00,SMB
onboarding_guided_v1,org_00238,control,2025-01-03T00:00:00,Mid-Market
onboarding_guided_v1,org_00239,treatment,2025-04-27T00:00:00,SMB
onboarding_guided_v1,org_00240,control,2025-12-01T00:00:00,SMB
onboarding_guided_v1,org_00241,treatment,2025-09-24T00:00:00,Mid-Market
onboarding_guided_v1,org_00242,treatment,2025-05-08T00:00:00,Mid-Market
onboarding_guided_v1,org_00243,control,2025-03-12T00:00:00,SMB
onboarding_guided_v1,org_00244,control,2025-03-07T00:00:00,SMB
onboarding_guided_v1,org_00245,control,2025-08-07T00:00:00,Mid-Market
onboarding_guided_v1,org_00246,treatment,2025-10-18T00:00:00,SMB
onboarding_guided_v1,org_00247,control,2025-08-01T00:00:00,Mid-Market
onboarding_guided_v1,org_00248,treatment,2025-03-05T00:00:00,SMB
onboarding_guided_v1,org_00249,control,2025-08-15T00:00:00,SMB
onboarding_guided_v1,org_00250,treatment,2025-12-14T00:00:00,Mid-Market
onboarding_guided_v1,org_00251,control,2025-07-04T00:00:00,Mid-Market
onboarding_guided_v1,org_00252,treatment,2025-07-20T00:00:00,SMB
onboarding_guided_v1,org_00253,treatment,2025-03-30T00:00:00,SMB
onboarding_guided_v1,org_00254,treatment,2025-06-01T00:00:00,Mid-Market
onboarding_guided_v1,org_00255,treatment,2025-11-19T00:00:00,SMB
onboarding_guided_v1,org_00256,control,2025-02-06T00:00:00,Mid-Market
onboarding_guided_v1,org_00257,control,2025-03-13T00:00:00,SMB
onboarding_guided_v1,org_00258,control,2025-09-17T00:00:00,Mid-Market
onboarding_guided_v1,org_00259,treatment,2025-12-17T00:00:00,SMB
onboarding_guided_v1,org_00260,treatment,2025-02-18T00:00:00,SMB
onboarding_guided_v1,org_00261,control,2025-03-25T00:00:00,Mid-Market
onboarding_guided_v1,org_00262,control,2025-08-15T00:00:00,SMB
onboarding_guided_v1,org_00263,treatment,2025-06-26T00:00:00,SMB
onboarding_guided_v1,org_00264,treatment,2025-10-28T00:00:00,Enterprise
onboarding_guided_v1,org_00265,treatment,2025-04-07T00:00:00,SMB
onboarding_guided_v1,org_00266,control,2025-09-15T00:00:00,SMB
onboarding_guided_v1,org_00267,treatment,2025-01-16T00:00:00,SMB
onboarding_guided_v1,org_00268,control,2025-04-18T00:00:00,Mid-Market
onboarding_guided_v1,org_00269,treatment,2025-12-03T00:00:00,SMB
onboarding_guided_v1,org_00270,control,2025-11-17T00:00:00,SMB
onboarding_guided_v1,org_00271,treatment,2025-11-30T00:00:00,SMB
onboarding_guided_v1,org_00272,treatment,2025-06-05T00:00:00,SMB
onboarding_guided_v1,org_00273,treatment,2025-03-16T00:00:00,SMB
onboarding_guided_v1,org_00274,treatment,2025-11-03T00:00:00,SMB
onboarding_guided_v1,org_00275,treatment,2025-09-10T00:00:00,SMB
onboarding_guided_v1,org_00276,treatment,2025-02-10T00:00:00,SMB
onboarding_guided_v1,org_00277,control,2025-12-30T00:00:00,Mid-Market
onboarding_guided_v1,org_00278,control,2025-09-23T00:00:00,SMB
onboarding_guided_v1,org_00279,treatment,2025-04-24T00:00:00,SMB
onboarding_guided_v1,org_00280,control,2025-03-14T00:00:00,SMB
onboarding_guided_v1,org_00281,control,2025-04-05T00:00:00,Mid-Market
onboarding_guided_v1,org_00282,treatment,2025-06-30T00:00:00,Mid-Market
onboarding_guided_v1,org_00283,treatment,2025-09-30T00:00:00,Mid-Market
onboarding_guided_v1,org_00284,treatment,2025-10-19T00:00:00,Mid-Market
onboarding_guided_v1,org_00285,control,2025-04-29T00:00:00,SMB
onboarding_guided_v1,org_00286,treatment,2025-01-05T00:00:00,SMB
onboarding_guided_v1,org_00287,treatment,2025-06-19T00:00:00,SMB
onboarding_guided_v1,org_00288,treatment,2025-06-09T00:00:00,SMB
onboarding_guided_v1,org_00289,treatment,2025-11-12T00:00:00,SMB
onboarding_guided_v1,org_00290,control,2025-04-08T00:00:00,SMB
onboarding_guided_v1,org_00291,treatment,2025-12-05T00:00:00,SMB
onboarding_guided_v1,org_00292,control,2025-07-03T00:00:00,Mid-Market
onboarding_guided_v1,org_00293,control,2025-06-08T00:00:00,SMB
onboarding_guided_v1,org_00294,control,2025-01-15T00:00:00,SMB
onboarding_guided_v1,org_00295,treatment,2025-08-19T00:00:00,Mid-Market
onboarding_guided_v1,org_00296,treatment,2025-11-08T00:00:00,SMB
onboarding_guided_v1,org_00297,control,2025-06-25T00:00:00,Enterprise
onboarding_guided_v1,org_00298,control,2025-06-15T00:00:00,Mid-Market
onboarding_guided_v1,org_00299,control,2025-12-20T00:00:00,Enterprise
onboarding_guided_v1,org_00300,control,2025-09-23T00:00:00,Enterprise
onboarding_guided_v1,org_00301,control,2025-03-22T00:00:00,SMB
onboarding_guided_v1,org_00302,treatment,2025-06-03T00:00:00,SMB
onboarding_guided_v1,org_00303,control,2025-07-12T00:00:00,SMB
onboarding_guided_v1,org_00304,treatment,2025-09-08T00:00:00,Mid-Market
onboarding_guided_v1,org_00305,control,2025-11-19T00:00:00,SMB
onboarding_guided_v1,org_00306,treatment,2025-09-14T00:00:00,SMB
onboarding_guided_v1,org_00307,treatment,2025-01-22T00:00:00,SMB
onboarding_guided_v1,org_00308,treatment,2025-09-26T00:00:00,Enterprise
onboarding_guided_v1,org_00309,control,2025-10-23T00:00:00,Enterprise
onboarding_guided_v1,org_00310,control,2025-03-22T00:00:00,Enterprise
onboarding_guided_v1,org_00311,control,2025-03-26T00:00:00,SMB
onboarding_guided_v1,org_00312,treatment,2025-05-24T00:00:00,Mid-Market
onboarding_guided_v1,org_00313,treatment,2025-10-22T00:00:00,SMB
onboarding_guided_v1,org_00314,treatment,2025-11-07T00:00:00,SMB
onboarding_guided_v1,org_00315,treatment,2025-10-19T00:00:00,SMB
onboarding_guided_v1,org_00316,control,2025-03-01T00:00:00,SMB
onboarding_guided_v1,org_00317,treatment,2025-08-08T00:00:00,SMB
onboarding_guided_v1,org_00318,treatment,2025-02-04T00:00:00,SMB
onboarding_guided_v1,org_00319,treatment,2025-05-09T00:00:00,Mid-Market
onboarding_guided_v1,org_00320,treatment,2025-06-23T00:00:00,Mid-Market
onboarding_guided_v1,org_00321,treatment,2025-10-18T00:00:00,Mid-Market
onboarding_guided_v1,org_00322,control,2025-03-04T00:00:00,SMB
onboarding_guided_v1,org_00323,control,2025-04-15T00:00:00,SMB
onboarding_guided_v1,org_00324,control,2025-10-13T00:00:00,Enterprise
onboarding_guided_v1,org_00325,control,2025-01-29T00:00:00,SMB
onboarding_guided_v1,org_00326,control,2025-11-27T00:00:00,SMB
onboarding_guided_v1,org_00327,treatment,2025-02-02T00:00:00,SMB
onboarding_guided_v1,org_00328,treatment,2025-10-13T00:00:00,SMB
onboarding_guided_v1,org_00329,treatment,2025-01-08T00:00:00,Enterprise
onboarding_guided_v1,org_00330,treatment,2025-01-18T00:00:00,SMB
onboarding_guided_v1,org_00331,treatment,2025-09-19T00:00:00,Mid-Market
onboarding_guided_v1,org_00332,control,2025-11-26T00:00:00,SMB
onboarding_guided_v1,org_00333,control,2025-01-03T00:00:00,SMB
onboarding_guided_v1,org_00334,control,2025-11-08T00:00:00,SMB
onboarding_guided_v1,org_00335,control,2025-01-14T00:00:00,SMB
onboarding_guided_v1,org_00336,control,2025-09-07T00:00:00,Mid-Market
onboarding_guided_v1,org_00337,treatment,2025-01-31T00:00:00,Mid-Market
onboarding_guided_v1,org_00338,control,2025-08-10T00:00:00,SMB
onboarding_guided_v1,org_00339,treatment,2025-01-17T00:00:00,SMB
onboarding_guided_v1,org_00340,control,2025-09-01T00:00:00,Mid-Market
onboarding_guided_v1,org_00341,treatment,2025-10-25T00:00:00,Mid-Market
onboarding_guided_v1,org_00342,control,2025-03-13T00:00:00,SMB
onboarding_guided_v1,org_00343,treatment,2025-05-19T00:00:00,Mid-Market
onboarding_guided_v1,org_00344,treatment,2025-09-10T00:00:00,Mid-Market
onboarding_guided_v1,org_00345,treatment,2025-03-17T00:00:00,SMB
onboarding_guided_v1,org_00346,control,2025-04-25T00:00:00,Mid-Market
onboarding_guided_v1,org_00347,treatment,2025-02-16T00:00:00,Enterprise
onboarding_guided_v1,org_00348,control,2025-08-14T00:00:00,SMB
onboarding_guided_v1,org_00349,control,2025-03-04T00:00:00,SMB
onboarding_guided_v1,org_00350,treatment,2025-12-07T00:00:00,SMB
onboarding_guided_v1,org_00351,treatment,2025-02-24T00:00:00,SMB
onboarding_guided_v1,org_00352,control,2025-05-04T00:00:00,SMB
onboarding_guided_v1,org_00353,treatment,2025-01-10T00:00:00,SMB
onboarding_guided_v1,org_00354,treatment,2025-05-22T00:00:00,Enterprise
onboarding_guided_v1,org_00355,control,2025-01-09T00:00:00,SMB
onboarding_guided_v1,org_00356,control,2025-06-13T00:00:00,SMB
onboarding_guided_v1,org_00357,treatment,2025-03-24T00:00:00,Mid-Market
onboarding_guided_v1,org_00358,control,2025-01-25T00:00:00,SMB
onboarding_guided_v1,org_00359,treatment,2025-07-21T00:00:00,Mid-Market
onboarding_guided_v1,org_00360,treatment,2025-01-09T00:00:00,SMB
onboarding_guided_v1,org_00361,treatment,2025-01-03T00:00:00,Enterprise
onboarding_guided_v1,org_00362,treatment,2025-12-05T00:00:00,Enterprise
onboarding_guided_v1,org_00363,control,2025-09-30T00:00:00,SMB
onboarding_guided_v1,org_00364,control,2025-04-02T00:00:00,Enterprise
onboarding_guided_v1,org_00365,treatment,2025-10-04T00:00:00,Mid-Market
onboarding_guided_v1,org_00366,control,2025-11-26T00:00:00,Mid-Market
onboarding_guided_v1,org_00367,treatment,2025-07-22T00:00:00,SMB
onboarding_guided_v1,org_00368,control,2025-07-26T00:00:00,SMB
onboarding_guided_v1,org_00369,control,2025-11-01T00:00:00,Mid-Market
onboarding_guided_v1,org_00370,treatment,2025-05-26T00:00:00,SMB
onboarding_guided_v1,org_00371,treatment,2025-07-30T00:00:00,Mid-Market
onboarding_guided_v1,org_00372,control,2025-07-07T00:00:00,Mid-Market
onboarding_guided_v1,org_00373,treatment,2025-12-12T00:00:00,SMB
onboarding_guided_v1,org_00374,control,2025-03-13T00:00:00,Mid-Market
onboarding_guided_v1,org_00375,treatment,2025-08-26T00:00:00,SMB
onboarding_guided_v1,org_00376,control,2025-06-27T00:00:00,SMB
