subscription_id,org_id,plan_type,mrr_amount,start_date,end_date,status,churn_reason
sub_000055,org_00054,Trial,0.0,2025-03-16,2025-03-30,trial_ended,
sub_000056,org_00054,Business,399.0,2025-03-30,,active,
sub_000057,org_00055,Trial,0.0,2025-09-08,2025-09-22,trial_ended,
sub_000058,org_00055,Starter,49.0,2025-09-25,,active,
sub_000059,org_00056,Trial,0.0,2025-09-11,2025-09-25,trial_ended,
sub_000060,org_00057,Trial,0.0,2025-03-05,2025-03-19,trial_ended,
sub_000061,org_00058,Trial,0.0,2025-08-06,2025-08-20,trial_ended,
sub_000062,org_00058,Growth,149.0,2025-08-21,,active,
sub_000063,org_00061,Trial,0.0,2025-11-17,2025-12-01,trial_ended,
sub_000064,org_00061,Starter,49.0,2025-12-01,2026-01-13,churned,
sub_000065,org_00062,Trial,0.0,2025-07-31,2025-08-14,trial_ended,
sub_000066,org_00062,Growth,149.0,2025-08-17,,active,
sub_000067,org_00063,Trial,0.0,2025-01-31,2025-02-14,trial_ended,
sub_000068,org_00065,Trial,0.0,2025-08-21,2025-09-04,trial_ended,
sub_000069,org_00065,Growth,149.0,2025-09-04,,active,
sub_000070,org_00066,Trial,0.0,2025-10-06,2025-10-20,trial_ended,
sub_000071,org_00066,Growth,149.0,2025-10-20,2026-01-22,churned,Missing feature
sub_000072,org_00067,Trial,0.0,2025-07-24,2025-08-07,trial_ended,
sub_000073,org_00067,Business,399.0,2025-08-07,,active,
sub_000074,org_00068,Trial,0.0,2025-04-26,2025-05-10,trial_ended,
sub_000075,org_00068,Growth,149.0,2025-05-11,,active,
sub_000076,org_00072,Trial,0.0,2025-04-07,2025-04-21,trial_ended,
sub_000077,org_00072,Growth,149.0,2025-04-21,,active,
sub_000078,org_00073,Trial,0.0,2025-11-17,2025-12-01,trial_ended,
sub_000079,org_00074,Trial,0.0,2025-02-02,2025-02-16,trial_ended,
sub_000080,org_00074,Business,399.0,2025-02-19,,active,
sub_000081,org_00075,Trial,0.0,2025-04-05,2025-04-19,trial_ended,
sub_000082,org_00076,Trial,0.0,2025-09-12,2025-09-26,trial_ended,
sub_000083,org_00076,Business,399.0,2025-09-27,,active,
sub_000084,org_00077,Trial,0.0,2025-06-20,2025-07-04,trial_ended,
sub_000085,org_00077,Growth,149.0,2025-07-06,,active,
sub_000086,org_00079,Trial,0.0,2025-06-22,2025-07-06,trial_ended,
sub_000087,org_00081,Trial,0.0,2025-06-13,2025-06-27,trial_ended,
sub_000088,org_00081,Business,399.0,2025-06-30,,active,
sub_000089,org_00082,Trial,0.0,2025-06-14,2025-06-28,trial_ended,
sub_000090,org_00082,Growth,149.0,2025-06-29,,active,
sub_000091,org_00083,Trial,0.0,2025-02-02,2025-02-16,trial_ended,
sub_000092,org_00083,Starter,49.0,2025-02-17,,active,
sub_000093,org_00084,Trial,0.0,2025-05-19,2025-06-02,trial_ended,
sub_000094,org_00085,Trial,0.0,2025-10-10,2025-10-24,trial_ended,
sub_000095,org_00085,Starter,49.0,2025-10-25,,active,
sub_000096,org_00087,Trial,0.0,2025-08-16,2025-08-30,trial_ended,
sub_000097,org_00087,Business,399.0,2025-08-30,2025-11-17,churned,Low adoption
sub_000098,org_00089,Trial,0.0,2025-12-31,2026-01-14,trial_ended,
sub_000099,org_00090,Trial,0.0,2025-07-07,2025-07-21,trial_ended,
sub_000100,org_00090,Business,399.0,2025-07-21,2025-10-11,churned,
sub_000101,org_00091,Trial,0.0,2025-09-30,2025-10-14,trial_ended,
sub_000102,org_00093,Trial,0.0,2025-10-12,2025-10-26,trial_ended,
sub_000103,org_00093,Business,399.0,2025-10-26,,active,
sub_000104,org_00095,Trial,0.0,2025-12-22,2026-01-05,trial_ended,
sub_000105,org_00096,Trial,0.0,2025-04-10,2025-04-24,trial_ended,
sub_000106,org_00096,Growth,149.0,2025-04-24,,active,
sub_000107,org_00097,Trial,0.0,2025-05-07,2025-05-21,trial_ended,
sub_000108,org_00098,Trial,0.0,2025-08-05,2025-08-19,trial_ended,
sub_000109,org_00099,Trial,0.0,2025-11-14,2025-11-28,trial_ended,
sub_000110,org_00099,Business,399.0,2025-11-30,2026-01-02,churned,Missing feature
sub_000111,org_00101,Trial,0.0,2025-08-17,2025-08-31,trial_ended,
sub_000112,org_00101,Starter,49.0,2025-09-02,,active,
sub_000113,org_00102,Trial,0.0,2025-09-24,2025-10-08,trial_ended,
sub_000114,org_00102,Growth,149.0,2025-10-09,,active,
sub_000115,org_00106,Trial,0.0,2025-10-05,2025-10-19,trial_ended,
sub_000116,org_00106,Growth,149.0,2025-10-19,,active,
sub_000117,org_00107,Trial,0.0,2025-06-29,2025-07-13,trial_ended,
sub_000118,org_00107,Starter,49.0,2025-07-16,2025-08-28,churned,Budget
sub_000119,org_00109,Trial,0.0,2025-08-29,2025-09-12,trial_ended,
sub_000120,org_00110,Trial,0.0,2025-06-10,2025-06-24,trial_ended,
sub_000121,org_00110,Starter,49.0,2025-06-25,,active,
sub_000122,org_00112,Trial,0.0,2025-12-11,2025-12-25,trial_ended,
sub_000123,org_00113,Trial,0.0,2025-02-09,2025-02-23,trial_ended,
sub_000124,org_00113,Growth,149.0,2025-02-24,,active,
sub_000125,org_00114,Trial,0.0,2026-01-05,2026-01-19,trial_ended,
sub_000126,org_00114,Starter,49.0,2026-01-22,,active,
sub_000127,org_00115,Trial,0.0,2025-03-29,2025-04-12,trial_ended,
sub_000128,org_00116,Trial,0.0,2025-10-02,2025-10-16,trial_ended,
sub_000129,org_00116,Growth,149.0,2025-10-19,,active,
sub_000130,org_00119,Trial,0.0,2025-07-27,2025-08-10,trial_ended,
sub_000131,org_00120,Trial,0.0,2025-09-06,2025-09-20,trial_ended,
sub_000132,org_00120,Starter,49.0,2025-09-20,,active,
sub_000133,org_00121,Trial,0.0,2025-08-23,2025-09-06,trial_ended,
sub_000134,org_00123,Trial,0.0,2025-12-19,2026-01-02,trial_ended,
sub_000135,org_00124,Trial,0.0,2025-07-16,2025-07-30,trial_ended,
sub_000136,org_00125,Trial,0.0,2025-12-28,2026-01-11,trial_ended,
sub_000137,org_00125,Starter,49.0,2026-01-11,,active,
sub_000138,org_00126,Trial,0.0,2025-05-06,2025-05-20,trial_ended,
sub_000139,org_00126,Enterprise,999.0,2025-05-20,,active,
sub_000140,org_00127,Trial,0.0,2025-07-25,2025-08-08,trial_ended,
sub_000141,org_00129,Trial,0.0,2025-03-01,2025-03-15,trial_ended,
sub_000142,org_00131,Trial,0.0,2025-10-05,2025-10-19,trial_ended,
sub_000143,org_00133,Trial,0.0,2025-02-27,2025-03-13,trial_ended,
sub_000144,org_00133,Business,399.0,2025-03-16,,active,
sub_000145,org_00134,Trial,0.0,2025-07-15,2025-07-29,trial_ended,
sub_000146,org_00136,Trial,0.0,2025-06-16,2025-06-30,trial_ended,
sub_000147,org_00136,Growth,149.0,2025-07-01,,active,
sub_000148,org_00138,Trial,0.0,2025-12-20,2026-01-03,trial_ended,
sub_000149,org_00140,Trial,0.0,2025-04-10,2025-04-24,trial_ended,
sub_000150,org_00140,Starter,49.0,2025-04-25,2025-08-23,churned,
sub_000151,org_00141,Trial,0.0,2025-01-14,2025-01-28,trial_ended,
sub_000152,org_00142,Trial,0.0,2025-12-18,2026-01-01,trial_ended,
sub_000153,org_00145,Trial,0.0,2025-08-16,2025-08-30,trial_ended,
sub_000154,org_00145,Starter,49.0,2025-08-30,2025-11-15,churned,Low adoption
sub_000155,org_00148,Trial,0.0,2025-05-06,2025-05-20,trial_ended,
sub_000156,org_00148,Starter,49.0,2025-05-20,,active,
sub_000157,org_00150,Trial,0.0,2025-12-03,2025-12-17,trial_ended,
sub_000158,org_00150,Starter,49.0,2025-12-20,2026-04-10,churned,Low adoption
sub_000159,org_00151,Trial,0.0,2025-01-16,2025-01-30,trial_ended,
sub_000160,org_00152,Trial,0.0,2025-02-23,2025-03-09,trial_ended,
sub_000161,org_00154,Trial,0.0,2025-04-11,2025-04-25,trial_ended,
sub_000162,org_00155,Trial,0.0,2025-09-12,2025-09-26,trial_ended,
sub_000163,org_00155,Growth,149.0,2025-09-27,,active,
sub_000164,org_00156,Trial,0.0,2025-06-05,2025-06-19,trial_ended,
sub_000165,org_00156,Business,399.0,2025-06-19,,active,
sub_000166,org_00157,Trial,0.0,2025-09-24,2025-10-08,trial_ended,
sub_000167,org_00157,Growth,149.0,2025-10-11,,active,
sub_000168,org_00158,Trial,0.0,2025-09-09,2025-09-23,trial_ended,
sub_000169,org_00158,Growth,149.0,2025-09-26,,active,
sub_000170,org_00159,Trial,0.0,2025-12-24,2026-01-07,trial_ended,
sub_000171,org_00159,Business,399.0,2026-01-08,,active,
sub_000172,org_00163,Trial,0.0,2025-11-22,2025-12-06,trial_ended,
sub_000173,org_00163,Starter,49.0,2025-12-09,,active,
sub_000174,org_00165,Trial,0.0,2025-05-20,2025-06-03,trial_ended,
sub_000175,org_00167,Trial,0.0,2025-11-25,2025-12-09,trial_ended,
sub_000176,org_00169,Trial,0.0,2025-08-31,2025-09-14,trial_ended,
sub_000177,org_00170,Trial,0.0,2025-08-31,2025-09-14,trial_ended,
sub_000178,org_00170,Starter,49.0,2025-09-14,,active,
sub_000179,org_00171,Trial,0.0,2025-09-15,2025-09-29,trial_ended,
sub_000180,org_00172,Trial,0.0,2025-07-12,2025-07-26,trial_ended,
sub_000181,org_00174,Trial,0.0,2025-11-21,2025-12-05,trial_ended,
sub_000182,org_00176,Trial,0.0,2025-06-07,2025-06-21,trial_ended,
sub_000183,org_00176,Growth,149.0,2025-06-21,,active,
sub_000184,org_00177,Trial,0.0,2025-11-20,2025-12-04,trial_ended,
sub_000185,org_00177,Starter,49.0,2025-12-06,,active,
sub_000186,org_00179,Trial,0.0,2025-08-31,2025-09-14,trial_ended,
sub_000187,org_00179,Business,399.0,2025-09-15,,active,
sub_000188,org_00184,Trial,0.0,2025-01-13,2025-01-27,trial_ended,
sub_000189,org_00184,Growth,149.0,2025-01-28,,active,
sub_000190,org_00185,Trial,0.0,2025-07-22,2025-08-05,trial_ended,
sub_000191,org_00185,Business,399.0,2025-08-07,2025-11-26,churned,Low adoption
sub_000192,org_00186,Trial,0.0,2025-02-11,2025-02-25,trial_ended,
sub_000193,org_00187,Trial,0.0,2025-09-27,2025-10-11,trial_ended,
sub_000194,org_00187,Starter,49.0,2025-10-12,,active,
sub_000195,org_00188,Trial,0.0,2025-07-20,2025-08-03,trial_ended,
sub_000196,org_00188,Enterprise,999.0,2025-08-06,,active,
sub_000197,org_00189,Trial,0.0,2025-04-06,2025-04-20,trial_ended,
sub_000198,org_00189,Starter,49.0,2025-04-22,,active,
sub_000199,org_00190,Trial,0.0,2025-01-13,2025-01-27,trial_ended,
sub_000200,org_00192,Trial,0.0,2025-07-21,2025-08-04,trial_ended,
sub_000201,org_00192,Growth,149.0,2025-08-04,,active,
sub_000202,org_00193,Trial,0.0,2025-11-11,2025-11-25,trial_ended,
sub_000203,org_00194,Trial,0.0,2025-08-12,2025-08-26,trial_ended,
sub_000204,org_00194,Business,399.0,2025-08-28,,active,
sub_000205,org_00195,Trial,0.0,2025-05-12,2025-05-26,trial_ended,
sub_000206,org_00195,Growth,149.0,2025-05-27,,active,
sub_000207,org_00196,Trial,0.0,2025-07-19,2025-08-02,trial_ended,
sub_000208,org_00196,Starter,49.0,2025-08-03,,active,
sub_000209,org_00198,Trial,0.0,2025-06-04,2025-06-18,trial_ended,
sub_000210,org_00198,Business,399.0,2025-06-21,,active,
sub_000211,org_00202,Trial,0.0,2025-05-20,2025-06-03,trial_ended,
sub_000212,org_00202,Starter,49.0,2025-06-04,,active,
sub_000213,org_00203,Trial,0.0,2025-08-25,2025-09-08,trial_ended,
sub_000214,org_00203,Growth,149.0,2025-09-08,,active,
sub_000215,org_00204,Trial,0.0,2025-11-06,2025-11-20,trial_ended,
sub_000216,org_00204,Starter,49.0,2025-11-22,2026-02-23,churned,
sub_000217,org_00205,Trial,0.0,2025-02-04,2025-02-18,trial_ended,
sub_000218,org_00207,Trial,0.0,2025-10-10,2025-10-24,trial_ended,
sub_000219,org_00207,Growth,149.0,2025-10-27,,active,
sub_000220,org_00208,Trial,0.0,2025-03-05,2025-03-19,trial_ended,
sub_000221,org_00208,Business,399.0,2025-03-21,,active,
sub_000222,org_00209,Trial,0.0,2025-10-05,2025-10-19,trial_ended,
sub_000223,org_00209,Growth,149.0,2025-10-19,,active,
sub_000224,org_00210,Trial,0.0,2025-01-31,2025-02-14,trial_ended,
sub_000225,org_00211,Trial,0.0,2025-04-27,2025-05-11,trial_ended,
sub_000226,org_00212,Trial,0.0,2025-02-06,2025-02-20,trial_ended,
sub_000227,org_00214,Trial,0.0,2025-01-30,2025-02-13,trial_ended,
sub_000228,org_00215,Trial,0.0,2025-04-17,2025-05-01,trial_ended,
sub_000229,org_00215,Growth,149.0,2025-05-03,2025-07-29,churned,Low adoption
sub_000230,org_00216,Trial,0.0,2025-12-04,2025-12-18,trial_ended,
sub_000231,org_00216,Growth,149.0,2025-12-19,2026-02-05,churned,Low adoption
sub_000232,org_00218,Trial,0.0,2025-07-20,2025-08-03,trial_ended,
sub_000233,org_00218,Growth,149.0,2025-08-06,,active,
sub_000234,org_00219,Trial,0.0,2025-07-17,2025-07-31,trial_ended,
sub_000235,org_00220,Trial,0.0,2025-05-15,2025-05-29,trial_ended,
sub_000236,org_00220,Growth,149.0,2025-05-29,,active,
sub_000237,org_00223,Trial,0.0,2025-12-04,2025-12-18,trial_ended,
sub_000238,org_00224,Trial,0.0,2025-01-25,2025-02-08,trial_ended,
sub_000239,org_00225,Trial,0.0,2025-11-20,2025-12-04,trial_ended,
sub_000240,org_00227,Trial,0.0,2025-05-03,2025-05-17,trial_ended,
sub_000241,org_00227,Starter,49.0,2025-05-18,2025-06-25,churned,
sub_000242,org_00229,Trial,0.0,2025-10-23,2025-11-06,trial_ended,
sub_000243,org_00230,Trial,0.0,2025-11-11,2025-11-25,trial_ended,
sub_000244,org_00230,Starter,49.0,2025-11-28,,active,
sub_000245,org_00231,Trial,0.0,2025-05-09,2025-05-23,trial_ended,
sub_000246,org_00236,Trial,0.0,2025-07-10,2025-07-24,trial_ended,
sub_000247,org_00236,Enterprise,999.0,2025-07-25,,active,
sub_000248,org_00237,Trial,0.0,2025-03-01,2025-03-15,trial_ended,
sub_000249,org_00237,Growth,149.0,2025-03-15,,active,
sub_000250,org_00240,Trial,0.0,2025-12-07,2025-12-21,trial_ended,
sub_000251,org_00240,Starter,49.0,2025-12-24,,active,
sub_000252,org_00241,Trial,0.0,2025-09-30,2025-10-14,trial_ended,
sub_000253,org_00241,Starter,49.0,2025-10-16,2025-12-15,churned,Low adoption
sub_000254,org_00244,Trial,0.0,2025-03-14,2025-03-28,trial_ended,
sub_000255,org_00244,Starter,49.0,2025-03-29,,active,
sub_000256,org_00245,Trial,0.0,2025-08-12,2025-08-26,trial_ended,
sub_000257,org_00245,Growth,149.0,2025-08-26,,active,
sub_000258,org_00249,Trial,0.0,2025-08-19,2025-09-02,trial_ended,
sub_000259,org_00251,Trial,0.0,2025-07-08,2025-07-22,trial_ended,
sub_000260,org_00251,Business,399.0,2025-07-24,,active,
sub_000261,org_00253,Trial,0.0,2025-04-06,2025-04-20,trial_ended,
sub_000262,org_00256,Trial,0.0,2025-02-08,2025-02-22,trial_ended,
sub_000263,org_00257,Trial,0.0,2025-03-14,2025-03-28,trial_ended,
sub_000264,org_00257,Growth,149.0,2025-03-30,,active,
sub_000265,org_00258,Trial,0.0,2025-09-23,2025-10-07,trial_ended,
sub_000266,org_00259,Trial,0.0,2025-12-23,2026-01-06,trial_ended,
sub_000267,org_00260,Trial,0.0,2025-02-20,2025-03-06,trial_ended,
sub_000268,org_00261,Trial,0.0,2025-03-28,2025-04-11,trial_ended,
sub_000269,org_00262,Trial,0.0,2025-08-19,2025-09-02,trial_ended,
sub_000270,org_00262,Enterprise,999.0,2025-09-02,,active,
sub_000271,org_00263,Trial,0.0,2025-06-28,2025-07-12,trial_ended,
sub_000272,org_00263,Starter,49.0,2025-07-14,2025-09-22,churned,Missing feature
sub_000273,org_00264,Trial,0.0,2025-11-01,2025-11-15,trial_ended,
sub_000274,org_00264,Growth,149.0,2025-11-17,,active,
sub_000275,org_00265,Trial,0.0,2025-04-08,2025-04-22,trial_ended,
sub_000276,org_00267,Trial,0.0,2025-01-17,2025-01-31,trial_ended,
sub_000277,org_00269,Trial,0.0,2025-12-08,2025-12-22,trial_ended,
sub_000278,org_00270,Trial,0.0,2025-11-22,2025-12-06,trial_ended,
sub_000279,org_00270,Growth,149.0,2025-12-07,2026-03-10,churned,Budget
sub_000280,org_00271,Trial,0.0,2025-12-03,2025-12-17,trial_ended,
sub_000281,org_00272,Trial,0.0,2025-06-12,2025-06-26,trial_ended,
sub_000282,org_00272,Business,399.0,2025-06-26,,active,
sub_000283,org_00273,Trial,0.0,2025-03-19,2025-04-02,trial_ended,
sub_000284,org_00273,Growth,149.0,2025-04-05,2025-08-03,churned,Budget
sub_000285,org_00275,Trial,0.0,2025-09-15,2025-09-29,trial_ended,
sub_000286,org_00275,Business,399.0,2025-09-30,,active,
sub_000287,org_00276,Trial,0.0,2025-02-13,2025-02-27,trial_ended,
sub_000288,org_00279,Trial,0.0,2025-04-26,2025-05-10,trial_ended,
sub_000289,org_00279,Enterprise,999.0,2025-05-11,2025-06-28,churned,Missing feature
sub_000290,org_00281,Trial,0.0,2025-04-11,2025-04-25,trial_ended,
sub_000291,org_00282,Trial,0.0,2025-07-02,2025-07-16,trial_ended,
sub_000292,org_00282,Growth,149.0,2025-07-19,,active,
sub_000293,org_00284,Trial,0.0,2025-10-21,2025-11-04,trial_ended,
sub_000294,org_00284,Growth,149.0,2025-11-07,,active,
sub_000295,org_00285,Trial,0.0,2025-05-05,2025-05-19,trial_ended,
sub_000296,org_00285,Starter,49.0,2025-05-22,,active,
sub_000297,org_00286,Trial,0.0,2025-01-09,2025-01-23,trial_ended,
sub_000298,org_00286,Enterprise,999.0,2025-01-24,2025-04-28,churned,Budget
sub_000299,org_00287,Trial,0.0,2025-06-23,2025-07-07,trial_ended,
sub_000300,org_00287,Enterprise,999.0,2025-07-09,,active,
sub_000301,org_00288,Trial,0.0,2025-06-13,2025-06-27,trial_ended,
sub_000302,org_00288,Enterprise,999.0,2025-06-30,,active,
sub_000303,org_00290,Trial,0.0,2025-04-13,2025-04-27,trial_ended,
sub_000304,org_00290,Business,399.0,2025-04-30,,active,
sub_000305,org_00291,Trial,0.0,2025-12-12,2025-12-26,trial_ended,
sub_000306,org_00291,Growth,149.0,2025-12-29,,active,
sub_000307,org_00292,Trial,0.0,2025-07-07,2025-07-21,trial_ended,
sub_000308,org_00294,Trial,0.0,2025-01-16,2025-01-30,trial_ended,
sub_000309,org_00296,Trial,0.0,2025-11-09,2025-11-23,trial_ended,
sub_000310,org_00296,Starter,49.0,2025-11-25,,active,
sub_000311,org_00298,Trial,0.0,2025-06-16,2025-06-30,trial_ended,
sub_000312,org_00299,Trial,0.0,2025-12-27,2026-01-10,trial_ended,
sub_000313,org_00299,Growth,149.0,2026-01-10,,active,
sub_000314,org_00300,Trial,0.0,2025-09-26,2025-10-10,trial_ended,
sub_000315,org_00300,Starter,49.0,2025-10-10,,active,
sub_000316,org_00301,Trial,0.0,2025-03-26,2025-04-09,trial_ended,
sub_000317,org_00301,Growth,149.0,2025-04-11,,active,
sub_000318,org_00303,Trial,0.0,2025-07-13,2025-07-27,trial_ended,
sub_000319,org_00303,Business,399.0,2025-07-30,,active,
sub_000320,org_00304,Trial,0.0,2025-09-13,2025-09-27,trial_ended,
sub_000321,org_00306,Trial,0.0,2025-09-21,2025-10-05,trial_ended,
sub_000322,org_00306,Starter,49.0,2025-10-07,2025-12-27,churned,Low adoption
sub_000323,org_00308,Trial,0.0,2025-09-28,2025-10-12,trial_ended,
sub_000324,org_00308,Starter,49.0,2025-10-14,,active,
sub_000325,org_00309,Trial,0.0,2025-10-25,2025-11-08,trial_ended,
sub_000326,org_00312,Trial,0.0,2025-05-30,2025-06-13,trial_ended,
sub_000327,org_00314,Trial,0.0,2025-11-10,2025-11-24,trial_ended,
sub_000328,org_00315,Trial,0.0,2025-10-22,2025-11-05,trial_ended,
sub_000329,org_00316,Trial,0.0,2025-03-08,2025-03-22,trial_ended,
sub_000330,org_00319,Trial,0.0,2025-05-11,2025-05-25,trial_ended,
sub_000331,org_00320,Trial,0.0,2025-06-26,2025-07-10,trial_ended,
sub_000332,org_00320,Growth,149.0,2025-07-12,,active,
sub_000333,org_00322,Trial,0.0,2025-03-08,2025-03-22,trial_ended,
sub_000334,org_00323,Trial,0.0,2025-04-21,2025-05-05,trial_ended,
sub_000335,org_00323,Starter,49.0,2025-05-08,,active,
sub_000336,org_00324,Trial,0.0,2025-10-14,2025-10-28,trial_ended,
sub_000337,org_00326,Trial,0.0,2025-12-03,2025-12-17,trial_ended,
sub_000338,org_00326,Growth,149.0,2025-12-20,,active,
sub_000339,org_00327,Trial,0.0,2025-02-09,2025-02-23,trial_ended,
sub_000340,org_00327,Starter,49.0,2025-02-26,,active,
sub_000341,org_00328,Trial,0.0,2025-10-14,2025-10-28,trial_ended,
sub_000342,org_00331,Trial,0.0,2025-09-23,2025-10-07,trial_ended,
sub_000343,org_00331,Growth,149.0,2025-10-10,,active,
sub_000344,org_00334,Trial,0.0,2025-11-15,2025-11-29,trial_ended,
sub_000345,org_00334,Business,399.0,2025-12-02,,active,
sub_000346,org_00336,Trial,0.0,2025-09-14,2025-09-28,trial_ended,
sub_000347,org_00338,Trial,0.0,2025-08-15,2025-08-29,trial_ended,
sub_000348,org_00338,Growth,149.0,2025-09-01,,active,
sub_000349,org_00339,Trial,0.0,2025-01-21,2025-02-04,trial_ended,
sub_000350,org_00339,Growth,149.0,2025-02-05,,active,
sub_000351,org_00342,Trial,0.0,2025-03-18,2025-04-01,trial_ended,
sub_000352,org_00342,Starter,49.0,2025-04-02,,active,
sub_000353,org_00343,Trial,0.0,2025-05-23,2025-06-06,trial_ended,
sub_000354,org_00344,Trial,0.0,2025-09-15,2025-09-29,trial_ended,
sub_000355,org_00344,Enterprise,999.0,2025-10-01,,active,
sub_000356,org_00345,Trial,0.0,2025-03-22,2025-04-05,trial_ended,
sub_000357,org_00345,Growth,149.0,2025-04-08,,active,
sub_000358,org_00348,Trial,0.0,2025-08-20,2025-09-03,trial_ended,
sub_000359,org_00349,Trial,0.0,2025-03-07,2025-03-21,trial_ended,
sub_000360,org_00349,Starter,49.0,2025-03-23,,active,
sub_000361,org_00350,Trial,0.0,2025-12-13,2025-12-27,trial_ended,
sub_000362,org_00350,Growth,149.0,2025-12-27,,active,
sub_000363,org_00351,Trial,0.0,2025-03-02,2025-03-16,trial_ended,
sub_000364,org_00351,Business,399.0,2025-03-19,2025-04-28,churned,Low adoption
sub_000365,org_00353,Trial,0.0,2025-01-12,2025-01-26,trial_ended,
sub_000366,org_00353,Growth,149.0,2025-01-28,,active,
sub_000367,org_00354,Trial,0.0,2025-05-26,2025-06-09,trial_ended,
sub_000368,org_00355,Trial,0.0,2025-01-10,2025-01-24,trial_ended,
sub_000369,org_00355,Starter,49.0,2025-01-25,,active,
sub_000370,org_00360,Trial,0.0,2025-01-11,2025-01-25,trial_ended,
sub_000371,org_00360,Enterprise,999.0,2025-01-25,,active,
sub_000372,org_00361,Trial,0.0,2025-01-06,2025-01-20,trial_ended,
sub_000373,org_00362,Trial,0.0,2025-12-07,2025-12-21,trial_ended,
sub_000374,org_00362,Growth,149.0,2025-12-24,,active,
sub_000375,org_00364,Trial,0.0,2025-04-09,2025-04-23,trial_ended,
