routing_attempt_id,lead_id,partner_id,routed_at,routing_priority,bid_amount,delivery_status,response_status,response_timestamp,rejection_reason
RA0B1D2DC7E453,L5B570FDD6F55,P003,2025-04-02 10:16:05 UTC,1,67.23,delivered,capacity_exceeded,2025-04-02 10:16:58 UTC,quality
RA793FB279F424,L8E711D55CC0F,P009,2025-05-29 22:58:41 UTC,1,60.99,delivered,accepted,2025-05-29 23:02:37 UTC,
RAA1C8B00D636C,LDECE37E0743A,P005,2025-02-27 23:10:33 UTC,1,94.83,delivered,accepted,2025-02-27 23:14:29 UTC,
RA92CE59D7D914,L885954AB7326,P010,2025-05-30 15:25:59 UTC,1,74.8,delivered,accepted,2025-05-30 15:27:24 UTC,
RA9F473A380C1F,L78FBA898F8C4,P002,2025-01-22 07:51:01 UTC,1,78.21,delivered,rejected,2025-01-22 07:54:51 UTC,quality
RA395D39902DD3,L0C4B1B843C0B,P006,2025-04-01 08:03:32 UTC,1,109.69,delivered,accepted,2025-04-01 08:07:07 UTC,
RA7E120BC44F87,L71A7D9748882,P002,2025-02-02 08:43:04 UTC,1,83.51,delivered,accepted,2025-02-02 08:46:38 UTC,
RA09EC25A44D5C,LC21616896DF8,P001,2025-06-13 20:13:30 UTC,1,70.05,delivered,accepted,2025-06-13 20:17:28 UTC,
RA7740B8CDF45A,L1AD4F197BD97,P002,2025-05-15 11:22:15 UTC,1,79.18,delivered,accepted,2025-05-15 11:26:49 UTC,
RAB325F00A09DA,L35D77E5180BC,P003,2025-03-11 22:03:08 UTC,1,66.92,delivered,accepted,2025-03-11 22:05:35 UTC,
RAEE5FC0811C42,L3861F21E2854,P001,2025-03-30 22:33:27 UTC,1,58.23,delivered,accepted,2025-03-30 22:35:43 UTC,
RAF4185F542BCD,L98C0EBB32FC3,P009,2025-06-20 17:11:40 UTC,1,57.91,delivered,accepted,2025-06-20 17:13:50 UTC,
RA341200B2819A,LA818D4CC07C5,P010,2025-03-30 19:43:16 UTC,1,80.88,delivered,accepted,2025-03-30 19:46:18 UTC,
RAD0C58A1568BD,L8BDB36928DF3,P003,2025-03-10 13:47:46 UTC,1,74.11,delivered,no_response,2025-03-10 13:52:39 UTC,capacity
RA9B8FC2E488E4,L31EC86AC232B,P001,2025-05-11 18:25:37 UTC,1,65.57,delivered,rejected,2025-05-11 18:26:25 UTC,quality
RAB4F66787C096,LE27192BC622B,P001,2025-06-02 19:27:29 UTC,1,57.2,delivered,accepted,2025-06-02 19:28:22 UTC,
RAA15F79C77A38,L36C905981A2A,P003,2025-03-04 10:37:29 UTC,1,74.13,delivered,accepted,2025-03-04 10:40:58 UTC,
RAAFD0DDAB772D,L91CBAE852869,P010,2025-05-05 21:53:32 UTC,1,68.49,delivered,rejected,2025-05-05 21:57:49 UTC,quality
RA54E71D8793E2,L25D93261FBC1,P010,2025-04-16 15:25:59 UTC,1,69.91,delivered,rejected,2025-04-16 15:27:24 UTC,quality
RA6FA222D49AD1,L013F0B7BC10F,P010,2025-05-11 09:02:32 UTC,1,65.77,delivered,accepted,2025-05-11 09:05:41 UTC,
RA8B42403A7995,L026027E6E92C,P001,2025-02-03 10:12:36 UTC,1,68.93,delivered,accepted,2025-02-03 10:15:50 UTC,
RA336CFD214533,LB793C023B487,P010,2025-03-11 10:29:10 UTC,1,63.28,delivered,rejected,2025-03-11 10:30:59 UTC,state_not_covered
RADCD9BB4C8A28,LB7336032A258,P010,2025-06-07 18:05:26 UTC,1,75.94,delivered,no_response,2025-06-07 18:06:45 UTC,state_not_covered
RADF213B7FB1F4,L621AF38ACE92,P010,2025-03-25 19:58:48 UTC,1,71.44,delivered,accepted,2025-03-25 20:03:44 UTC,
RAD9041CD39565,L1C05B51FE21B,P010,2025-05-27 17:47:37 UTC,1,64.57,delivered,capacity_exceeded,2025-05-27 17:50:32 UTC,capacity
RA9AAE8C306AA4,L1C05B51FE21B,P009,2025-05-27 17:47:30 UTC,2,53.78,delivered,accepted,2025-05-27 17:50:52 UTC,
RA07E4755ABAAD,LCD76673C9B5A,P003,2025-05-19 17:52:28 UTC,1,65.53,delivered,capacity_exceeded,2025-05-19 17:57:02 UTC,price_too_low
RA0BF68F786AA6,L8BB587BAC26D,P009,2025-05-29 07:34:28 UTC,1,55.76,delivered,capacity_exceeded,2025-05-29 07:36:01 UTC,state_not_covered
RACE1104106F31,L6C6E00EEB595,P003,2025-01-30 23:06:51 UTC,1,58.63,delivered,accepted,2025-01-30 23:08:45 UTC,
RA76D2907F9623,L4BB5CA985ED4,P003,2025-06-27 09:29:50 UTC,1,62.49,delivered,accepted,2025-06-27 09:32:13 UTC,
RAB817B0F18DEA,L18005CE57C66,P003,2025-01-05 19:34:52 UTC,1,77.93,delivered,no_response,2025-01-05 19:36:45 UTC,state_not_covered
RABA8D0DAD1183,L18005CE57C66,P002,2025-01-05 19:34:43 UTC,2,78.89,delivered,accepted,2025-01-05 19:37:20 UTC,
RAB4B6193E135E,L7EB9DCDEE425,P002,2025-01-25 10:24:38 UTC,1,69.23,delivered,accepted,2025-01-25 10:27:28 UTC,
RA91353B5ED0A2,L5C60CCF2E8D7,P003,2025-01-05 10:03:02 UTC,1,69.33,delivered,accepted,2025-01-05 10:07:16 UTC,
RA5ACF609A9BD7,L6CAA73B70C2A,P002,2025-04-07 09:11:16 UTC,1,78.56,delivered,accepted,2025-04-07 09:12:18 UTC,
RA70F045C5E1A6,L6FA1D1F31C61,P001,2025-02-13 12:55:26 UTC,1,70.45,delivered,accepted,2025-02-13 12:57:22 UTC,
RA961980BEC4FF,LBBF0EAA11395,P005,2025-01-29 18:23:52 UTC,1,89.86,delivered,rejected,2025-01-29 18:27:14 UTC,quality
RAF7A9FE1E7558,LE23235801E4F,P010,2025-04-26 21:14:22 UTC,1,62.25,delivered,accepted,2025-04-26 21:15:40 UTC,
RA965E566E3F5A,L4B5426318AB6,P002,2025-06-27 08:35:05 UTC,1,80.63,delivered,accepted,2025-06-27 08:38:03 UTC,
RA96F9F44A75E1,L3A5624FF9341,P006,2025-05-27 23:10:24 UTC,1,119.38,delivered,accepted,2025-05-27 23:11:33 UTC,
RA43F7CCFF4345,L101FBD87AA07,P002,2025-06-01 15:45:54 UTC,1,69.97,delivered,accepted,2025-06-01 15:46:12 UTC,
RA10EBD4E2ABF2,L120F8A3F8E92,P005,2025-05-28 21:13:31 UTC,1,97.24,delivered,accepted,2025-05-28 21:14:04 UTC,
RA7D71B22CBCB8,L34C614F93A8E,P003,2025-06-15 11:28:00 UTC,1,63.64,delivered,accepted,2025-06-15 11:31:41 UTC,
RA9BA9B6EE653D,L98742538A0A2,P010,2025-04-27 11:15:31 UTC,1,69.39,delivered,accepted,2025-04-27 11:19:40 UTC,
RA3CD0FF5414E7,LEC96F89A4356,P003,2025-03-26 11:07:07 UTC,1,66.53,delivered,no_response,2025-03-26 11:09:44 UTC,state_not_covered
RA7E720A0FE408,L8A4EBF85A3E7,P003,2025-06-25 08:51:46 UTC,1,71.44,delivered,capacity_exceeded,2025-06-25 08:51:58 UTC,state_not_covered
RA426CF5F7740C,L814625532E31,P010,2025-05-07 07:37:22 UTC,1,75.2,delivered,capacity_exceeded,2025-05-07 07:41:56 UTC,quality
RADAC533E804B1,L166272EC1A64,P010,2025-01-02 12:26:32 UTC,1,74.18,delivered,accepted,2025-01-02 12:30:07 UTC,
RA61A1949FD39A,LAECD2D1A8C68,P010,2025-06-09 20:04:16 UTC,1,78.99,delivered,accepted,2025-06-09 20:04:48 UTC,
RA0BD6BEB1A886,L659888609B90,P002,2025-03-19 20:23:36 UTC,1,70.07,delivered,no_response,2025-03-19 20:25:48 UTC,state_not_covered
RA47DCBC351ED3,L0404B128E77A,P002,2025-05-14 11:02:50 UTC,1,77.21,delivered,accepted,2025-05-14 11:04:14 UTC,
RA5D247F1DCAA5,L1FBE89D3EE46,P010,2025-01-07 10:17:54 UTC,1,81.38,delivered,accepted,2025-01-07 10:18:38 UTC,
RAF7DC28CC8D34,L8E04012F0438,P003,2025-03-10 22:18:00 UTC,1,69.77,delivered,rejected,2025-03-10 22:22:50 UTC,price_too_low
RA7BE698B1DF77,LF02E088CBEB8,P003,2025-02-12 19:37:48 UTC,1,73.34,delivered,accepted,2025-02-12 19:41:07 UTC,
RAD31BA6E05F64,LB82750B476AB,P002,2025-02-26 23:14:22 UTC,1,76.95,delivered,capacity_exceeded,2025-02-26 23:17:47 UTC,capacity
RAC5ED2F5DB303,L02E76B02FE2F,P002,2025-04-07 09:34:39 UTC,1,78.48,delivered,accepted,2025-04-07 09:38:02 UTC,
RAAC0184DAD187,L8FA86215A549,P003,2025-05-11 23:14:30 UTC,1,58.82,delivered,capacity_exceeded,2025-05-11 23:14:41 UTC,price_too_low
RA79A2A5CD9932,L8FA86215A549,P010,2025-05-11 23:14:07 UTC,2,66.19,delivered,capacity_exceeded,2025-05-11 23:16:50 UTC,quality
RAB70ABAAC58A1,L8FA86215A549,P002,2025-05-11 23:14:23 UTC,3,73.97,delivered,rejected,2025-05-11 23:18:47 UTC,quality
RA2A1EE59AE4FB,L724CC1B68B1E,P001,2025-02-23 19:27:43 UTC,1,63.62,delivered,accepted,2025-02-23 19:30:07 UTC,
RAB3A4828D52F0,L7089541C07FF,P005,2025-04-21 07:22:25 UTC,1,92.99,delivered,accepted,2025-04-21 07:25:08 UTC,
RA8C3311B506D9,L6508C09DD54F,P010,2025-04-29 21:05:53 UTC,1,61.7,delivered,accepted,2025-04-29 21:06:20 UTC,
RA0A571CD53B7F,L11C612595F7B,P002,2025-03-19 22:17:18 UTC,1,71.34,delivered,accepted,2025-03-19 22:21:26 UTC,
RAE0E88871DB31,L2B157DBEC740,P002,2025-04-25 18:15:24 UTC,1,79.23,delivered,accepted,2025-04-25 18:19:55 UTC,
RAC11852100A23,LD5C3CBEA4E52,P002,2025-05-18 21:03:08 UTC,1,65.89,delivered,accepted,2025-05-18 21:03:18 UTC,
RAF7D2A2A61B40,LE4B2908D8A3F,P010,2025-05-04 16:55:04 UTC,1,62.89,delivered,capacity_exceeded,2025-05-04 16:59:23 UTC,quality
RA87E565E1E62C,LAD1F1B490FEC,P005,2025-04-17 18:26:22 UTC,1,110.44,delivered,no_response,2025-04-17 18:28:53 UTC,quality
RA80FFB420AEF5,L97A13484E037,P010,2025-05-08 08:54:52 UTC,1,80.43,delivered,accepted,2025-05-08 08:56:47 UTC,
RA5C28509951C8,L900528E46A78,P003,2025-04-07 19:37:30 UTC,1,64.5,delivered,accepted,2025-04-07 19:38:22 UTC,
RAE169076F49EA,LEBC50237100F,P006,2025-06-28 12:45:58 UTC,1,127.17,delivered,accepted,2025-06-28 12:49:11 UTC,
RA1E8AD3DB1FEB,LF530FCEA5803,P005,2025-03-20 16:54:00 UTC,1,89.27,delivered,capacity_exceeded,2025-03-20 16:57:35 UTC,price_too_low
RA419EB10A3B8F,LBE3ED9962018,P010,2025-01-01 16:12:50 UTC,1,69.48,delivered,accepted,2025-01-01 16:16:34 UTC,
RA63231CCCBD8C,L629162DBE2F2,P007,2025-04-25 20:45:07 UTC,1,139.46,delivered,accepted,2025-04-25 20:48:55 UTC,
RA24F0B2A33160,L23A0373C6800,P010,2025-01-06 13:20:48 UTC,1,62.63,delivered,accepted,2025-01-06 13:23:03 UTC,
RAEE1663A98E13,LF2C1FEFD42BB,P003,2025-01-22 12:32:53 UTC,1,60.11,delivered,capacity_exceeded,2025-01-22 12:36:20 UTC,capacity
RA5552D5280001,L27F41DDE1BD0,P005,2025-01-29 11:34:11 UTC,1,115.04,delivered,accepted,2025-01-29 11:37:38 UTC,
RAC04D8094D6DE,L4F9BE6C9351A,P002,2025-04-19 12:12:35 UTC,1,82.06,delivered,accepted,2025-04-19 12:17:10 UTC,
RA2C2FB06434BD,LBD0E0536CD42,P005,2025-04-30 18:53:45 UTC,1,120.07,delivered,accepted,2025-04-30 18:57:26 UTC,
RAB054C0AFF806,LEF4B2036E339,P010,2025-06-16 20:49:23 UTC,1,81.32,delivered,no_response,2025-06-16 20:53:36 UTC,capacity
RA246AC22F4DE2,L70816713D381,P005,2025-03-06 18:40:47 UTC,1,113.04,delivered,capacity_exceeded,2025-03-06 18:41:51 UTC,state_not_covered
RAAB8D6B308866,LD5A67CE20B27,P010,2025-03-14 08:45:53 UTC,1,73.82,delivered,accepted,2025-03-14 08:50:32 UTC,
RAA5AF8A5E52D1,L47DC0B310896,P003,2025-05-30 21:00:37 UTC,1,77.99,delivered,capacity_exceeded,2025-05-30 21:03:29 UTC,quality
RA18753DD3F3FE,LEEEB7BAA11EC,P010,2025-04-21 17:21:08 UTC,1,68.91,delivered,accepted,2025-04-21 17:21:45 UTC,
RA264BA6AA020B,L3DC53A3C1F07,P010,2025-03-19 18:10:50 UTC,1,67.43,delivered,accepted,2025-03-19 18:13:20 UTC,
RA6D34A4B79D62,L8746C0771F5D,P009,2025-03-18 16:07:12 UTC,1,59.01,delivered,accepted,2025-03-18 16:07:22 UTC,
RA842912A5268A,LE358EDDAC635,P001,2025-04-30 12:39:35 UTC,1,64.13,delivered,accepted,2025-04-30 12:42:30 UTC,
RADBD024CA64B7,LD81B6EB67982,P001,2025-02-19 12:16:45 UTC,1,57.21,delivered,capacity_exceeded,2025-02-19 12:17:54 UTC,capacity
RA4C40150D4A0C,LCD51D4C240D9,P010,2025-05-03 22:45:18 UTC,1,64.94,delivered,rejected,2025-05-03 22:47:17 UTC,price_too_low
RA7D782FCF7841,LCD51D4C240D9,P002,2025-05-03 22:45:11 UTC,2,67.54,delivered,no_response,2025-05-03 22:46:21 UTC,capacity
RAE35C5B12AD95,LFEDD73AADB72,P005,2025-02-26 17:14:25 UTC,1,118.82,delivered,accepted,2025-02-26 17:16:57 UTC,
RA9DFFA925B31D,L2AE794005347,P002,2025-01-06 19:36:16 UTC,1,70.35,delivered,accepted,2025-01-06 19:36:53 UTC,
RA69F1B5D85F5B,L639CA2D2DCF4,P002,2025-01-15 21:44:11 UTC,1,77.0,delivered,accepted,2025-01-15 21:48:15 UTC,
RA3690F5B7A869,L4EF4BD803624,P010,2025-04-15 12:05:17 UTC,1,79.88,delivered,accepted,2025-04-15 12:06:50 UTC,
RAA189F48BF3C5,LEB09E8851DD4,P005,2025-01-10 08:58:28 UTC,1,96.78,delivered,accepted,2025-01-10 08:59:56 UTC,
RA52489A354F39,LE6672D150798,P002,2025-04-06 07:41:29 UTC,1,77.61,delivered,accepted,2025-04-06 07:46:19 UTC,
RAAA027AE78029,LD60756F3874E,P010,2025-04-19 12:50:56 UTC,1,71.32,delivered,accepted,2025-04-19 12:55:02 UTC,
RA1C7CA1939099,L66846C9F3737,P003,2025-02-04 12:21:25 UTC,1,73.59,delivered,capacity_exceeded,2025-02-04 12:23:48 UTC,capacity
RA2A1A3445C8CA,L66846C9F3737,P010,2025-02-04 12:21:37 UTC,2,67.09,delivered,accepted,2025-02-04 12:25:24 UTC,
RAB1AF5F136139,L37BA56605907,P003,2025-02-19 18:52:18 UTC,1,65.52,delivered,accepted,2025-02-19 18:56:12 UTC,
RAD49FF4901A9B,L701C1ADA26E6,P008,2025-01-24 07:39:52 UTC,1,81.58,delivered,no_response,2025-01-24 07:43:26 UTC,state_not_covered
RA0BA989899BD2,L40C7C218B079,P003,2025-01-03 16:32:16 UTC,1,63.27,delivered,capacity_exceeded,2025-01-03 16:34:22 UTC,price_too_low
RA4B385C75E793,L739150E53601,P002,2025-02-13 19:44:58 UTC,1,67.24,delivered,accepted,2025-02-13 19:47:28 UTC,
RA73B774E92BA5,L08F2D310BE73,P001,2025-04-28 14:02:53 UTC,1,58.25,delivered,accepted,2025-04-28 14:03:59 UTC,
RA2AB0D85350DE,LAADDE3209B1C,P003,2025-03-20 21:56:52 UTC,1,67.9,delivered,capacity_exceeded,2025-03-20 21:59:17 UTC,price_too_low
RAF74F5B078A27,LAADDE3209B1C,P009,2025-03-20 21:57:17 UTC,2,65.66,delivered,rejected,2025-03-20 21:57:30 UTC,capacity
RA69C9DBE8BF29,L06BE4812DFC4,P002,2025-01-14 21:39:29 UTC,1,75.36,delivered,capacity_exceeded,2025-01-14 21:41:49 UTC,capacity
RA2E9D1321DE02,L06BE4812DFC4,P008,2025-01-14 21:39:02 UTC,2,81.13,delivered,accepted,2025-01-14 21:42:45 UTC,
RA844719EE86DE,L22F777CAD3F4,P003,2025-04-05 20:14:34 UTC,1,62.33,delivered,accepted,2025-04-05 20:18:22 UTC,
RA4ECE5CF8A6FD,LF686AE74A5A8,P005,2025-04-28 17:08:32 UTC,1,102.79,delivered,accepted,2025-04-28 17:11:41 UTC,
RA44F1B416BB20,L64C765E99526,P004,2025-01-13 20:30:55 UTC,1,100.3,delivered,accepted,2025-01-13 20:32:16 UTC,
RA3BE5735C24BF,L4829DA236611,P002,2025-01-04 11:45:46 UTC,1,70.98,delivered,accepted,2025-01-04 11:48:29 UTC,
RA0E5D962B18B1,L73D45D7CB79F,P010,2025-06-25 19:30:41 UTC,1,71.22,delivered,no_response,2025-06-25 19:34:47 UTC,quality
RA01B5786BD5AF,LEFAB1BCEC619,P002,2025-04-18 09:55:29 UTC,1,85.81,delivered,accepted,2025-04-18 09:57:49 UTC,
RA525ECDA0373E,L188B71CF0CC5,P003,2025-03-08 15:51:17 UTC,1,67.6,delivered,accepted,2025-03-08 15:52:10 UTC,
RA9590620DD29C,LE54B5CE3FE21,P002,2025-01-14 21:22:25 UTC,1,69.02,delivered,accepted,2025-01-14 21:25:44 UTC,
RABA35A36C2B9C,L1F316DC58173,P010,2025-01-07 19:16:56 UTC,1,79.65,delivered,accepted,2025-01-07 19:19:09 UTC,
RA2E9E7D551944,LFA587DA9FFA7,P002,2025-04-22 09:56:25 UTC,1,70.68,delivered,accepted,2025-04-22 09:57:36 UTC,
RA3348F28ABB11,L593F1A96BF6E,P006,2025-04-09 09:13:54 UTC,1,132.05,delivered,accepted,2025-04-09 09:16:35 UTC,
RAB3E5AA29CC45,L39C880F7AE81,P010,2025-05-10 15:10:26 UTC,1,77.63,delivered,accepted,2025-05-10 15:15:24 UTC,
RA807452EA93CE,L49C39ABDEF41,P008,2025-02-11 13:11:31 UTC,1,88.34,delivered,accepted,2025-02-11 13:12:16 UTC,
RAC46E6C662D71,L1342C357BEA3,P002,2025-06-04 14:44:33 UTC,1,77.3,delivered,accepted,2025-06-04 14:48:45 UTC,
RADC6F6851B559,L1864DCDE639C,P007,2025-04-08 16:31:11 UTC,1,145.11,delivered,accepted,2025-04-08 16:35:10 UTC,
