event_id,customer_id,session_id,quote_id,event_timestamp,event_name,channel,campaign_id,utm_source,utm_medium,utm_campaign,device_type,insurance_vertical,state
E3F564ABBBE45,CUS491AB50DC556,SFA33DF7A1CE7,Q60C10E458B69,2025-02-15 13:14:14 UTC,landing_page_view,meta,C003,meta,cpc,C003,mobile,auto,OH
E787048C0AD0F,CUS4CD35D4DB3C5,SE57B75DB0B5E,QC48520EBD9E8,2025-05-16 18:59:10 UTC,landing_page_view,direct,C007,direct,direct,C007,desktop,home,GA
E9E041D31E589,CUS4CD35D4DB3C5,SE57B75DB0B5E,QC48520EBD9E8,2025-05-16 19:00:05 UTC,quote_started,direct,C007,direct,direct,C007,desktop,home,GA
EA739BC143056,CUS4CD35D4DB3C5,SE57B75DB0B5E,QC48520EBD9E8,2025-05-16 19:04:28 UTC,contact_information_completed,direct,C007,direct,direct,C007,desktop,home,GA
E8D6518DA3209,CUSF8B93CCBDD2B,S1AAA922B911E,QE7F5E0ECFBBE,2025-05-17 12:20:24 UTC,landing_page_view,organic,C006,organic,organic,C006,tablet,auto,GA
E918D817CE6A7,CUS62CA2D850A28,S74A18355CD20,QFAB7A668B299,2025-05-19 18:30:13 UTC,landing_page_view,organic,C006,organic,organic,C006,desktop,auto,OH
E6CC00413A4BE,CUS62CA2D850A28,S74A18355CD20,QFAB7A668B299,2025-05-19 18:31:00 UTC,quote_started,organic,C006,organic,organic,C006,desktop,auto,OH
E04AD164A333D,CUS62CA2D850A28,S74A18355CD20,QFAB7A668B299,2025-05-19 18:35:58 UTC,contact_information_completed,organic,C006,organic,organic,C006,desktop,auto,OH
E711DAC866D69,CUS62CA2D850A28,S74A18355CD20,QFAB7A668B299,2025-05-19 18:38:05 UTC,insurance_details_completed,organic,C006,organic,organic,C006,desktop,auto,OH
ED9CFFD87B899,CUS62CA2D850A28,S74A18355CD20,QFAB7A668B299,2025-05-19 18:38:50 UTC,quote_completed,organic,C006,organic,organic,C006,desktop,auto,OH
E192352895536,CUS62CA2D850A28,S74A18355CD20,QFAB7A668B299,2025-05-19 18:39:21 UTC,lead_submitted,organic,C006,organic,organic,C006,desktop,auto,OH
E2552A6B05005,CUS6471B93ACE41,S4E7E2D896799,Q0C4FA5F0F4A4,2025-02-24 20:16:01 UTC,landing_page_view,meta,C004,meta,cpc,C004,mobile,health,NY
EF2328009183E,CUS6471B93ACE41,S4E7E2D896799,Q0C4FA5F0F4A4,2025-02-24 20:19:46 UTC,quote_started,meta,C004,meta,cpc,C004,mobile,health,NY
E326CD336948E,CUS6471B93ACE41,S4E7E2D896799,Q0C4FA5F0F4A4,2025-02-24 20:20:28 UTC,contact_information_completed,meta,C004,meta,cpc,C004,mobile,health,NY
E01CFA283E7C5,CUS6471B93ACE41,S4E7E2D896799,Q0C4FA5F0F4A4,2025-02-24 20:21:33 UTC,insurance_details_completed,meta,C004,meta,cpc,C004,mobile,health,NY
EC5D10DB8038A,CUS6471B93ACE41,S4E7E2D896799,Q0C4FA5F0F4A4,2025-02-24 20:24:41 UTC,quote_completed,meta,C004,meta,cpc,C004,mobile,health,NY
EDDFA99B102FD,CUS3804E75018EF,SA704FE8310AA,QEDF5AC383423,2025-01-28 20:12:10 UTC,landing_page_view,google,C001,google,cpc,C001,desktop,auto,NC
E3C1E1B6F95E7,CUS3804E75018EF,SA704FE8310AA,QEDF5AC383423,2025-01-28 20:17:06 UTC,quote_started,google,C001,google,cpc,C001,desktop,auto,NC
E4C5EC675D82F,CUS3804E75018EF,SA704FE8310AA,QEDF5AC383423,2025-01-28 20:21:57 UTC,contact_information_completed,google,C001,google,cpc,C001,desktop,auto,NC
E9350B65BA76E,CUSDC9E86A46B1C,S3EB28CCDD077,Q0F2D83F2E65A,2025-01-24 22:14:40 UTC,landing_page_view,direct,C007,direct,direct,C007,desktop,home,FL
ECFAB0C3E00CA,CUSDC9E86A46B1C,S3EB28CCDD077,Q0F2D83F2E65A,2025-01-24 22:14:56 UTC,quote_started,direct,C007,direct,direct,C007,desktop,home,FL
E1DC5A5EA9D36,CUS7EBB98562EE3,S1D0421FF332A,QFD8F5529DE18,2025-03-09 22:09:56 UTC,landing_page_view,direct,C007,direct,direct,C007,desktop,home,OH
EA06F70812AD1,CUS7EBB98562EE3,S1D0421FF332A,QFD8F5529DE18,2025-03-09 22:14:48 UTC,quote_started,direct,C007,direct,direct,C007,desktop,home,OH
EE91DF22580D1,CUS7EBB98562EE3,S1D0421FF332A,QFD8F5529DE18,2025-03-09 22:17:43 UTC,contact_information_completed,direct,C007,direct,direct,C007,desktop,home,OH
E0CFCA716490A,CUS7EBB98562EE3,S1D0421FF332A,QFD8F5529DE18,2025-03-09 22:22:02 UTC,insurance_details_completed,direct,C007,direct,direct,C007,desktop,home,OH
E7FF61733046D,CUS7EBB98562EE3,S1D0421FF332A,QFD8F5529DE18,2025-03-09 22:26:48 UTC,quote_completed,direct,C007,direct,direct,C007,desktop,home,OH
E228025289F7E,CUS7EBB98562EE3,S1D0421FF332A,QFD8F5529DE18,2025-03-09 22:31:23 UTC,lead_submitted,direct,C007,direct,direct,C007,desktop,home,OH
E7A8DA4C71F39,CUSB01FFE1B811E,SCCD69E739D42,Q2E46BD4039EB,2025-04-14 09:31:24 UTC,landing_page_view,google,C001,google,cpc,C001,mobile,auto,MI
EDBC10F11A6EA,CUSB01FFE1B811E,SCCD69E739D42,Q2E46BD4039EB,2025-04-14 09:33:52 UTC,quote_started,google,C001,google,cpc,C001,mobile,auto,MI
E907ACFF30B98,CUSB01FFE1B811E,SCCD69E739D42,Q2E46BD4039EB,2025-04-14 09:36:47 UTC,contact_information_completed,google,C001,google,cpc,C001,mobile,auto,MI
EE9570240808F,CUSB01FFE1B811E,SCCD69E739D42,Q2E46BD4039EB,2025-04-14 09:40:24 UTC,insurance_details_completed,google,C001,google,cpc,C001,mobile,auto,MI
E41991FA83D64,CUSB01FFE1B811E,SCCD69E739D42,Q2E46BD4039EB,2025-04-14 09:43:12 UTC,quote_completed,google,C001,google,cpc,C001,mobile,auto,MI
E69D27D675BEF,CUSB01FFE1B811E,SCCD69E739D42,Q2E46BD4039EB,2025-04-14 09:44:04 UTC,lead_submitted,google,C001,google,cpc,C001,mobile,auto,MI
EC043FF078C8D,CUS8B95A816FA86,S869CC0ECA9C4,Q8854970240DC,2025-01-19 09:57:50 UTC,landing_page_view,meta,C004,meta,cpc,C004,tablet,health,FL
EC65FC9566B9E,CUS8B95A816FA86,S869CC0ECA9C4,Q8854970240DC,2025-01-19 10:02:43 UTC,quote_started,meta,C004,meta,cpc,C004,tablet,health,FL
ED266C0A52510,CUS8B95A816FA86,S869CC0ECA9C4,Q8854970240DC,2025-01-19 10:07:28 UTC,contact_information_completed,meta,C004,meta,cpc,C004,tablet,health,FL
EF9DF0D477A36,CUS8B95A816FA86,S869CC0ECA9C4,Q8854970240DC,2025-01-19 10:12:26 UTC,insurance_details_completed,meta,C004,meta,cpc,C004,tablet,health,FL
E9FEB0B623C57,CUS8B95A816FA86,S869CC0ECA9C4,Q8854970240DC,2025-01-19 10:13:34 UTC,quote_completed,meta,C004,meta,cpc,C004,tablet,health,FL
EE2562477745B,CUS5E364418EE05,SFD0362A21C90,Q868A593622B8,2025-02-04 16:40:12 UTC,landing_page_view,google,C001,google,cpc,C001,desktop,auto,NC
E9B023D27BFCB,CUSCBC585063BAE,S8C5265956715,Q044AF8047916,2025-03-09 20:56:22 UTC,landing_page_view,meta,C004,meta,cpc,C004,desktop,health,CA
E21C093BBBB4A,CUS43C7988DFBFA,SEF4917D82669,Q74826F0DCA9F,2025-06-13 20:36:31 UTC,landing_page_view,direct,C007,direct,direct,C007,mobile,home,GA
EB1C815B232FB,CUS43C7988DFBFA,SEF4917D82669,Q74826F0DCA9F,2025-06-13 20:39:55 UTC,quote_started,direct,C007,direct,direct,C007,mobile,home,GA
E0E609BDB855A,CUS43C7988DFBFA,SEF4917D82669,Q74826F0DCA9F,2025-06-13 20:41:25 UTC,contact_information_completed,direct,C007,direct,direct,C007,mobile,home,GA
E95CDF5B25CA8,CUS43C7988DFBFA,SEF4917D82669,Q74826F0DCA9F,2025-06-13 20:42:01 UTC,insurance_details_completed,direct,C007,direct,direct,C007,mobile,home,GA
E90F51308C3D8,CUS43C7988DFBFA,SEF4917D82669,Q74826F0DCA9F,2025-06-13 20:42:36 UTC,quote_completed,direct,C007,direct,direct,C007,mobile,home,GA
E141969B07CF6,CUSB74C36C7278A,S7BA2A5B6759A,QF3A6604DD96A,2025-02-23 20:42:03 UTC,landing_page_view,affiliate,C005,affiliate,affiliate,C005,mobile,life,PA
E8B6991A3D593,CUSA1BEB5DEFD6B,SE6A6F78B9149,Q1CCB16335F86,2025-02-15 17:53:21 UTC,landing_page_view,organic,C006,organic,organic,C006,mobile,auto,FL
E89F28DC097B0,CUSA1BEB5DEFD6B,SE6A6F78B9149,Q1CCB16335F86,2025-02-15 17:54:31 UTC,quote_started,organic,C006,organic,organic,C006,mobile,auto,FL
EF733A041908D,CUSA1BEB5DEFD6B,SE6A6F78B9149,Q1CCB16335F86,2025-02-15 17:55:05 UTC,contact_information_completed,organic,C006,organic,organic,C006,mobile,auto,FL
EA18DFC025743,CUS32EDA9603860,S891F1567F094,QF2E3F0DB3DC1,2025-02-26 14:17:40 UTC,landing_page_view,google,C002,google,cpc,C002,desktop,home,PA
EA9AB1C0F564D,CUS32EDA9603860,S891F1567F094,QF2E3F0DB3DC1,2025-02-26 14:18:30 UTC,quote_started,google,C002,google,cpc,C002,desktop,home,PA
E3F5036257554,CUS04400A43EEB5,SE55A25AA6FEC,QE465C48E9F4F,2025-03-13 07:09:42 UTC,landing_page_view,meta,C004,meta,cpc,C004,desktop,health,NC
E009956FA213E,CUS04400A43EEB5,SE55A25AA6FEC,QE465C48E9F4F,2025-03-13 07:12:12 UTC,quote_started,meta,C004,meta,cpc,C004,desktop,health,NC
E2BD793A5BF60,CUS04400A43EEB5,SE55A25AA6FEC,QE465C48E9F4F,2025-03-13 07:16:09 UTC,contact_information_completed,meta,C004,meta,cpc,C004,desktop,health,NC
E8B28FA0FA110,CUS04400A43EEB5,SE55A25AA6FEC,QE465C48E9F4F,2025-03-13 07:19:04 UTC,insurance_details_completed,meta,C004,meta,cpc,C004,desktop,health,NC
E7174E5DBDC38,CUS04400A43EEB5,SE55A25AA6FEC,QE465C48E9F4F,2025-03-13 07:23:40 UTC,quote_completed,meta,C004,meta,cpc,C004,desktop,health,NC
E7BF6F918266D,CUS04400A43EEB5,SE55A25AA6FEC,QE465C48E9F4F,2025-03-13 07:25:32 UTC,lead_submitted,meta,C004,meta,cpc,C004,desktop,health,NC
E6EBEF219C003,CUSB78A978D1C5B,SBB3FA156F268,Q30AAC9BDFBD0,2025-06-25 17:40:38 UTC,landing_page_view,affiliate,C005,affiliate,affiliate,C005,desktop,life,PA
E0B123FB58F43,CUS12B55BE28295,S3943FC6DD47B,QAEF80C5F5399,2025-03-18 16:38:37 UTC,landing_page_view,meta,C004,meta,cpc,C004,desktop,health,PA
EE81886B6F239,CUSE31F6D109806,S291D74727780,Q36A5298A7F5B,2025-02-14 07:22:17 UTC,landing_page_view,affiliate,C005,affiliate,affiliate,C005,mobile,life,IL
E25C0CDE4297E,CUSE31F6D109806,S291D74727780,Q36A5298A7F5B,2025-02-14 07:26:18 UTC,quote_started,affiliate,C005,affiliate,affiliate,C005,mobile,life,IL
E006C9E75E283,CUSE31F6D109806,S291D74727780,Q36A5298A7F5B,2025-02-14 07:30:54 UTC,contact_information_completed,affiliate,C005,affiliate,affiliate,C005,mobile,life,IL
E5E7D0A88A9A3,CUSE31F6D109806,S291D74727780,Q36A5298A7F5B,2025-02-14 07:32:35 UTC,insurance_details_completed,affiliate,C005,affiliate,affiliate,C005,mobile,life,IL
E18D787CCD662,CUSE31F6D109806,S291D74727780,Q36A5298A7F5B,2025-02-14 07:35:15 UTC,quote_completed,affiliate,C005,affiliate,affiliate,C005,mobile,life,IL
EC0DB3FC1220C,CUSE31F6D109806,S291D74727780,Q36A5298A7F5B,2025-02-14 07:38:21 UTC,lead_submitted,affiliate,C005,affiliate,affiliate,C005,mobile,life,IL
E50F6B756A424,CUS997DF3726271,S7D876FEC19D2,Q1534CBA9EC31,2025-02-27 22:44:02 UTC,landing_page_view,organic,C006,organic,organic,C006,desktop,auto,CA
E532616D082E6,CUS997DF3726271,S7D876FEC19D2,Q1534CBA9EC31,2025-02-27 22:45:56 UTC,quote_started,organic,C006,organic,organic,C006,desktop,auto,CA
EE7530BE6044E,CUS997DF3726271,S7D876FEC19D2,Q1534CBA9EC31,2025-02-27 22:49:27 UTC,contact_information_completed,organic,C006,organic,organic,C006,desktop,auto,CA
E6B4F91AED5C5,CUS997DF3726271,S7D876FEC19D2,Q1534CBA9EC31,2025-02-27 22:51:46 UTC,insurance_details_completed,organic,C006,organic,organic,C006,desktop,auto,CA
E0CEA607DE343,CUS997DF3726271,S7D876FEC19D2,Q1534CBA9EC31,2025-02-27 22:52:03 UTC,quote_completed,organic,C006,organic,organic,C006,desktop,auto,CA
E805F6C88BCDC,CUS774ACF8E477B,SC057FD99C56D,QE250211FDA02,2025-01-28 21:04:52 UTC,landing_page_view,organic,C006,organic,organic,C006,mobile,auto,FL
EE84EFC43AFEE,CUS774ACF8E477B,SC057FD99C56D,QE250211FDA02,2025-01-28 21:09:04 UTC,quote_started,organic,C006,organic,organic,C006,mobile,auto,FL
EDC48FA0E64D5,CUS774ACF8E477B,SC057FD99C56D,QE250211FDA02,2025-01-28 21:12:01 UTC,contact_information_completed,organic,C006,organic,organic,C006,mobile,auto,FL
E33A53F96E893,CUSD3E2C980E367,S42452306ED94,Q1E6F9E3DA5A7,2025-04-24 12:50:22 UTC,landing_page_view,affiliate,C005,affiliate,affiliate,C005,desktop,life,NC
E0E3761F21DC0,CUS375A07A490F7,S49CC243CFE3E,QC50EC0FD5AB1,2025-06-13 09:48:24 UTC,landing_page_view,google,C002,google,cpc,C002,desktop,home,NY
EEB3D848A9B93,CUS375A07A490F7,S49CC243CFE3E,QC50EC0FD5AB1,2025-06-13 09:53:15 UTC,quote_started,google,C002,google,cpc,C002,desktop,home,NY
EE03E67489597,CUS375A07A490F7,S49CC243CFE3E,QC50EC0FD5AB1,2025-06-13 09:54:47 UTC,contact_information_completed,google,C002,google,cpc,C002,desktop,home,NY
E40EC98439233,CUS375A07A490F7,S49CC243CFE3E,QC50EC0FD5AB1,2025-06-13 09:56:20 UTC,insurance_details_completed,google,C002,google,cpc,C002,desktop,home,NY
E8EB2D3E22588,CUS375A07A490F7,S49CC243CFE3E,QC50EC0FD5AB1,2025-06-13 09:57:07 UTC,quote_completed,google,C002,google,cpc,C002,desktop,home,NY
E5B9343882430,CUS375A07A490F7,S49CC243CFE3E,QC50EC0FD5AB1,2025-06-13 10:00:11 UTC,lead_submitted,google,C002,google,cpc,C002,desktop,home,NY
EE96D3A484C02,CUS3D432A76B4C8,S43CC9465C417,Q1803BD28A733,2025-04-10 07:26:08 UTC,landing_page_view,direct,C007,direct,direct,C007,desktop,home,MI
E34554571893D,CUS3D432A76B4C8,S43CC9465C417,Q1803BD28A733,2025-04-10 07:31:02 UTC,quote_started,direct,C007,direct,direct,C007,desktop,home,MI
E78DDDEE028F6,CUSA233C364B60B,S0BBD23BD0DEC,Q4325A51CEBAC,2025-02-26 19:25:24 UTC,landing_page_view,meta,C004,meta,cpc,C004,mobile,health,IL
EED276B246E1E,CUSA2E706AEDC44,S94C937859661,QDDDB04928B05,2025-04-30 07:09:52 UTC,landing_page_view,direct,C007,direct,direct,C007,mobile,home,IL
E94672AA178F1,CUSA2E706AEDC44,S94C937859661,QDDDB04928B05,2025-04-30 07:12:20 UTC,quote_started,direct,C007,direct,direct,C007,mobile,home,IL
E6FB3735CBD4D,CUSA2E706AEDC44,S94C937859661,QDDDB04928B05,2025-04-30 07:14:23 UTC,contact_information_completed,direct,C007,direct,direct,C007,mobile,home,IL
E1225BCB26603,CUSA2E706AEDC44,S94C937859661,QDDDB04928B05,2025-04-30 07:17:30 UTC,insurance_details_completed,direct,C007,direct,direct,C007,mobile,home,IL
EF3151AACFBF3,CUSA2E706AEDC44,S94C937859661,QDDDB04928B05,2025-04-30 07:20:59 UTC,quote_completed,direct,C007,direct,direct,C007,mobile,home,IL
E56D69DC84BDB,CUSA2E706AEDC44,S94C937859661,QDDDB04928B05,2025-04-30 07:24:49 UTC,lead_submitted,direct,C007,direct,direct,C007,mobile,home,IL
E8891F3499D16,CUS3E0A4CED0B83,SE3FD19FD3E5F,QAF9FA6BECB73,2025-01-14 08:49:58 UTC,landing_page_view,direct,C007,direct,direct,C007,mobile,home,NY
EA09AB5E86B40,CUS3F9EBA3850A3,S8059A60AF1E1,Q2758BAE77DE5,2025-06-09 13:33:07 UTC,landing_page_view,google,C001,google,cpc,C001,mobile,auto,GA
E0CD3B08F3ACF,CUS3F9EBA3850A3,S8059A60AF1E1,Q2758BAE77DE5,2025-06-09 13:34:20 UTC,quote_started,google,C001,google,cpc,C001,mobile,auto,GA
ED00FD59B9E9B,CUS6E9485D1FA10,SC6F666F3F66C,Q8B1E0080B3B0,2025-02-11 16:40:10 UTC,landing_page_view,direct,C007,direct,direct,C007,desktop,home,MI
EF5036A99188D,CUS6E9485D1FA10,SC6F666F3F66C,Q8B1E0080B3B0,2025-02-11 16:42:06 UTC,quote_started,direct,C007,direct,direct,C007,desktop,home,MI
EF48FB814A142,CUS6E9485D1FA10,SC6F666F3F66C,Q8B1E0080B3B0,2025-02-11 16:44:25 UTC,contact_information_completed,direct,C007,direct,direct,C007,desktop,home,MI
EFA152A233BE9,CUS6E9485D1FA10,SC6F666F3F66C,Q8B1E0080B3B0,2025-02-11 16:47:14 UTC,insurance_details_completed,direct,C007,direct,direct,C007,desktop,home,MI
EE95171741DB0,CUS7A30EE679DF7,S6C820B42578E,Q92A581DFEEC9,2025-06-03 18:04:53 UTC,landing_page_view,organic,C006,organic,organic,C006,mobile,auto,PA
EC58E9C6230CB,CUS5D8CC998419A,S7029C2137C21,Q2E4FC95CE10A,2025-05-06 20:14:19 UTC,landing_page_view,google,C002,google,cpc,C002,mobile,home,GA
EE4073E8857E0,CUS9582445B3606,S02A5C0960339,QBE7DB3221B07,2025-05-18 15:21:53 UTC,landing_page_view,organic,C006,organic,organic,C006,mobile,auto,IL
E0B5391A900DF,CUS9582445B3606,S02A5C0960339,QBE7DB3221B07,2025-05-18 15:25:58 UTC,quote_started,organic,C006,organic,organic,C006,mobile,auto,IL
E32DACA2522EB,CUS9582445B3606,S02A5C0960339,QBE7DB3221B07,2025-05-18 15:30:10 UTC,contact_information_completed,organic,C006,organic,organic,C006,mobile,auto,IL
ED7F0CC3BCFCE,CUS9582445B3606,S02A5C0960339,QBE7DB3221B07,2025-05-18 15:33:39 UTC,insurance_details_completed,organic,C006,organic,organic,C006,mobile,auto,IL
E27B7450F8384,CUS9582445B3606,S02A5C0960339,QBE7DB3221B07,2025-05-18 15:38:07 UTC,quote_completed,organic,C006,organic,organic,C006,mobile,auto,IL
E18AA444509C2,CUSADE16ECCFBE5,S8C485C1CEF08,Q9A20D64849CA,2025-02-16 15:36:52 UTC,landing_page_view,meta,C004,meta,cpc,C004,desktop,health,OH
E19FDCD38EAFD,CUSADE16ECCFBE5,S8C485C1CEF08,Q9A20D64849CA,2025-02-16 15:40:35 UTC,quote_started,meta,C004,meta,cpc,C004,desktop,health,OH
E97668F8E7214,CUSADE16ECCFBE5,S8C485C1CEF08,Q9A20D64849CA,2025-02-16 15:42:53 UTC,contact_information_completed,meta,C004,meta,cpc,C004,desktop,health,OH
EBB95670B29D2,CUSADE16ECCFBE5,S8C485C1CEF08,Q9A20D64849CA,2025-02-16 15:47:19 UTC,insurance_details_completed,meta,C004,meta,cpc,C004,desktop,health,OH
E26D8DB4BF3F7,CUSADE16ECCFBE5,S8C485C1CEF08,Q9A20D64849CA,2025-02-16 15:47:42 UTC,quote_completed,meta,C004,meta,cpc,C004,desktop,health,OH
E26D721C57D36,CUSADE16ECCFBE5,S8C485C1CEF08,Q9A20D64849CA,2025-02-16 15:49:50 UTC,lead_submitted,meta,C004,meta,cpc,C004,desktop,health,OH
E8B2FBA5A1076,CUS54C880D71BC3,SF6578ECDD81E,QBF54C88DA70F,2025-05-02 17:25:35 UTC,landing_page_view,meta,C004,meta,cpc,C004,tablet,health,IL
EFFB0FFEF0C9B,CUS54C880D71BC3,SF6578ECDD81E,QBF54C88DA70F,2025-05-02 17:26:51 UTC,quote_started,meta,C004,meta,cpc,C004,tablet,health,IL
EC1E1E0981FF2,CUS54C880D71BC3,SF6578ECDD81E,QBF54C88DA70F,2025-05-02 17:29:47 UTC,contact_information_completed,meta,C004,meta,cpc,C004,tablet,health,IL
E68CE185C7874,CUS54C880D71BC3,SF6578ECDD81E,QBF54C88DA70F,2025-05-02 17:34:36 UTC,insurance_details_completed,meta,C004,meta,cpc,C004,tablet,health,IL
E45553DC95DD0,CUS2224CE401114,SCFBF609DEA8E,Q29D70D4590EC,2025-06-26 16:09:04 UTC,landing_page_view,google,C001,google,cpc,C001,desktop,auto,GA
E91663EE2A435,CUS2224CE401114,SCFBF609DEA8E,Q29D70D4590EC,2025-06-26 16:11:53 UTC,quote_started,google,C001,google,cpc,C001,desktop,auto,GA
ED6B3DF9C6376,CUS2224CE401114,SCFBF609DEA8E,Q29D70D4590EC,2025-06-26 16:16:41 UTC,contact_information_completed,google,C001,google,cpc,C001,desktop,auto,GA
EB8CA15C89EE3,CUS2224CE401114,SCFBF609DEA8E,Q29D70D4590EC,2025-06-26 16:17:19 UTC,insurance_details_completed,google,C001,google,cpc,C001,desktop,auto,GA
ECF196300017E,CUS2EF332B0E751,S0A5498B5ABF4,Q25C89B9774E7,2025-05-22 07:40:18 UTC,landing_page_view,google,C001,google,cpc,C001,desktop,auto,GA
EB85522C62BB0,CUS2EF332B0E751,S0A5498B5ABF4,Q25C89B9774E7,2025-05-22 07:40:59 UTC,quote_started,google,C001,google,cpc,C001,desktop,auto,GA
E2C73C6833018,CUS2EF332B0E751,S0A5498B5ABF4,Q25C89B9774E7,2025-05-22 07:45:18 UTC,contact_information_completed,google,C001,google,cpc,C001,desktop,auto,GA
E242F4B0C62BB,CUS2EF332B0E751,S0A5498B5ABF4,Q25C89B9774E7,2025-05-22 07:46:06 UTC,insurance_details_completed,google,C001,google,cpc,C001,desktop,auto,GA
EAE92AD463778,CUS2EF332B0E751,S0A5498B5ABF4,Q25C89B9774E7,2025-05-22 07:46:58 UTC,quote_completed,google,C001,google,cpc,C001,desktop,auto,GA
EED2DA27A7A79,CUS2EF332B0E751,S0A5498B5ABF4,Q25C89B9774E7,2025-05-22 07:47:40 UTC,lead_submitted,google,C001,google,cpc,C001,desktop,auto,GA
EE2AAB0348A49,CUS762D7C56105B,S25509360595E,Q98AE3D8E7EA7,2025-01-31 14:53:34 UTC,landing_page_view,meta,C004,meta,cpc,C004,mobile,health,MI
E3B0223EFD155,CUS762D7C56105B,S25509360595E,Q98AE3D8E7EA7,2025-01-31 14:57:28 UTC,quote_started,meta,C004,meta,cpc,C004,mobile,health,MI
EE18DF84F0BAD,CUS762D7C56105B,S25509360595E,Q98AE3D8E7EA7,2025-01-31 14:58:13 UTC,contact_information_completed,meta,C004,meta,cpc,C004,mobile,health,MI
E530EF64E96F0,CUS762D7C56105B,S25509360595E,Q98AE3D8E7EA7,2025-01-31 14:59:18 UTC,insurance_details_completed,meta,C004,meta,cpc,C004,mobile,health,MI
ED4C4FE05FE6B,CUS91AF55EAD8F4,S854544220088,Q16C289062C2E,2025-02-23 12:38:48 UTC,landing_page_view,affiliate,C005,affiliate,affiliate,C005,desktop,life,TX
E9B2EA425B93E,CUS91AF55EAD8F4,S854544220088,Q16C289062C2E,2025-02-23 12:43:03 UTC,quote_started,affiliate,C005,affiliate,affiliate,C005,desktop,life,TX
