lead_id,quote_id,customer_id,campaign_id,channel,submitted_at,insurance_vertical,state,device_type,lead_quality_score,is_valid,is_duplicate,is_test_lead,is_suspected_fraud,rejection_reason,lead_status
L64F3D9BCBC8F,Q93926F97AE2A,CUS7806532384FA,C007,direct,2025-01-24 07:36:30 UTC,home,GA,mobile,90,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L3CBDBC69CAA4,QB540FD8A6C8E,CUSDB3AF7B84E40,C006,organic,2025-06-28 09:19:29 UTC,auto,GA,mobile,98,TRUE,FALSE,FALSE,FALSE,,valid
L5A6CA0386788,QE02B83EA7C47,CUS11CCAB93D0A2,C005,affiliate,2025-01-05 08:00:19 UTC,life,FL,desktop,77,TRUE,FALSE,FALSE,FALSE,,valid
LE38147C5495A,Q0B6AC668DE75,CUSCA330B671133,C002,google,2025-03-26 22:12:02 UTC,home,IL,mobile,67,TRUE,FALSE,FALSE,FALSE,,valid
LA8795C4979E9,Q5D77F361B2CF,CUS42135B4875A7,C004,meta,2025-01-08 19:33:37 UTC,health,OH,mobile,43,TRUE,FALSE,FALSE,FALSE,,valid
L65BE3EA9DCF2,Q9983EF8F7E8B,CUSC9C737E7FE9F,C002,google,2025-04-21 18:18:49 UTC,home,PA,mobile,76,TRUE,FALSE,FALSE,FALSE,,valid
L1BD96CB34CE9,Q6E4259CB13CA,CUSE684D8CEE11E,C002,google,2025-02-06 08:29:31 UTC,home,NC,desktop,68,TRUE,FALSE,FALSE,FALSE,,valid
L7A416BBAA325,Q7D6340139753,CUS414ABE81F1CD,C003,meta,2025-05-29 19:23:21 UTC,auto,MI,mobile,47,TRUE,FALSE,FALSE,FALSE,,valid
L009353656F00,Q461EC6ACB43F,CUS7FC45AE8DAC7,C003,meta,2025-03-13 14:04:21 UTC,auto,OH,mobile,62,FALSE,FALSE,FALSE,FALSE,missing_fields,rejected
LFC2C22F58A79,QE3A30823C1F7,CUS539256BA6D34,C002,google,2025-05-03 11:25:23 UTC,home,NC,mobile,50,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L327319BE8A1F,QAE890E0FEE97,CUS3B6CDCBEADAA,C003,meta,2025-03-17 20:04:19 UTC,auto,FL,mobile,63,FALSE,FALSE,FALSE,FALSE,low_quality_score,rejected
L1D1F86F5D624,Q37A47973D53A,CUS4EE3706FF536,C007,direct,2025-05-19 20:35:31 UTC,home,GA,desktop,32,FALSE,FALSE,FALSE,FALSE,low_quality_score,rejected
L51463CD005B0,QE3CF4D89C9ED,CUSA6B39AD7080B,C004,meta,2025-03-18 14:24:50 UTC,health,NC,desktop,35,FALSE,FALSE,FALSE,FALSE,low_quality_score,rejected
L9C22A8FBFC6A,Q8D26D15DF237,CUS5073A714DBA7,C001,google,2025-01-19 12:03:38 UTC,auto,IL,mobile,41,TRUE,FALSE,FALSE,FALSE,,valid
L6AEB09578844,Q724CFCBE4EAE,CUSFFA24BC9724B,C004,meta,2025-06-02 20:38:45 UTC,health,IL,desktop,62,FALSE,FALSE,FALSE,FALSE,ineligible_state,rejected
L0F19C320F0D1,Q8B9C6C95F7C1,CUS9ABD122C2AAE,C004,meta,2025-02-23 21:04:19 UTC,health,TX,mobile,98,TRUE,FALSE,FALSE,FALSE,,valid
LC87DD412C0F3,Q35736040937B,CUS9915251D2197,C007,direct,2025-03-26 15:32:59 UTC,home,TX,desktop,48,TRUE,FALSE,FALSE,FALSE,,valid
L13B0B251099F,Q106544BC5F7C,CUSC9CD05E07F5F,C003,meta,2025-03-04 21:29:17 UTC,auto,PA,mobile,76,TRUE,FALSE,FALSE,FALSE,,valid
L652F750138D2,Q40D697EABF8A,CUS2571DB481EE3,C002,google,2025-05-31 17:12:54 UTC,home,GA,mobile,52,TRUE,FALSE,FALSE,FALSE,,valid
LE6812C22C529,QAA652C1DE9BA,CUS850DD4BB0A7A,C002,google,2025-03-19 15:14:17 UTC,home,TX,mobile,31,TRUE,FALSE,FALSE,FALSE,,valid
LB773BA645432,Q54C93AA239E8,CUSEA01F2533DD9,C005,affiliate,2025-06-10 13:19:44 UTC,life,MI,mobile,68,FALSE,FALSE,FALSE,FALSE,missing_fields,rejected
L1F9B1E7697CF,QFE4D544074F5,CUS39916D50C65F,C003,meta,2025-01-30 12:18:05 UTC,auto,OH,mobile,97,FALSE,FALSE,FALSE,FALSE,ineligible_state,rejected
L349178FA1B82,QCE69DCD0BC5B,CUS725AFD611666,C005,affiliate,2025-05-27 07:16:50 UTC,life,NY,mobile,39,TRUE,FALSE,FALSE,FALSE,,valid
L8A956CAC4A65,QF907405A9F52,CUS0469823B87A1,C005,affiliate,2025-04-11 14:20:58 UTC,life,PA,mobile,68,TRUE,FALSE,FALSE,FALSE,,valid
L54714B1780E9,QF457FBE68896,CUSF296D7EE9010,C006,organic,2025-04-08 22:38:59 UTC,auto,GA,mobile,64,TRUE,FALSE,FALSE,FALSE,,valid
L71094D2D7B95,QCF32A2173777,CUS650113F83339,C003,meta,2025-06-28 11:51:48 UTC,auto,PA,tablet,71,TRUE,FALSE,FALSE,FALSE,,valid
L4508291B2AD7,Q231FA9374D5B,CUSCE1BD2A9581F,C003,meta,2025-05-27 14:55:33 UTC,auto,FL,mobile,43,TRUE,FALSE,FALSE,FALSE,,valid
L118380D00F65,Q36812EA0B714,CUSF440C3F6A682,C001,google,2025-04-22 13:42:03 UTC,auto,PA,desktop,91,TRUE,FALSE,FALSE,FALSE,,valid
L113956570485,Q0788844E8064,CUS86E4E7A2F8F7,C007,direct,2025-06-23 21:25:37 UTC,home,TX,tablet,65,TRUE,FALSE,FALSE,FALSE,,valid
L93F8A232BCAD,QCD1EA1026FC2,CUS4D3651C99CEB,C006,organic,2025-05-25 20:33:13 UTC,auto,NC,mobile,68,TRUE,FALSE,FALSE,FALSE,,valid
L3200E8785237,Q984F15B722AF,CUS8BA59224A077,C006,organic,2025-05-15 14:10:53 UTC,auto,FL,desktop,90,TRUE,FALSE,FALSE,FALSE,,valid
LA68F22AFF0AA,Q5B37EE039AFC,CUSD25F9EE88928,C001,google,2025-06-15 08:06:42 UTC,auto,OH,mobile,68,TRUE,FALSE,FALSE,FALSE,,valid
L2B162FA1244C,Q015B71FEB7BD,CUSCDE2C91BF4CD,C006,organic,2025-05-24 14:34:55 UTC,auto,PA,mobile,68,TRUE,FALSE,FALSE,FALSE,,valid
LB7278C656BE6,Q106514C9816F,CUS2826788B3587,C001,google,2025-05-05 07:44:31 UTC,auto,PA,mobile,77,TRUE,FALSE,FALSE,FALSE,,valid
LE296580D1249,QC58B01DCFF58,CUS82B751DE341C,C006,organic,2025-01-04 14:32:02 UTC,auto,CA,mobile,47,TRUE,FALSE,FALSE,FALSE,,valid
LE6874F708669,Q6853B1ED3520,CUS2EB886AC141A,C007,direct,2025-03-29 13:05:50 UTC,home,PA,mobile,36,TRUE,FALSE,FALSE,FALSE,,valid
LD6847F7EA1B5,Q916F788E75BA,CUS22BBA9705634,C001,google,2025-06-19 20:37:44 UTC,auto,CA,mobile,45,TRUE,FALSE,FALSE,FALSE,,valid
L9CCF7045C7FF,Q3183B85C5181,CUSD1E6913966BE,C001,google,2025-03-14 14:02:11 UTC,auto,GA,desktop,44,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L4259C34C32E5,Q079ED51D6F89,CUSF1048D1F96D6,C007,direct,2025-04-27 11:02:48 UTC,home,OH,mobile,41,FALSE,FALSE,FALSE,FALSE,ineligible_state,rejected
L99335A4C6474,Q5F98C58934E9,CUSEFC084A81BE7,C002,google,2025-05-24 09:09:33 UTC,home,PA,desktop,96,TRUE,FALSE,FALSE,FALSE,,valid
L92591290A11A,Q87BC75D68C36,CUS33BE685BB63B,C007,direct,2025-06-16 18:10:06 UTC,home,NC,mobile,50,TRUE,FALSE,FALSE,FALSE,,valid
LD69A45A4D3D7,Q76CC99FD8A72,CUS2F2204A663D7,C004,meta,2025-01-31 11:26:10 UTC,health,OH,mobile,94,TRUE,FALSE,FALSE,FALSE,,valid
LC5167B8AFF88,Q4C1FCCF1111E,CUS9C6A1E53810F,C001,google,2025-05-30 10:37:35 UTC,auto,PA,tablet,77,TRUE,FALSE,FALSE,FALSE,,valid
L8406DD7C7BFF,Q4D82BB053C2B,CUS762E1D616BA4,C003,meta,2025-01-03 19:51:14 UTC,auto,TX,desktop,100,TRUE,FALSE,FALSE,FALSE,,valid
L5B570FDD6F55,Q629D0A4D8C62,CUSE28200CBAFA1,C001,google,2025-04-02 10:15:51 UTC,auto,TX,desktop,85,TRUE,FALSE,FALSE,FALSE,,valid
L8E711D55CC0F,Q64F8784BB0E5,CUS2AA1B4D0A0A0,C003,meta,2025-05-29 22:58:15 UTC,auto,CA,mobile,48,TRUE,FALSE,FALSE,FALSE,,valid
LDECE37E0743A,Q73BE7D0F0096,CUS3CD05E12FA95,C004,meta,2025-02-27 23:09:46 UTC,health,PA,mobile,91,TRUE,FALSE,FALSE,FALSE,,valid
L885954AB7326,Q7732D820A118,CUS0EA9338BF75D,C006,organic,2025-05-30 15:25:42 UTC,auto,MI,mobile,34,TRUE,FALSE,FALSE,FALSE,,valid
L78FBA898F8C4,Q64BA5F8CC162,CUS9E20DB0D390F,C002,google,2025-01-22 07:50:09 UTC,home,OH,desktop,80,TRUE,FALSE,FALSE,FALSE,,valid
L0C4B1B843C0B,Q7FC2E7090911,CUSFB983E3AEFF3,C005,affiliate,2025-04-01 08:02:38 UTC,life,MI,desktop,94,TRUE,FALSE,FALSE,FALSE,,valid
LC0C47099D70D,Q2D52F841842C,CUS55027EAC4964,C005,affiliate,2025-02-26 18:47:49 UTC,life,PA,desktop,93,FALSE,FALSE,FALSE,FALSE,low_quality_score,rejected
L71A7D9748882,QA43A6CE71D61,CUS157462200CEC,C002,google,2025-02-02 08:42:59 UTC,home,GA,tablet,100,TRUE,FALSE,FALSE,FALSE,,valid
LC21616896DF8,Q471324885721,CUS50E8E6E0597E,C006,organic,2025-06-13 20:13:13 UTC,auto,IL,mobile,51,TRUE,FALSE,FALSE,FALSE,,valid
L1AD4F197BD97,QFAC2D7B0A405,CUS2A34958CE942,C006,organic,2025-05-15 11:21:58 UTC,auto,TX,desktop,99,TRUE,FALSE,FALSE,FALSE,,valid
L35D77E5180BC,Q2EBCED414244,CUSB4F573893502,C003,meta,2025-03-11 22:02:42 UTC,auto,NC,desktop,47,TRUE,FALSE,FALSE,FALSE,,valid
L3861F21E2854,Q354B1CF1F7BC,CUS8A929183E908,C001,google,2025-03-30 22:33:03 UTC,auto,GA,tablet,60,TRUE,FALSE,FALSE,FALSE,,valid
LEFA01ADB349F,Q46E190DD844E,CUS006E35C70E0C,C006,organic,2025-05-13 15:42:55 UTC,auto,OH,mobile,66,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L98C0EBB32FC3,QF8FC2C6E2453,CUS3FFB02F86D76,C001,google,2025-06-20 17:11:13 UTC,auto,NY,mobile,73,TRUE,FALSE,FALSE,FALSE,,valid
LA818D4CC07C5,Q923DE7ED3D9D,CUSB5F24EC868D6,C006,organic,2025-03-30 19:43:11 UTC,auto,NY,desktop,100,TRUE,FALSE,FALSE,FALSE,,valid
L8BDB36928DF3,QC98235E8045A,CUS9E768DA6B4FC,C003,meta,2025-03-10 13:47:28 UTC,auto,OH,desktop,84,TRUE,FALSE,FALSE,FALSE,,valid
L31EC86AC232B,Q00C90161CB0D,CUS266F3C0E0323,C003,meta,2025-05-11 18:24:47 UTC,auto,TX,desktop,42,TRUE,FALSE,FALSE,FALSE,,valid
LE27192BC622B,Q8DE8B52E938D,CUS50E225409463,C003,meta,2025-06-02 19:26:48 UTC,auto,NY,desktop,55,TRUE,FALSE,FALSE,FALSE,,valid
L9425103CE4CE,QF93581530789,CUSD1737454877D,C005,affiliate,2025-05-24 20:34:01 UTC,life,NY,desktop,48,FALSE,FALSE,FALSE,FALSE,ineligible_state,rejected
L36C905981A2A,QA13D0F920D14,CUSD234A38CF0DA,C007,direct,2025-03-04 10:36:34 UTC,home,OH,desktop,62,TRUE,FALSE,FALSE,FALSE,,valid
L91CBAE852869,Q4D88D9022A6D,CUS92E89EA87819,C006,organic,2025-05-05 21:53:24 UTC,auto,FL,desktop,37,TRUE,FALSE,FALSE,FALSE,,valid
L25D93261FBC1,Q7F70CF016856,CUS53D46DC01D14,C007,direct,2025-04-16 15:25:45 UTC,home,GA,mobile,77,TRUE,FALSE,FALSE,FALSE,,valid
L013F0B7BC10F,Q03B1F365E486,CUSB9E544C17CBC,C005,affiliate,2025-05-11 09:01:34 UTC,life,IL,mobile,62,TRUE,FALSE,FALSE,FALSE,,valid
L026027E6E92C,QE3E6D8DD1240,CUSADDA1F64C408,C001,google,2025-02-03 10:11:39 UTC,auto,GA,desktop,45,TRUE,FALSE,FALSE,FALSE,,valid
LB793C023B487,Q7F4349FBFE0B,CUSB2B00E7976B2,C002,google,2025-03-11 10:28:58 UTC,home,TX,desktop,41,TRUE,FALSE,FALSE,FALSE,,valid
LB7336032A258,QE3A30C0498D9,CUSC04B1C18F106,C002,google,2025-06-07 18:05:19 UTC,home,IL,desktop,43,TRUE,FALSE,FALSE,FALSE,,valid
L621AF38ACE92,Q6226A6D7D623,CUSE4FE0DE4E1A8,C003,meta,2025-03-25 19:58:17 UTC,auto,OH,mobile,39,TRUE,FALSE,FALSE,FALSE,,valid
L1C05B51FE21B,QC8DCB5047434,CUS4D52344DDC2F,C006,organic,2025-05-27 17:47:24 UTC,auto,MI,mobile,30,TRUE,FALSE,FALSE,FALSE,,valid
LCD76673C9B5A,QE2E0AC5400F5,CUSA26F58C4FBBA,C006,organic,2025-05-19 17:52:23 UTC,auto,MI,desktop,90,TRUE,FALSE,FALSE,FALSE,,valid
L8BB587BAC26D,QB28D04B90B97,CUS28EDC6F419AE,C001,google,2025-05-29 07:33:29 UTC,auto,OH,mobile,60,TRUE,FALSE,FALSE,FALSE,,valid
L6C6E00EEB595,QF311681973F8,CUSB7079D0F1EC6,C002,google,2025-01-30 23:06:02 UTC,home,IL,mobile,98,TRUE,FALSE,FALSE,FALSE,,valid
L9936A519032D,Q54E178ED54B9,CUS9FC2A504B498,C006,organic,2025-05-31 07:56:21 UTC,auto,FL,desktop,57,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L4BB5CA985ED4,Q9470B22027C7,CUS88FA6CFD8541,C007,direct,2025-06-27 09:29:10 UTC,home,OH,desktop,85,TRUE,FALSE,FALSE,FALSE,,valid
L18005CE57C66,QFD3AF0CA8A56,CUS4CEFF0243A88,C006,organic,2025-01-05 19:34:35 UTC,auto,CA,tablet,45,TRUE,FALSE,FALSE,FALSE,,valid
L7EB9DCDEE425,Q0B2BC92D0619,CUS78CA8E0DE9A6,C003,meta,2025-01-25 10:23:57 UTC,auto,MI,desktop,83,TRUE,FALSE,FALSE,FALSE,,valid
L5C60CCF2E8D7,QCC35CFEE9B0A,CUS3C3FF41460B1,C006,organic,2025-01-05 10:02:41 UTC,auto,CA,desktop,93,TRUE,FALSE,FALSE,FALSE,,valid
L1E0CBDE4D27D,Q2F27073F0701,CUS76379D017BFB,C004,meta,2025-05-19 13:25:45 UTC,health,NY,desktop,98,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L6CAA73B70C2A,QF84349783DF1,CUS9D4733A83B3E,C006,organic,2025-04-07 09:10:32 UTC,auto,GA,mobile,83,TRUE,FALSE,FALSE,FALSE,,valid
L6FA1D1F31C61,QB0587BB90AAB,CUSB36F5B6CD578,C006,organic,2025-02-13 12:54:47 UTC,auto,OH,mobile,49,TRUE,FALSE,FALSE,FALSE,,valid
LBBF0EAA11395,Q455FECCF31F6,CUS3B39980BA9E7,C004,meta,2025-01-29 18:23:00 UTC,health,MI,desktop,84,TRUE,FALSE,FALSE,FALSE,,valid
LE23235801E4F,Q3B6A3ED6C6CE,CUSD444EED8D584,C005,affiliate,2025-04-26 21:14:16 UTC,life,NY,mobile,46,TRUE,FALSE,FALSE,FALSE,,valid
L4B5426318AB6,Q8A2A4C756ABE,CUS5F644FCA007E,C007,direct,2025-06-27 08:34:29 UTC,home,FL,desktop,93,TRUE,FALSE,FALSE,FALSE,,valid
L3A5624FF9341,Q8A745BD5C36F,CUSC36114ECEC00,C005,affiliate,2025-05-27 23:09:37 UTC,life,PA,mobile,40,TRUE,FALSE,FALSE,FALSE,,valid
L101FBD87AA07,Q2A0543F688A6,CUS37619F666B6C,C006,organic,2025-06-01 15:45:23 UTC,auto,CA,desktop,68,TRUE,FALSE,FALSE,FALSE,,valid
L120F8A3F8E92,Q51D3ED08413D,CUSB2B766D5DF3A,C004,meta,2025-05-28 21:13:20 UTC,health,OH,tablet,66,TRUE,FALSE,FALSE,FALSE,,valid
L34C614F93A8E,Q2573B6AD0C0D,CUSAE9085000919,C001,google,2025-06-15 11:27:03 UTC,auto,IL,desktop,92,TRUE,FALSE,FALSE,FALSE,,valid
L98742538A0A2,Q72D4134F66C3,CUS6BAF98E5AA40,C005,affiliate,2025-04-27 11:14:39 UTC,life,FL,mobile,52,TRUE,FALSE,FALSE,FALSE,,valid
L4C0CA2275C51,QE2B8DAA128E5,CUS050A6BB858D2,C001,google,2025-05-27 15:11:45 UTC,auto,NC,mobile,88,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
LF6F0FA6581D2,Q43A350E2206D,CUSEC1CB091AB12,C004,meta,2025-05-24 11:18:24 UTC,health,TX,mobile,42,FALSE,FALSE,FALSE,FALSE,missing_fields,rejected
LEC96F89A4356,Q3A86C02FA5F9,CUSBA386B7FBADD,C001,google,2025-03-26 11:06:08 UTC,auto,IL,desktop,46,TRUE,FALSE,FALSE,FALSE,,valid
L8A4EBF85A3E7,QF6C000D2F4B7,CUS631CDA4B5C30,C007,direct,2025-06-25 08:51:28 UTC,home,NC,desktop,53,TRUE,FALSE,FALSE,FALSE,,valid
L814625532E31,Q9CAC9AA26F84,CUS87BAC153C3DC,C001,google,2025-05-07 07:36:44 UTC,auto,NC,desktop,35,TRUE,FALSE,FALSE,FALSE,,valid
L166272EC1A64,QF5AA66B07F89,CUSC4BA676EFBCD,C002,google,2025-01-02 12:25:59 UTC,home,PA,desktop,76,TRUE,FALSE,FALSE,FALSE,,valid
LAECD2D1A8C68,Q3098F01C65C1,CUS435C0C7D9FAF,C006,organic,2025-06-09 20:03:22 UTC,auto,PA,mobile,33,TRUE,FALSE,FALSE,FALSE,,valid
LF94B01955715,QE1F18D04BA3E,CUS1161FA415B47,C003,meta,2025-04-03 09:26:12 UTC,auto,IL,mobile,83,FALSE,FALSE,FALSE,FALSE,missing_fields,rejected
L659888609B90,Q9197EC110270,CUS5ABDBEE9EA44,C001,google,2025-03-19 20:22:36 UTC,auto,FL,desktop,46,TRUE,FALSE,FALSE,FALSE,,valid
L0404B128E77A,QBE10A2D538DA,CUS43DC2F0BA6EE,C002,google,2025-05-14 11:02:19 UTC,home,NC,mobile,83,TRUE,FALSE,FALSE,FALSE,,valid
L1FBE89D3EE46,QADAA341EBA84,CUS1444A49B29F1,C006,organic,2025-01-07 10:17:15 UTC,auto,IL,desktop,71,TRUE,FALSE,FALSE,FALSE,,valid
L8E04012F0438,Q229630682C11,CUSD47455C66AFF,C002,google,2025-03-10 22:17:28 UTC,home,NC,desktop,51,TRUE,FALSE,FALSE,FALSE,,valid
LF02E088CBEB8,Q412256665043,CUSF6607BA6AAFE,C002,google,2025-02-12 19:37:37 UTC,home,OH,mobile,70,TRUE,FALSE,FALSE,FALSE,,valid
LB82750B476AB,QC8A4327BFF4F,CUSF2D2A8CBA109,C002,google,2025-02-26 23:14:06 UTC,home,PA,desktop,63,TRUE,FALSE,FALSE,FALSE,,valid
L02E76B02FE2F,Q7DF42C7BDD74,CUS03AD00D2D8A3,C001,google,2025-04-07 09:34:20 UTC,auto,CA,desktop,52,TRUE,FALSE,FALSE,FALSE,,valid
L8FA86215A549,QCC9A4B0FBF07,CUS0D0E10A004B4,C007,direct,2025-05-11 23:13:48 UTC,home,NY,mobile,34,TRUE,FALSE,FALSE,FALSE,,valid
L724CC1B68B1E,Q9BB17BF8E9CD,CUSFD453E50EE75,C001,google,2025-02-23 19:27:25 UTC,auto,GA,mobile,89,TRUE,FALSE,FALSE,FALSE,,valid
L7089541C07FF,Q0CC307499485,CUS63560BAEF805,C004,meta,2025-04-21 07:21:46 UTC,health,PA,desktop,72,TRUE,FALSE,FALSE,FALSE,,valid
L6508C09DD54F,QE10FB7393177,CUSA777F8F1EF4B,C001,google,2025-04-29 21:05:04 UTC,auto,PA,mobile,81,TRUE,FALSE,FALSE,FALSE,,valid
L11C612595F7B,QA8C6F5E2EE74,CUSDB7B33F67046,C001,google,2025-03-19 22:16:29 UTC,auto,NC,desktop,83,TRUE,FALSE,FALSE,FALSE,,valid
L2B157DBEC740,Q6593EC4937EB,CUS8743743C1A08,C002,google,2025-04-25 18:14:42 UTC,home,MI,mobile,85,TRUE,FALSE,FALSE,FALSE,,valid
LD5C3CBEA4E52,Q36C939D0A67C,CUS8678CBBA6723,C001,google,2025-05-18 21:02:48 UTC,auto,NY,tablet,78,TRUE,FALSE,FALSE,FALSE,,valid
LC81869A89A24,Q5831C7865511,CUSB324A3782AB0,C001,google,2025-06-27 22:17:07 UTC,auto,PA,tablet,67,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
LE4B2908D8A3F,Q5CDE1DF8D691,CUS8F1D8207EDA5,C002,google,2025-05-04 16:54:50 UTC,home,IL,mobile,94,TRUE,FALSE,FALSE,FALSE,,valid
LAD1F1B490FEC,QE3A7D4E151D9,CUSEA37AFFAEB36,C004,meta,2025-04-17 18:25:45 UTC,health,IL,desktop,51,TRUE,FALSE,FALSE,FALSE,,valid
L97A13484E037,QE4A613ABB878,CUSCA2A45A960A5,C005,affiliate,2025-05-08 08:54:36 UTC,life,MI,desktop,36,TRUE,FALSE,FALSE,FALSE,,valid
L900528E46A78,Q35F253FBE2CF,CUS4513453ADBD7,C006,organic,2025-04-07 19:36:40 UTC,auto,GA,mobile,85,TRUE,FALSE,FALSE,FALSE,,valid
LEBC50237100F,QA6A380DAA831,CUS25B4216E84D3,C005,affiliate,2025-06-28 12:45:46 UTC,life,MI,mobile,58,TRUE,FALSE,FALSE,FALSE,,valid
LF530FCEA5803,QD2ED467D071E,CUSBAEEA3AA5348,C004,meta,2025-03-20 16:53:55 UTC,health,TX,mobile,64,TRUE,FALSE,FALSE,FALSE,,valid
LF4F13D4B228C,Q7453B92FEA76,CUS6DA9CADBE5DD,C003,meta,2025-02-17 13:22:39 UTC,auto,TX,desktop,86,FALSE,FALSE,FALSE,FALSE,missing_fields,rejected
LBDA16605A42B,Q5ACEAC051E6F,CUS708F36B9356F,C005,affiliate,2025-02-11 22:51:04 UTC,life,OH,desktop,36,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L6B135068EF59,Q0FA837C0B83B,CUS2565297E2F30,C003,meta,2025-02-07 19:43:42 UTC,auto,TX,mobile,35,FALSE,FALSE,FALSE,FALSE,low_quality_score,rejected
LBE3ED9962018,Q4ACD95E871BA,CUS4919045AB885,C002,google,2025-01-01 16:12:45 UTC,home,NY,desktop,60,TRUE,FALSE,FALSE,FALSE,,valid
