performance_date,channel,campaign_id,insurance_vertical,state,spend,impressions,clicks,platform_reported_leads,platform_reported_conversions,platform_reported_revenue
2025-01-22,google,C002,home,OH,309.2,33496,1175,14,14,793.93
2025-01-22,meta,C003,auto,GA,217.85,29620,630,10,10,493.41
2025-01-22,meta,C004,health,IL,290.28,33156,1818,7,7,422.6
2025-01-22,affiliate,C005,life,OH,133.52,19483,872,12,12,535.37
2025-01-23,google,C001,auto,CA,345.14,49012,2276,14,14,688.38
2025-01-23,google,C002,home,PA,438.34,48216,2593,10,10,467.8
2025-01-23,meta,C003,auto,TX,194.87,26551,829,6,6,262.99
2025-01-23,meta,C004,health,FL,195.22,27342,1223,3,3,135.69
2025-01-23,affiliate,C005,life,NY,105.27,15719,739,10,10,620.36
2025-01-24,google,C001,auto,CA,320.12,47467,1299,9,9,413.91
2025-01-24,google,C002,home,PA,366.73,52718,1874,10,10,420.64
2025-01-24,meta,C003,auto,CA,197.04,26838,1232,11,11,419.59
2025-01-24,meta,C004,health,FL,293.34,43333,1535,7,7,425.63
2025-01-24,affiliate,C005,life,MI,135.33,19754,454,6,6,248.82
2025-01-25,google,C001,auto,FL,172.9,20957,928,3,3,106.08
2025-01-25,google,C002,home,OH,180.4,25914,925,6,6,290.54
2025-01-25,meta,C003,auto,GA,169.25,17202,595,9,9,413.32
2025-01-25,meta,C004,health,FL,173.96,24062,765,8,8,497.85
2025-01-25,affiliate,C005,life,MI,63.25,8068,209,5,5,180.57
2025-01-26,google,C001,auto,CA,254.86,32620,715,9,9,515.18
2025-01-26,google,C002,home,OH,190.95,17666,755,9,9,555.63
2025-01-26,meta,C003,auto,TX,137.01,15085,330,4,4,245.2
2025-01-26,meta,C004,health,IL,153.46,14679,719,5,5,175.06
2025-01-26,affiliate,C005,life,OH,68.59,6752,245,8,8,484.5
2025-01-27,google,C001,auto,TX,434.22,36084,917,3,3,191.16
2025-01-27,google,C002,home,OH,369.55,36481,1566,8,8,311.36
2025-01-27,meta,C003,auto,TX,280.01,35759,1569,8,8,313.32
2025-01-27,meta,C004,health,IL,267.88,28628,1421,11,11,678.09
2025-01-27,affiliate,C005,life,OH,137.56,12356,563,10,10,550.63
2025-01-28,google,C001,auto,CA,420.16,54228,2636,9,9,387.82
2025-01-28,google,C002,home,NY,442.63,57787,3000,8,8,285.39
2025-01-28,meta,C003,auto,TX,267.46,30920,1817,7,7,386.16
2025-01-28,meta,C004,health,NC,193.85,23906,1241,8,8,406.51
2025-01-28,affiliate,C005,life,NY,119.23,9995,575,7,7,254.38
2025-01-29,google,C001,auto,TX,288.86,24249,1031,8,8,321.68
2025-01-29,google,C002,home,NY,430.33,36513,1431,11,11,477.22
2025-01-29,meta,C003,auto,GA,204.24,18052,948,15,15,706.03
2025-01-29,meta,C004,health,NC,254.26,37215,842,6,6,339.24
2025-01-29,affiliate,C005,life,OH,153.95,22617,635,3,3,114.1
2025-01-30,google,C001,auto,TX,429.7,53433,1747,4,4,216.68
2025-01-30,google,C002,home,NY,426.17,62858,3171,13,13,508.38
2025-01-30,meta,C003,auto,GA,277.98,28070,1604,7,7,441.94
2025-01-30,meta,C004,health,FL,232.28,21686,873,7,7,423.18
2025-01-30,affiliate,C005,life,MI,99.71,14720,881,7,7,334.92
2025-01-31,google,C001,auto,CA,404.31,41305,1021,7,7,347.42
2025-01-31,google,C002,home,OH,455.98,40654,1122,7,7,254.83
2025-01-31,meta,C003,auto,GA,248.86,26199,954,5,5,303.72
2025-01-31,meta,C004,health,IL,247.33,31849,1791,9,9,352.03
2025-01-31,affiliate,C005,life,OH,142.01,13340,405,8,8,355.67
2025-02-01,google,C001,auto,FL,213.89,23895,922,12,12,450.07
2025-02-01,google,C002,home,NY,228.39,30528,1690,6,6,268.99
2025-02-01,meta,C003,auto,TX,176.87,21285,718,7,7,283.97
2025-02-01,meta,C004,health,FL,170.06,13799,558,9,9,465.97
2025-02-01,affiliate,C005,life,MI,78.99,8286,308,8,8,406.58
2025-02-02,google,C001,auto,TX,255.78,29958,802,9,9,317.92
2025-02-02,google,C002,home,NY,188.57,23331,1397,13,13,681.71
2025-02-02,meta,C003,auto,CA,120.62,15456,483,4,4,157.09
2025-02-02,meta,C004,health,NC,155.0,15391,807,8,8,286.74
2025-02-02,affiliate,C005,life,NY,62.38,6970,367,8,8,433.88
2025-02-03,google,C001,auto,CA,385.25,44493,2479,8,8,463.94
2025-02-03,google,C002,home,NY,355.23,33300,1026,8,8,319.29
2025-02-03,meta,C003,auto,GA,224.92,27718,1192,6,6,226.03
2025-02-03,meta,C004,health,IL,196.72,23426,1253,2,2,86.38
2025-02-03,affiliate,C005,life,OH,109.29,11061,235,7,7,369.52
2025-02-04,google,C001,auto,FL,450.24,65702,2307,9,9,378.56
2025-02-04,google,C002,home,OH,304.34,39131,1993,10,10,363.23
2025-02-04,meta,C003,auto,TX,262.68,31278,1222,6,6,379.42
2025-02-04,meta,C004,health,FL,236.5,33757,1439,9,9,580.24
2025-02-04,affiliate,C005,life,OH,118.2,15061,820,7,7,389.05
2025-02-05,google,C001,auto,TX,332.23,29833,819,7,7,372.44
2025-02-05,google,C002,home,OH,462.54,42413,1776,9,9,377.16
2025-02-05,meta,C003,auto,GA,301.7,39512,2369,3,3,183.35
2025-02-05,meta,C004,health,FL,203.24,17796,369,11,11,421.33
2025-02-05,affiliate,C005,life,MI,101.49,11395,445,8,8,363.01
2025-02-06,google,C001,auto,CA,317.8,28882,1320,5,5,201.35
2025-02-06,google,C002,home,OH,320.23,35881,1246,15,16,951.65
2025-02-06,meta,C003,auto,GA,289.87,31973,1371,6,6,261.26
2025-02-06,meta,C004,health,IL,221.44,24762,679,16,16,743.71
2025-02-06,affiliate,C005,life,OH,152.43,18718,417,8,8,315.42
2025-02-07,google,C001,auto,CA,353.08,28381,1286,7,7,411.31
2025-02-07,google,C002,home,PA,393.01,50346,2002,6,6,298.76
2025-02-07,meta,C003,auto,CA,309.29,27528,1629,9,9,468.13
2025-02-07,meta,C004,health,FL,273.71,32698,823,5,5,282.44
2025-02-07,affiliate,C005,life,MI,129.54,19001,581,9,9,422.11
2025-02-08,google,C001,auto,CA,228.82,24182,655,7,7,347.1
2025-02-08,google,C002,home,NY,183.64,16062,551,6,6,245.25
2025-02-08,meta,C003,auto,CA,150.88,13308,484,5,5,233.85
2025-02-08,meta,C004,health,IL,119.71,14554,359,2,2,74.41
2025-02-08,affiliate,C005,life,OH,89.73,9780,341,12,12,687.08
2025-02-09,google,C001,auto,FL,175.02,14314,531,5,5,175.51
2025-02-09,google,C002,home,OH,261.02,30325,1099,15,15,616.12
2025-02-09,meta,C003,auto,GA,179.24,20275,978,9,9,366.4
2025-02-09,meta,C004,health,FL,136.89,11982,342,5,5,263.73
2025-02-09,affiliate,C005,life,NY,87.68,10718,396,6,6,246.77
2025-02-10,google,C001,auto,TX,360.76,48955,1650,8,8,368.35
2025-02-10,google,C002,home,OH,289.04,41085,2010,7,7,452.75
2025-02-10,meta,C003,auto,TX,248.21,26152,958,3,3,179.43
2025-02-10,meta,C004,health,NC,292.29,32897,1518,7,7,287.69
2025-02-10,affiliate,C005,life,MI,124.02,14698,574,10,10,534.58
2025-02-11,google,C001,auto,TX,369.38,31823,1801,6,6,275.93
2025-02-11,google,C002,home,NY,441.93,37048,2125,8,8,438.77
2025-02-11,meta,C003,auto,TX,193.19,25396,1380,12,12,581.85
2025-02-11,meta,C004,health,NC,278.02,38272,1029,6,6,211.92
2025-02-11,affiliate,C005,life,OH,101.78,10857,364,9,9,533.03
2025-02-12,google,C001,auto,FL,305.92,45872,2355,9,9,323.9
2025-02-12,google,C002,home,OH,345.78,29006,1029,8,8,448.28
2025-02-12,meta,C003,auto,GA,283.13,26927,640,7,7,272.15
2025-02-12,meta,C004,health,NC,197.76,22871,1051,5,5,246.19
2025-02-12,affiliate,C005,life,MI,110.07,9711,198,2,2,125.53
2025-02-13,google,C001,auto,TX,461.93,44943,2448,7,7,439.98
2025-02-13,google,C002,home,OH,437.72,65239,3470,9,9,471.82
2025-02-13,meta,C003,auto,CA,311.52,36886,1704,8,8,398.33
2025-02-13,meta,C004,health,FL,304.29,27441,744,6,6,286.32
2025-02-13,affiliate,C005,life,OH,96.16,12507,671,10,10,378.76
2025-02-14,google,C001,auto,CA,379.2,42463,850,3,3,117.92
2025-02-14,google,C002,home,OH,391.91,37785,2262,16,17,599.54
2025-02-14,meta,C003,auto,CA,258.28,21520,518,5,5,193.26
2025-02-14,meta,C004,health,FL,284.74,30468,906,7,7,252.75
2025-02-14,affiliate,C005,life,OH,119.91,11528,535,11,11,486.18
2025-02-15,google,C001,auto,FL,238.19,32938,1866,5,5,301.05
2025-02-15,google,C002,home,OH,238.43,32889,779,12,12,691.54
2025-02-15,meta,C003,auto,CA,149.12,18967,807,7,7,437.16
2025-02-15,meta,C004,health,IL,162.68,17581,583,6,6,349.48
2025-02-15,affiliate,C005,life,MI,75.4,10569,499,7,7,406.15
2025-02-16,google,C001,auto,TX,236.14,23602,1292,10,10,378.53
2025-02-16,google,C002,home,OH,226.59,33863,700,12,12,598.58
2025-02-16,meta,C003,auto,CA,167.0,20656,701,11,11,659.02
2025-02-16,meta,C004,health,NC,175.07,20920,1031,6,6,385.5
2025-02-16,affiliate,C005,life,MI,61.61,7352,338,4,4,206.52
2025-02-17,google,C001,auto,CA,359.2,42841,1777,9,9,417.03
2025-02-17,google,C002,home,PA,338.8,34315,1726,4,4,252.59
2025-02-17,meta,C003,auto,GA,271.36,24088,1173,6,6,257.47
2025-02-17,meta,C004,health,IL,219.93,22301,1279,3,3,126.28
2025-02-17,affiliate,C005,life,NY,151.85,12901,261,12,12,552.19
2025-02-18,google,C001,auto,FL,391.94,44728,2314,11,11,397.74
2025-02-18,google,C002,home,OH,404.94,56886,3347,11,11,575.26
2025-02-18,meta,C003,auto,TX,279.04,38937,1335,4,4,220.92
2025-02-18,meta,C004,health,NC,257.61,31221,1128,6,6,349.18
2025-02-18,affiliate,C005,life,MI,153.71,19179,1000,8,8,372.04
2025-02-19,google,C001,auto,TX,298.88,30962,1348,8,8,495.88
2025-02-19,google,C002,home,PA,420.88,38842,2095,4,4,241.19
2025-02-19,meta,C003,auto,CA,200.14,17797,485,9,9,390.84
2025-02-19,meta,C004,health,NC,213.86,24058,967,6,6,388.38
2025-02-19,affiliate,C005,life,NY,138.91,19271,441,8,8,366.71
2025-02-20,google,C001,auto,FL,446.11,47476,2180,7,7,289.41
2025-02-20,google,C002,home,NY,294.07,38157,1314,6,6,285.79
2025-02-20,meta,C003,auto,CA,202.3,30146,1316,7,7,361.48
2025-02-20,meta,C004,health,FL,287.47,26622,1357,6,6,215.19
2025-02-20,affiliate,C005,life,NY,102.7,12253,327,5,5,222.82
2025-02-21,google,C001,auto,FL,327.27,36975,2168,9,9,481.63
2025-02-21,google,C002,home,PA,359.16,37722,1570,13,13,730.83
2025-02-21,meta,C003,auto,TX,299.39,39543,2051,5,5,306.44
2025-02-21,meta,C004,health,NC,301.91,29065,1638,0,0,0.0
2025-02-21,affiliate,C005,life,OH,143.8,20380,784,8,8,399.05
2025-02-22,google,C001,auto,FL,203.3,22841,683,5,5,264.28
2025-02-22,google,C002,home,OH,176.27,21845,1074,7,7,365.21
2025-02-22,meta,C003,auto,TX,123.32,12697,541,7,7,245.76
2025-02-22,meta,C004,health,IL,179.49,25357,1237,5,5,313.93
2025-02-22,affiliate,C005,life,NY,73.05,10034,446,4,4,152.2
2025-02-23,google,C001,auto,CA,230.44,22801,1084,8,8,456.09
2025-02-23,google,C002,home,OH,247.3,22214,527,8,8,307.93
2025-02-23,meta,C003,auto,CA,153.99,13993,349,9,9,521.28
2025-02-23,meta,C004,health,FL,121.59,14317,809,12,12,687.44
2025-02-23,affiliate,C005,life,NY,64.59,5875,268,7,7,344.82
2025-02-24,google,C001,auto,TX,338.13,33326,864,7,7,324.3
2025-02-24,google,C002,home,OH,444.73,58845,1709,11,11,385.94
2025-02-24,meta,C003,auto,TX,200.55,27610,1232,5,5,267.12
2025-02-24,meta,C004,health,NC,263.77,21164,684,7,7,273.22
2025-02-24,affiliate,C005,life,NY,133.34,12516,347,9,9,367.27
2025-02-25,google,C001,auto,CA,453.51,43568,1776,6,6,253.37
2025-02-25,google,C002,home,OH,307.09,32027,1815,2,2,120.29
2025-02-25,meta,C003,auto,TX,303.29,41823,1007,7,7,319.74
2025-02-25,meta,C004,health,IL,265.93,37300,1777,7,7,334.91
2025-02-25,affiliate,C005,life,OH,144.32,18700,577,6,6,229.96
2025-02-26,google,C001,auto,CA,327.25,28012,1506,8,8,466.5
2025-02-26,google,C002,home,NY,351.96,40523,1300,4,4,217.45
2025-02-26,meta,C003,auto,CA,205.63,28259,981,5,5,211.94
2025-02-26,meta,C004,health,NC,194.46,21888,922,5,5,235.54
2025-02-26,affiliate,C005,life,NY,143.76,21072,427,16,16,973.08
2025-02-27,google,C001,auto,TX,368.76,48154,1249,5,5,180.61
2025-02-27,google,C002,home,NY,328.98,32670,1135,8,8,473.74
2025-02-27,meta,C003,auto,GA,254.07,20387,1037,4,4,181.34
2025-02-27,meta,C004,health,NC,276.18,41084,2361,4,4,259.06
2025-02-27,affiliate,C005,life,OH,148.68,13736,562,7,7,402.25
2025-02-28,google,C001,auto,FL,333.98,45636,2349,4,4,233.15
2025-02-28,google,C002,home,NY,435.18,35154,813,9,9,565.88
2025-02-28,meta,C003,auto,TX,220.04,24678,1033,6,6,218.94
2025-02-28,meta,C004,health,IL,255.51,25197,561,6,6,319.56
2025-02-28,affiliate,C005,life,MI,139.07,13973,374,4,4,160.82
2025-03-01,google,C001,auto,FL,231.83,29871,1199,8,8,286.52
2025-03-01,google,C002,home,OH,257.45,37271,1455,10,10,351.58
2025-03-01,meta,C003,auto,GA,171.47,20272,983,6,6,288.86
2025-03-01,meta,C004,health,NC,164.51,21417,1119,3,3,133.64
2025-03-01,affiliate,C005,life,MI,75.44,8368,344,4,4,205.32
2025-03-02,google,C001,auto,TX,262.94,23950,1241,7,7,299.14
2025-03-02,google,C002,home,NY,232.2,33586,900,14,14,633.07
2025-03-02,meta,C003,auto,GA,148.97,15525,884,6,6,357.07
2025-03-02,meta,C004,health,IL,133.48,14636,771,7,7,322.51
2025-03-02,affiliate,C005,life,OH,75.42,10299,298,5,5,202.68
2025-03-03,google,C001,auto,TX,316.54,41471,2126,8,8,313.6
2025-03-03,google,C002,home,PA,343.06,36872,1190,3,3,123.11
2025-03-03,meta,C003,auto,TX,261.14,33365,793,11,11,590.19
2025-03-03,meta,C004,health,IL,264.95,29420,1752,5,5,269.33
2025-03-03,affiliate,C005,life,NY,141.07,11944,568,7,7,292.39
2025-03-04,google,C001,auto,TX,460.43,60346,1656,9,9,323.56
2025-03-04,google,C002,home,NY,434.49,52433,1361,9,9,529.69
2025-03-04,meta,C003,auto,CA,195.35,25764,1541,13,13,680.9
2025-03-04,meta,C004,health,NC,227.1,26118,1116,8,8,323.67
2025-03-04,affiliate,C005,life,OH,115.84,16474,939,8,8,358.66
2025-03-05,google,C001,auto,TX,441.15,61861,3532,8,8,343.16
2025-03-05,google,C002,home,OH,308.64,39064,1556,11,11,484.73
2025-03-05,meta,C003,auto,TX,238.19,30853,621,4,4,229.82
2025-03-05,meta,C004,health,FL,262.65,26508,1254,8,8,472.1
2025-03-05,affiliate,C005,life,MI,105.35,10562,464,3,3,167.55
2025-03-06,google,C001,auto,TX,343.45,45179,2256,9,9,440.72
2025-03-06,google,C002,home,NY,432.69,63151,2976,7,7,395.63
2025-03-06,meta,C003,auto,CA,235.72,21031,438,4,4,192.15
2025-03-06,meta,C004,health,NC,238.56,25862,1236,10,10,598.81
2025-03-06,affiliate,C005,life,OH,118.54,12713,442,10,10,530.07
2025-03-07,google,C001,auto,CA,361.32,42689,1731,13,13,631.5
2025-03-07,google,C002,home,PA,432.88,41307,1964,6,6,213.81
2025-03-07,meta,C003,auto,GA,236.82,30770,1825,8,8,309.68
2025-03-07,meta,C004,health,NC,214.71,26408,975,6,6,359.26
2025-03-07,affiliate,C005,life,OH,101.01,13414,309,6,6,238.04
2025-03-08,google,C001,auto,FL,248.63,32013,692,8,8,392.45
2025-03-08,google,C002,home,OH,200.17,24228,804,10,10,613.47
2025-03-08,meta,C003,auto,CA,130.0,17336,440,9,9,461.12
2025-03-08,meta,C004,health,FL,144.22,18072,549,7,7,375.71
2025-03-08,affiliate,C005,life,OH,75.67,6919,190,7,7,449.38
2025-03-09,google,C001,auto,CA,218.02,22431,1022,8,8,410.14
2025-03-09,google,C002,home,OH,202.34,19715,696,10,10,594.69
2025-03-09,meta,C003,auto,CA,166.39,20118,995,6,6,381.99
2025-03-09,meta,C004,health,NC,123.42,16747,808,3,3,194.93
2025-03-09,affiliate,C005,life,OH,56.96,5662,195,8,8,349.51
2025-03-10,google,C001,auto,FL,374.55,49053,2785,7,7,344.96
2025-03-10,google,C002,home,PA,299.76,26942,1136,7,7,324.28
2025-03-10,meta,C003,auto,GA,281.08,37058,1670,9,9,369.77
2025-03-10,meta,C004,health,IL,257.62,36008,1053,4,4,200.54
2025-03-10,affiliate,C005,life,OH,100.33,14458,295,7,7,365.97
2025-03-11,google,C001,auto,FL,410.61,51047,2915,8,8,467.98
2025-03-11,google,C002,home,NY,421.52,62945,3312,6,6,260.66
2025-03-11,meta,C003,auto,TX,216.07,30141,1491,12,12,579.81
2025-03-11,meta,C004,health,FL,285.94,35806,1079,4,4,186.94
2025-03-11,affiliate,C005,life,MI,155.34,19622,1077,6,6,265.22
2025-03-12,google,C001,auto,TX,438.0,61897,2166,7,7,308.04
2025-03-12,google,C002,home,OH,315.72,43603,2111,10,10,608.13
2025-03-12,meta,C003,auto,GA,211.65,26768,1136,10,10,415.51
2025-03-12,meta,C004,health,FL,265.08,28059,607,5,5,315.13
2025-03-12,affiliate,C005,life,MI,152.47,14815,829,8,8,291.88
2025-03-13,google,C001,auto,TX,318.46,27332,1519,12,12,671.87
2025-03-13,google,C002,home,NY,311.01,40100,2376,8,8,434.88
2025-03-13,meta,C003,auto,TX,305.5,45071,1245,7,7,274.07
2025-03-13,meta,C004,health,NC,288.55,41905,2493,11,11,458.03
2025-03-13,affiliate,C005,life,NY,116.91,15606,796,8,8,443.19
2025-03-14,google,C001,auto,TX,327.25,30012,819,9,9,471.4
2025-03-14,google,C002,home,NY,423.3,55222,3242,9,9,428.35
2025-03-14,meta,C003,auto,TX,199.61,16283,844,5,5,284.73
2025-03-14,meta,C004,health,FL,280.85,32742,1113,6,6,336.23
2025-03-14,affiliate,C005,life,MI,117.4,9988,229,8,8,483.63
2025-03-15,google,C001,auto,CA,183.37,21252,717,4,4,196.34
2025-03-15,google,C002,home,OH,171.17,22945,536,7,7,320.48
2025-03-15,meta,C003,auto,GA,145.79,21300,922,3,3,159.49
2025-03-15,meta,C004,health,NC,163.88,22104,499,5,5,306.36
2025-03-15,affiliate,C005,life,MI,80.74,10867,343,6,6,265.11
2025-03-16,google,C001,auto,CA,197.26,20494,682,8,8,498.31
2025-03-16,google,C002,home,OH,172.03,18097,427,9,9,535.45
2025-03-16,meta,C003,auto,GA,148.47,12803,548,5,5,213.38
2025-03-16,meta,C004,health,NC,137.92,15752,668,9,9,493.36
2025-03-16,affiliate,C005,life,OH,56.38,6899,290,5,5,204.26
2025-03-17,google,C001,auto,TX,437.74,56484,1630,4,4,231.76
2025-03-17,google,C002,home,NY,311.93,25863,888,13,13,466.55
2025-03-17,meta,C003,auto,GA,216.64,23181,645,4,4,237.71
2025-03-17,meta,C004,health,FL,232.26,26959,1135,6,6,364.17
2025-03-17,affiliate,C005,life,OH,140.94,13282,778,8,8,312.97
2025-03-18,google,C001,auto,TX,449.85,51810,1687,5,5,275.16
2025-03-18,google,C002,home,NY,345.43,43838,1459,12,12,691.75
2025-03-18,meta,C003,auto,GA,202.39,25936,1031,5,5,300.74
2025-03-18,meta,C004,health,IL,263.51,33046,1271,12,12,766.98
2025-03-18,affiliate,C005,life,MI,145.49,15971,526,11,11,638.12
2025-03-19,google,C001,auto,FL,323.04,34465,2049,9,9,578.42
