account_id,customer_health_score,renewal_date,renewal_status,expansion_amount,churn_reason
ACC_00101,56.2,2024-06-11,Needs Attention,0.0,
ACC_00103,100.0,2025-04-23,Healthy,468.62,
ACC_00105,54.2,2024-03-14,Needs Attention,0.0,
ACC_00106,72.5,2025-07-31,Healthy,693.77,
ACC_00107,100.0,2024-06-22,Healthy,8998.25,
ACC_00109,63.1,2025-02-21,Healthy,0.0,
ACC_00110,97.4,2024-09-27,Healthy,2463.76,
ACC_00113,82.1,2025-06-15,Healthy,3870.68,
ACC_00114,96.6,2024-06-28,Healthy,2819.12,
ACC_00117,100.0,2024-10-27,Healthy,826.89,
ACC_00118,72.4,2024-09-11,Healthy,7615.56,
ACC_00119,34.1,2024-07-16,At Risk,0.0,
ACC_00120,13.8,2025-02-20,Churned,0.0,Competition
ACC_00121,74.7,2025-11-05,Healthy,5728.5,
ACC_00123,60.5,2024-05-07,Healthy,0.0,
ACC_00128,66.7,2024-09-04,Healthy,0.0,
ACC_00130,87.0,2025-05-16,Healthy,1444.76,
ACC_00131,43.9,2025-06-18,Needs Attention,0.0,
ACC_00132,65.8,2024-04-06,Healthy,0.0,
ACC_00133,41.1,2024-10-22,Needs Attention,0.0,
ACC_00134,41.1,2024-11-27,Needs Attention,0.0,
ACC_00135,87.1,2025-01-14,Healthy,682.43,
ACC_00137,78.1,2025-12-18,Healthy,1980.87,
ACC_00138,42.5,2025-04-14,Needs Attention,0.0,
ACC_00142,81.7,2025-09-15,Healthy,1366.24,
ACC_00145,24.6,2025-09-21,At Risk,0.0,
ACC_00146,35.3,2024-03-01,Churned,0.0,Low Adoption
ACC_00148,69.5,2025-12-02,Churned,0.0,Business Closure
ACC_00150,25.9,2025-05-30,Churned,0.0,Poor Fit
ACC_00151,53.4,2025-11-24,Churned,0.0,Competition
ACC_00153,81.2,2025-01-29,Healthy,617.96,
ACC_00154,37.5,2024-02-22,Churned,0.0,Low Adoption
ACC_00155,63.6,2024-09-24,Healthy,0.0,
ACC_00156,30.7,2025-12-04,Churned,0.0,Budget
ACC_00157,87.0,2025-06-12,Healthy,567.05,
ACC_00159,59.2,2025-03-06,Needs Attention,0.0,
ACC_00160,60.2,2025-10-23,Healthy,0.0,
ACC_00161,55.0,2024-11-06,Needs Attention,0.0,
ACC_00163,100.0,2025-09-14,Healthy,3467.82,
ACC_00165,99.7,2024-06-26,Healthy,1139.65,
ACC_00167,79.3,2024-08-14,Healthy,866.54,
ACC_00168,76.0,2024-05-13,Healthy,2368.73,
ACC_00169,96.3,2024-04-30,Healthy,1277.95,
ACC_00170,59.6,2025-04-06,Needs Attention,0.0,
ACC_00172,30.6,2024-08-14,Churned,0.0,Poor Fit
ACC_00173,91.8,2024-05-30,Healthy,1616.67,
ACC_00177,100.0,2025-06-09,Healthy,544.89,
ACC_00178,37.2,2025-10-27,Churned,0.0,Poor Fit
ACC_00179,77.9,2024-09-22,Healthy,853.99,
ACC_00181,82.4,2025-11-03,Healthy,1106.47,
ACC_00183,75.2,2024-08-19,Healthy,977.55,
ACC_00185,79.9,2025-03-08,Healthy,464.81,
ACC_00186,45.9,2025-09-08,Churned,0.0,Competition
ACC_00188,28.2,2024-09-12,At Risk,0.0,
ACC_00189,46.6,2025-12-01,Churned,0.0,Poor Fit
ACC_00192,85.4,2025-03-16,Healthy,1998.3,
ACC_00195,80.9,2025-03-05,Healthy,312.46,
ACC_00196,64.5,2025-03-24,Healthy,0.0,
ACC_00199,89.4,2025-06-20,Healthy,2116.34,
ACC_00200,72.4,2024-03-22,Healthy,892.76,
ACC_00201,78.9,2024-08-16,Healthy,713.73,
ACC_00202,61.8,2024-09-29,Healthy,0.0,
ACC_00203,41.4,2024-03-16,Churned,0.0,Business Closure
ACC_00204,76.7,2025-02-10,Healthy,5605.74,
ACC_00206,72.9,2024-04-14,Healthy,640.32,
ACC_00207,66.7,2024-11-26,Healthy,0.0,
ACC_00210,63.7,2024-07-01,Healthy,0.0,
ACC_00214,32.8,2024-11-07,At Risk,0.0,
ACC_00216,51.1,2024-03-08,Needs Attention,0.0,
ACC_00219,69.8,2025-11-21,Healthy,0.0,
ACC_00221,69.8,2024-11-02,Healthy,0.0,
ACC_00225,78.2,2024-07-01,Healthy,1157.27,
ACC_00227,93.5,2024-03-18,Healthy,1259.56,
ACC_00229,63.5,2025-09-12,Healthy,0.0,
ACC_00230,50.9,2025-04-13,Needs Attention,0.0,
ACC_00232,97.2,2024-10-05,Healthy,689.25,
ACC_00234,79.5,2024-02-24,Healthy,220.68,
ACC_00236,62.4,2025-03-29,Healthy,0.0,
ACC_00237,18.0,2025-12-24,Churned,0.0,Competition
ACC_00239,100.0,2024-12-18,Healthy,8041.73,
ACC_00240,67.9,2025-03-17,Healthy,0.0,
ACC_00242,78.7,2024-08-14,Healthy,4256.41,
ACC_00243,56.0,2024-11-11,Needs Attention,0.0,
ACC_00244,29.5,2025-08-29,Churned,0.0,Budget
ACC_00245,69.2,2024-04-22,Churned,0.0,Low Adoption
ACC_00247,64.1,2025-02-15,Healthy,0.0,
ACC_00248,62.3,2024-11-11,Healthy,0.0,
ACC_00251,48.7,2024-11-20,Churned,0.0,Poor Fit
ACC_00253,72.6,2024-11-30,Healthy,1602.01,
ACC_00254,90.0,2025-08-28,Healthy,3188.75,
ACC_00256,69.9,2024-08-22,Healthy,0.0,
ACC_00257,58.2,2025-03-30,Churned,0.0,Budget
ACC_00258,60.5,2025-11-24,Healthy,0.0,
ACC_00261,31.9,2025-03-01,Churned,0.0,Budget
ACC_00263,56.1,2024-02-23,Needs Attention,0.0,
ACC_00265,59.2,2025-08-24,Needs Attention,0.0,
ACC_00266,76.2,2024-04-25,Churned,0.0,Low Adoption
ACC_00267,62.6,2024-12-09,Healthy,0.0,
ACC_00268,38.5,2025-12-23,Churned,0.0,Budget
ACC_00270,84.6,2024-05-04,Healthy,3871.4,
ACC_00271,84.0,2024-05-22,Healthy,2230.87,
ACC_00272,53.4,2024-04-28,Needs Attention,0.0,
ACC_00274,68.3,2024-10-17,Healthy,0.0,
ACC_00276,29.6,2024-09-05,At Risk,0.0,
ACC_00277,56.8,2025-10-08,Churned,0.0,Budget
ACC_00283,83.4,2024-03-12,Healthy,548.31,
ACC_00285,82.9,2024-09-07,Healthy,3385.45,
ACC_00289,100.0,2024-12-13,Healthy,284.51,
ACC_00290,79.8,2025-09-20,Healthy,764.8,
ACC_00292,73.5,2024-03-29,Healthy,966.95,
ACC_00293,75.0,2025-02-01,Healthy,628.65,
ACC_00295,61.9,2024-09-03,Healthy,0.0,
ACC_00298,100.0,2024-02-03,Healthy,1537.54,
ACC_00301,100.0,2024-03-17,Healthy,911.35,
ACC_00303,62.6,2024-11-06,Healthy,0.0,
ACC_00304,28.4,2025-10-04,Churned,0.0,Budget
ACC_00305,73.2,2025-02-09,Healthy,1413.51,
ACC_00306,71.2,2025-11-13,Healthy,2181.17,
ACC_00307,73.2,2025-01-16,Healthy,617.96,
ACC_00308,51.5,2025-12-02,Churned,0.0,Business Closure
ACC_00311,42.7,2025-02-14,Needs Attention,0.0,
ACC_00312,68.0,2024-08-25,Healthy,0.0,
ACC_00314,74.4,2024-06-18,Healthy,1968.6,
ACC_00316,30.7,2024-09-04,Churned,0.0,Poor Fit
ACC_00332,93.0,2024-04-29,Healthy,832.47,
ACC_00333,38.1,2025-06-11,Churned,0.0,Poor Fit
ACC_00334,43.6,2025-01-07,Churned,0.0,Competition
ACC_00335,100.0,2024-04-08,Healthy,3044.28,
ACC_00336,44.0,2024-07-28,Needs Attention,0.0,
ACC_00338,70.4,2024-10-04,Healthy,248.76,
ACC_00339,54.8,2025-12-09,Needs Attention,0.0,
ACC_00340,78.3,2025-02-23,Healthy,1015.77,
ACC_00341,79.8,2024-05-12,Healthy,1850.23,
ACC_00342,72.7,2025-07-20,Healthy,1766.76,
ACC_00343,56.3,2024-02-15,Needs Attention,0.0,
ACC_00344,56.4,2025-10-29,Needs Attention,0.0,
ACC_00346,38.2,2025-11-11,Churned,0.0,Low Adoption
ACC_00348,31.0,2025-10-11,Churned,0.0,Poor Fit
ACC_00349,79.8,2025-02-07,Healthy,1120.53,
ACC_00351,62.4,2024-07-13,Healthy,0.0,
ACC_00353,74.5,2024-11-21,Healthy,929.77,
ACC_00354,62.6,2025-09-02,Healthy,0.0,
ACC_00355,93.0,2024-09-30,Healthy,635.34,
ACC_00356,88.6,2025-07-30,Healthy,2394.68,
ACC_00361,70.6,2025-09-07,Healthy,3080.7,
ACC_00364,80.0,2024-09-17,Healthy,996.18,
ACC_00365,88.6,2024-10-26,Healthy,1137.64,
ACC_00367,71.9,2025-07-20,Healthy,497.06,
ACC_00368,59.6,2024-07-24,Needs Attention,0.0,
ACC_00370,83.2,2025-03-10,Healthy,867.61,
ACC_00373,69.7,2024-04-03,Healthy,0.0,
ACC_00376,44.2,2025-06-07,Needs Attention,0.0,
ACC_00378,64.7,2024-07-27,Healthy,0.0,
ACC_00380,68.1,2024-06-14,Churned,0.0,Budget
ACC_00381,74.4,2025-10-04,Healthy,5240.87,
ACC_00382,18.2,2024-09-16,Churned,0.0,Competition
ACC_00383,60.7,2025-10-11,Healthy,0.0,
ACC_00385,64.7,2024-11-29,Healthy,0.0,
ACC_00387,54.0,2024-02-25,Needs Attention,0.0,
ACC_00388,48.2,2025-06-23,Needs Attention,0.0,
ACC_00390,13.6,2024-09-18,Churned,0.0,Competition
ACC_00392,69.5,2024-08-31,Healthy,0.0,
ACC_00393,78.0,2024-10-12,Healthy,2579.26,
ACC_00395,33.8,2024-05-27,At Risk,0.0,
ACC_00396,100.0,2025-07-04,Healthy,619.88,
ACC_00398,53.7,2025-11-09,Needs Attention,0.0,
ACC_00400,77.8,2024-06-26,Healthy,996.65,
ACC_00402,56.3,2025-12-10,Churned,0.0,Low Adoption
ACC_00403,47.7,2025-11-09,Needs Attention,0.0,
ACC_00406,67.5,2025-11-14,Healthy,0.0,
ACC_00407,88.4,2024-06-23,Healthy,1320.44,
ACC_00408,52.7,2024-09-17,Needs Attention,0.0,
ACC_00411,70.3,2025-03-26,Churned,0.0,Competition
ACC_00412,26.5,2025-09-21,At Risk,0.0,
ACC_00413,71.5,2025-07-09,Healthy,1286.84,
ACC_00414,81.2,2024-08-10,Healthy,1744.53,
ACC_00415,39.4,2025-04-23,Churned,0.0,Competition
ACC_00418,61.7,2024-11-16,Churned,0.0,Budget
ACC_00419,37.5,2025-11-27,Churned,0.0,Competition
ACC_00422,73.1,2024-07-18,Healthy,839.43,
ACC_00425,86.5,2024-05-31,Healthy,7041.87,
ACC_00427,50.0,2025-06-05,Needs Attention,0.0,
ACC_00430,79.9,2025-04-01,Healthy,1618.25,
ACC_00432,62.4,2025-11-28,Healthy,0.0,
ACC_00434,59.0,2025-06-05,Churned,0.0,Business Closure
ACC_00435,56.7,2025-09-18,Needs Attention,0.0,
ACC_00436,88.5,2025-08-06,Healthy,2486.78,
ACC_00440,13.9,2024-11-16,At Risk,0.0,
ACC_00448,54.1,2025-01-22,Needs Attention,0.0,
ACC_00451,100.0,2024-08-29,Healthy,1769.29,
ACC_00452,81.2,2025-02-26,Healthy,4364.22,
ACC_00454,54.8,2024-06-18,Needs Attention,0.0,
ACC_00455,29.2,2025-11-22,Churned,0.0,Competition
ACC_00456,63.1,2024-04-06,Healthy,0.0,
ACC_00457,69.1,2025-09-13,Healthy,0.0,
ACC_00458,67.7,2024-03-31,Healthy,0.0,
ACC_00460,92.1,2025-09-30,Healthy,1133.3,
ACC_00461,100.0,2024-05-22,Healthy,504.42,
ACC_00462,45.4,2025-10-17,Churned,0.0,Poor Fit
ACC_00463,77.0,2025-03-28,Healthy,650.69,
ACC_00465,66.2,2025-08-18,Healthy,0.0,
ACC_00467,55.1,2025-03-06,Needs Attention,0.0,
ACC_00468,83.8,2024-07-11,Healthy,714.87,
ACC_00469,73.1,2024-04-30,Healthy,1545.79,
ACC_00470,92.9,2024-03-26,Healthy,634.28,
ACC_00471,59.8,2025-11-18,Needs Attention,0.0,
ACC_00472,71.4,2025-11-28,Healthy,773.77,
ACC_00473,47.0,2024-11-30,Needs Attention,0.0,
ACC_00474,71.8,2025-08-03,Healthy,281.14,
ACC_00475,77.2,2025-11-13,Healthy,447.15,
ACC_00477,61.0,2025-12-24,Healthy,0.0,
ACC_00479,73.5,2024-02-09,Healthy,3568.75,
ACC_00480,77.0,2024-11-03,Healthy,2842.9,
ACC_00481,41.2,2024-12-09,Needs Attention,0.0,
ACC_00484,50.0,2025-06-09,Needs Attention,0.0,
ACC_00487,69.8,2025-05-26,Healthy,0.0,
ACC_00488,62.7,2025-05-28,Healthy,0.0,
ACC_00491,65.5,2024-12-09,Churned,0.0,Budget
ACC_00492,79.1,2024-11-16,Healthy,892.42,
ACC_00493,74.8,2024-10-31,Healthy,1862.44,
ACC_00497,82.9,2025-02-25,Healthy,805.95,
ACC_00500,83.6,2025-11-14,Healthy,911.5,
ACC_00501,36.6,2024-10-22,Churned,0.0,Poor Fit
ACC_00502,81.7,2024-12-14,Healthy,1844.29,
ACC_00503,100.0,2025-03-21,Healthy,995.75,
ACC_00504,85.1,2025-01-02,Healthy,3416.84,
ACC_00505,66.3,2024-07-24,Healthy,0.0,
ACC_00507,39.0,2024-04-10,Needs Attention,0.0,
ACC_00508,48.2,2024-09-05,Needs Attention,0.0,
ACC_00509,74.6,2025-11-16,Healthy,4528.78,
ACC_00510,56.9,2024-12-02,Needs Attention,0.0,
ACC_00511,26.8,2024-02-09,Churned,0.0,Competition
ACC_00518,85.5,2025-11-07,Healthy,357.62,
ACC_00519,91.6,2024-12-23,Healthy,1771.11,
ACC_00520,29.9,2025-09-27,Churned,0.0,Competition
ACC_00526,74.0,2024-07-01,Churned,0.0,Low Adoption
ACC_00529,62.0,2025-07-10,Healthy,0.0,
ACC_00530,75.2,2025-02-01,Healthy,1697.52,
ACC_00531,42.4,2024-04-20,Needs Attention,0.0,
ACC_00533,86.5,2024-08-13,Healthy,3732.0,
ACC_00535,44.8,2024-05-12,Needs Attention,0.0,
ACC_00536,45.8,2025-05-01,Needs Attention,0.0,
ACC_00537,74.9,2024-09-03,Healthy,1277.16,
ACC_00539,44.7,2024-09-12,Needs Attention,0.0,
ACC_00543,69.2,2024-06-25,Healthy,0.0,
ACC_00545,48.5,2025-11-11,Needs Attention,0.0,
ACC_00547,88.2,2024-10-13,Healthy,598.05,
ACC_00548,85.7,2025-08-10,Healthy,956.62,
ACC_00552,57.5,2025-03-01,Needs Attention,0.0,
ACC_00554,83.3,2025-11-08,Healthy,686.84,
ACC_00555,58.8,2024-06-10,Needs Attention,0.0,
ACC_00556,85.6,2025-04-05,Healthy,3001.95,
ACC_00557,74.0,2024-08-09,Healthy,818.69,
ACC_00558,93.2,2025-07-12,Healthy,2304.06,
ACC_00559,36.8,2025-05-20,Churned,0.0,Competition
ACC_00561,70.2,2025-06-25,Healthy,4446.86,
ACC_00563,78.9,2024-04-29,Healthy,222.11,
ACC_00564,98.2,2024-05-15,Healthy,2503.06,
ACC_00565,73.1,2025-01-10,Healthy,2622.23,
ACC_00566,55.1,2024-05-01,Needs Attention,0.0,
ACC_00570,42.2,2024-02-04,Needs Attention,0.0,
ACC_00571,66.9,2024-10-07,Healthy,0.0,
ACC_00577,71.5,2024-06-07,Healthy,789.1,
ACC_00578,35.8,2024-06-21,Needs Attention,0.0,
ACC_00580,72.3,2025-04-02,Healthy,4374.22,
ACC_00581,85.2,2025-08-16,Healthy,659.52,
ACC_00586,48.2,2025-11-19,Needs Attention,0.0,
ACC_00587,36.3,2025-06-11,Churned,0.0,Business Closure
ACC_00589,32.9,2024-04-05,At Risk,0.0,
ACC_00591,62.9,2025-06-17,Healthy,0.0,
ACC_00592,60.4,2025-02-06,Healthy,0.0,
ACC_00595,86.2,2024-02-09,Healthy,1432.82,
ACC_00596,45.2,2025-12-02,Churned,0.0,Poor Fit
ACC_00600,79.9,2024-07-11,Healthy,1338.88,
ACC_00601,85.6,2025-12-19,Healthy,2773.16,
ACC_00602,100.0,2024-10-26,Healthy,1969.54,
ACC_00603,74.1,2024-08-01,Healthy,792.84,
ACC_00604,55.3,2025-07-30,Needs Attention,0.0,
ACC_00605,56.0,2025-06-10,Needs Attention,0.0,
ACC_00607,78.2,2024-12-22,Healthy,2915.49,
ACC_00610,57.0,2024-05-28,Churned,0.0,Competition
ACC_00611,76.7,2024-07-01,Healthy,518.24,
ACC_00612,36.0,2024-07-02,Churned,0.0,Budget
ACC_00614,96.2,2024-06-13,Healthy,1027.68,
ACC_00615,70.5,2025-08-29,Healthy,1009.41,
ACC_00618,56.5,2025-07-10,Needs Attention,0.0,
ACC_00620,70.5,2025-09-14,Churned,0.0,Poor Fit
ACC_00623,100.0,2024-06-14,Healthy,310.11,
ACC_00625,99.5,2025-11-14,Healthy,1966.22,
ACC_00626,50.2,2025-07-19,Needs Attention,0.0,
ACC_00628,100.0,2024-05-01,Healthy,1561.65,
ACC_00629,63.2,2024-07-28,Healthy,0.0,
ACC_00630,60.2,2025-01-10,Healthy,0.0,
ACC_00631,77.6,2025-06-21,Healthy,971.21,
ACC_00632,66.6,2024-09-10,Healthy,0.0,
ACC_00633,61.7,2025-04-02,Healthy,0.0,
ACC_00635,64.2,2024-10-21,Healthy,0.0,
ACC_00636,50.1,2025-03-06,Churned,0.0,Budget
ACC_00637,64.8,2025-09-04,Healthy,0.0,
ACC_00638,84.6,2025-09-09,Healthy,910.87,
ACC_00639,68.9,2025-07-29,Healthy,0.0,
ACC_00640,57.3,2024-03-15,Needs Attention,0.0,
ACC_00641,27.2,2025-11-26,Churned,0.0,Competition
ACC_00644,79.1,2024-12-16,Healthy,762.34,
ACC_00645,73.9,2025-08-21,Healthy,1965.76,
ACC_00646,79.0,2024-03-31,Healthy,1418.41,
ACC_00649,73.3,2025-03-03,Healthy,480.86,
ACC_00650,79.3,2024-02-03,Healthy,2699.13,
ACC_00651,60.0,2025-06-07,Healthy,0.0,
ACC_00652,68.7,2024-02-27,Healthy,0.0,
ACC_00653,99.5,2025-10-16,Healthy,854.25,
ACC_00654,76.6,2024-03-20,Healthy,397.12,
ACC_00655,90.5,2024-05-22,Healthy,1767.06,
ACC_00656,49.6,2024-12-05,Needs Attention,0.0,
ACC_00657,63.2,2024-12-30,Healthy,0.0,
ACC_00660,58.5,2025-04-27,Needs Attention,0.0,
ACC_00661,51.4,2024-09-12,Needs Attention,0.0,
ACC_00662,71.0,2024-10-10,Healthy,2158.16,
ACC_00664,63.9,2025-04-05,Healthy,0.0,
ACC_00666,68.6,2025-04-19,Healthy,0.0,
ACC_00667,73.3,2024-06-16,Healthy,3462.03,
ACC_00668,65.1,2025-07-04,Healthy,0.0,
ACC_00669,79.6,2024-09-22,Healthy,1971.25,
ACC_00671,87.6,2024-04-19,Healthy,1620.16,
ACC_00672,40.8,2025-03-30,Needs Attention,0.0,
ACC_00673,64.2,2024-08-12,Healthy,0.0,
ACC_00674,85.9,2025-10-12,Healthy,2036.44,
ACC_00680,36.1,2024-11-06,Churned,0.0,Poor Fit
ACC_00681,98.5,2025-01-15,Healthy,844.51,
ACC_00685,99.3,2024-07-07,Healthy,1953.87,
ACC_00687,54.7,2025-10-27,Needs Attention,0.0,
ACC_00688,64.9,2025-07-05,Healthy,0.0,
ACC_00690,78.1,2024-12-16,Healthy,2371.57,
ACC_00691,75.0,2024-06-08,Churned,0.0,Budget
ACC_00694,56.0,2024-04-28,Churned,0.0,Low Adoption
ACC_00695,77.0,2025-10-01,Healthy,408.28,
ACC_00696,76.1,2025-02-03,Healthy,2106.07,
ACC_00697,79.8,2024-05-06,Healthy,1809.19,
ACC_00699,72.5,2025-02-11,Healthy,3074.21,
ACC_00700,72.4,2024-02-18,Healthy,308.34,
ACC_00702,69.0,2024-10-17,Healthy,0.0,
ACC_00703,47.2,2024-09-10,Churned,0.0,Budget
ACC_00704,68.5,2024-10-01,Healthy,0.0,
ACC_00707,71.9,2025-10-10,Churned,0.0,Budget
ACC_00708,60.0,2024-03-03,Churned,0.0,Competition
ACC_00709,72.2,2025-08-28,Healthy,831.67,
ACC_00710,100.0,2025-03-31,Healthy,1462.25,
ACC_00711,40.8,2025-06-04,Needs Attention,0.0,
ACC_00716,65.8,2024-05-23,Healthy,0.0,
ACC_00719,72.7,2025-04-28,Healthy,2207.36,
ACC_00722,70.8,2025-06-18,Healthy,3801.23,
ACC_00724,81.7,2024-03-06,Healthy,1275.31,
ACC_00725,58.8,2025-02-01,Churned,0.0,Business Closure
ACC_00727,54.1,2025-03-28,Churned,0.0,Poor Fit
ACC_00728,53.0,2024-06-10,Needs Attention,0.0,
ACC_00729,88.3,2024-02-23,Healthy,704.19,
ACC_00730,62.6,2024-06-13,Healthy,0.0,
ACC_00731,71.9,2025-12-03,Healthy,6595.57,
ACC_00732,79.6,2025-05-29,Healthy,392.42,
ACC_00733,32.6,2024-09-15,At Risk,0.0,
ACC_00735,43.3,2025-07-08,Churned,0.0,Poor Fit
ACC_00736,37.3,2025-11-01,Needs Attention,0.0,
ACC_00737,69.1,2025-05-27,Healthy,0.0,
ACC_00740,37.8,2025-04-05,Needs Attention,0.0,
ACC_00741,91.4,2024-05-28,Healthy,1259.71,
ACC_00742,62.6,2024-08-21,Healthy,0.0,
ACC_00745,60.0,2025-04-15,Healthy,0.0,
ACC_00747,84.4,2024-12-09,Churned,0.0,Competition
ACC_00751,68.3,2025-10-07,Healthy,0.0,
ACC_00752,85.8,2024-02-19,Healthy,1995.37,
ACC_00753,52.2,2024-11-02,Needs Attention,0.0,
ACC_00754,30.0,2024-10-15,Churned,0.0,Poor Fit
ACC_00756,69.0,2025-08-07,Healthy,0.0,
ACC_00759,60.4,2025-07-31,Healthy,0.0,
ACC_00761,61.1,2024-02-08,Healthy,0.0,
ACC_00762,68.7,2024-10-08,Healthy,0.0,
ACC_00763,58.4,2024-04-16,Needs Attention,0.0,
ACC_00764,43.9,2025-06-13,Needs Attention,0.0,
ACC_00765,77.9,2024-04-23,Healthy,3023.05,
ACC_00769,69.7,2025-03-01,Healthy,0.0,
ACC_00770,37.6,2025-07-16,Churned,0.0,Competition
ACC_00772,99.9,2024-02-12,Healthy,2955.75,
ACC_00773,83.2,2025-05-01,Healthy,1437.78,
ACC_00774,63.4,2025-05-06,Healthy,0.0,
ACC_00775,66.5,2024-03-12,Healthy,0.0,
ACC_00776,32.1,2024-09-23,At Risk,0.0,
ACC_00777,54.8,2025-02-27,Needs Attention,0.0,
ACC_00778,76.1,2025-10-03,Healthy,1172.41,
ACC_00780,72.9,2024-09-12,Churned,0.0,Low Adoption
ACC_00782,58.9,2025-10-19,Needs Attention,0.0,
ACC_00786,65.0,2024-06-25,Healthy,0.0,
ACC_00789,71.4,2024-07-30,Healthy,4260.14,
ACC_00791,75.2,2025-05-24,Healthy,1233.92,
ACC_00792,52.2,2025-05-07,Needs Attention,0.0,
ACC_00793,50.2,2025-02-23,Needs Attention,0.0,
ACC_00796,90.6,2025-12-13,Churned,0.0,Business Closure
ACC_00799,20.3,2024-12-29,Churned,0.0,Budget
ACC_00800,69.7,2025-06-30,Churned,0.0,Business Closure
ACC_00802,78.2,2025-04-23,Healthy,494.06,
ACC_00803,70.1,2024-09-09,Healthy,1851.53,
ACC_00804,76.1,2025-05-14,Healthy,1849.68,
ACC_00807,100.0,2025-10-07,Healthy,5260.31,
ACC_00809,73.1,2024-05-09,Healthy,1389.06,
ACC_00811,80.3,2025-10-07,Healthy,1882.9,
ACC_00812,100.0,2025-02-20,Healthy,2299.03,
ACC_00813,88.4,2025-01-23,Healthy,561.79,
ACC_00814,42.8,2024-10-02,Needs Attention,0.0,
ACC_00816,43.1,2025-12-05,Needs Attention,0.0,
ACC_00818,75.7,2024-10-20,Healthy,1532.74,
ACC_00819,58.0,2025-02-18,Needs Attention,0.0,
ACC_00820,74.9,2024-02-12,Healthy,1832.46,
ACC_00821,77.7,2025-12-08,Healthy,1514.92,
ACC_00822,77.4,2024-04-05,Churned,0.0,Competition
ACC_00824,41.8,2025-12-17,Churned,0.0,Low Adoption
