contract_id,account_id,opportunity_id,contract_date,contract_value,start_date,end_date,revenue_model,contract_status
CON_000043,ACC_00935,OPP_000205,2025-04-23,14328.87,2025-05-05,2025-08-03,Transactional,Active
CON_000044,ACC_00533,OPP_000208,2025-10-05,10093.24,2025-10-15,2025-11-14,Transactional,Active
CON_000045,ACC_00328,OPP_000212,2025-05-12,11248.68,2025-05-14,2025-11-10,Advertising,Active
CON_000046,ACC_00940,OPP_000215,2025-04-01,7665.55,2025-04-07,2026-04-02,Subscription,Active
CON_000047,ACC_00310,OPP_000216,2025-05-25,11037.22,2025-06-07,2025-07-07,Transactional,Cancelled
CON_000048,ACC_01010,OPP_000220,2025-02-04,7099.68,2025-02-14,2025-03-16,Advertising,Active
CON_000049,ACC_00132,OPP_000225,2024-04-05,29175.22,2024-04-14,2024-05-14,Transactional,Active
CON_000050,ACC_00410,OPP_000229,2024-04-21,42338.55,2024-04-23,2025-04-18,Subscription,Active
CON_000051,ACC_00776,OPP_000231,2024-08-21,71372.83,2024-08-29,2026-08-19,Subscription,Active
CON_000052,ACC_00245,OPP_000236,2025-06-02,8563.09,2025-06-04,2025-12-01,Subscription,Active
CON_000053,ACC_00708,OPP_000245,2025-12-13,35202.25,2025-12-23,2026-06-21,Advertising,Amended
CON_000054,ACC_01049,OPP_000260,2024-07-13,4623.8,2024-07-16,2025-07-11,Advertising,Cancelled
CON_000055,ACC_00393,OPP_000262,2025-07-31,8604.1,2025-08-04,2026-01-31,Subscription,Active
CON_000056,ACC_00836,OPP_000268,2024-09-06,7618.59,2024-09-14,2025-09-09,Subscription,Active
CON_000057,ACC_00484,OPP_000271,2025-01-03,15866.69,2025-01-03,2025-07-02,Transactional,Active
CON_000058,ACC_00300,OPP_000278,2025-05-27,44910.85,2025-06-06,2025-12-03,Enterprise Services,Active
CON_000059,ACC_00812,OPP_000281,2025-02-08,3983.01,2025-02-14,2027-02-04,Subscription,Active
CON_000060,ACC_00653,OPP_000286,2025-01-07,10899.12,2025-01-14,2025-02-13,Transactional,Active
CON_000061,ACC_00182,OPP_000290,2025-12-30,37083.74,2026-01-10,2026-04-10,Advertising,Active
CON_000062,ACC_00858,OPP_000293,2024-07-16,8355.45,2024-07-27,2025-07-22,Subscription,Amended
CON_000063,ACC_00696,OPP_000296,2024-08-20,20047.17,2024-09-02,2025-08-28,Subscription,Active
CON_000064,ACC_00645,OPP_000297,2025-07-04,40556.07,2025-07-06,2026-01-02,Advertising,Active
CON_000065,ACC_01137,OPP_000301,2025-03-08,6023.3,2025-03-14,2026-03-09,Subscription,Active
CON_000066,ACC_00419,OPP_000307,2025-10-14,3703.34,2025-10-15,2026-04-13,Usage-Based,Active
CON_000067,ACC_00635,OPP_000316,2024-05-24,81812.46,2024-05-27,2024-06-26,Transactional,Active
CON_000068,ACC_00162,OPP_000323,2024-12-25,128721.96,2025-01-02,2025-02-01,Advertising,Active
CON_000069,ACC_00434,OPP_000334,2025-07-20,80096.79,2025-07-21,2025-10-19,Usage-Based,Active
CON_000070,ACC_01066,OPP_000335,2025-10-03,45162.43,2025-10-09,2025-11-08,Usage-Based,Active
CON_000071,ACC_00004,OPP_000337,2025-01-31,14672.55,2025-02-14,2026-02-09,Subscription,Active
CON_000072,ACC_00770,OPP_000339,2024-02-27,7674.9,2024-02-28,2027-02-12,Subscription,Cancelled
CON_000073,ACC_00113,OPP_000341,2025-12-06,4438.33,2025-12-09,2026-12-04,Subscription,Active
CON_000074,ACC_00973,OPP_000343,2025-04-08,9170.19,2025-04-12,2027-04-02,Subscription,Active
CON_000075,ACC_01056,OPP_000345,2025-10-17,28073.17,2025-10-30,2026-04-28,Subscription,Active
CON_000076,ACC_00640,OPP_000346,2025-10-22,92662.9,2025-11-02,2026-10-28,Subscription,Active
CON_000077,ACC_00446,OPP_000351,2024-09-20,83899.82,2024-09-22,2025-09-17,Subscription,Cancelled
CON_000078,ACC_00937,OPP_000352,2024-02-02,392327.98,2024-02-12,2024-03-13,Usage-Based,Active
CON_000079,ACC_01121,OPP_000360,2024-10-14,5678.54,2024-10-14,2025-10-09,Subscription,Active
CON_000080,ACC_00916,OPP_000368,2024-04-14,14837.2,2024-04-25,2024-07-24,Usage-Based,Active
CON_000081,ACC_00636,OPP_000371,2025-12-14,13289.45,2025-12-17,2027-12-07,Subscription,Active
CON_000082,ACC_00233,OPP_000381,2025-02-26,122557.68,2025-03-08,2025-04-07,Usage-Based,Active
CON_000083,ACC_00007,OPP_000382,2024-02-15,125055.74,2024-02-22,2024-05-22,Transactional,Active
CON_000084,ACC_00006,OPP_000386,2025-05-08,112337.9,2025-05-19,2025-08-17,Advertising,Active
CON_000085,ACC_00133,OPP_000405,2024-09-26,10978.63,2024-10-01,2024-10-31,Transactional,Amended
CON_000086,ACC_00654,OPP_000421,2025-08-02,29003.66,2025-08-09,2026-02-05,Advertising,Active
CON_000087,ACC_00084,OPP_000429,2025-05-05,24375.05,2025-05-18,2026-05-13,Subscription,Active
CON_000088,ACC_00610,OPP_000431,2024-12-06,2507.03,2024-12-18,2026-12-08,Subscription,Active
CON_000089,ACC_00068,OPP_000432,2025-04-27,2847.36,2025-05-05,2025-11-01,Subscription,Active
CON_000090,ACC_00155,OPP_000436,2024-09-10,2653.33,2024-09-23,2025-09-18,Subscription,Active
CON_000091,ACC_00496,OPP_000439,2024-08-04,2358.38,2024-08-05,2025-07-31,Subscription,Active
CON_000092,ACC_00487,OPP_000440,2025-04-01,4801.89,2025-04-11,2027-04-01,Subscription,Active
CON_000093,ACC_00437,OPP_000444,2025-04-05,30450.54,2025-04-14,2025-07-13,Advertising,Active
CON_000094,ACC_00303,OPP_000445,2024-10-28,141188.85,2024-10-31,2025-04-29,Advertising,Active
CON_000095,ACC_00455,OPP_000446,2025-07-19,6603.23,2025-07-24,2025-10-22,Transactional,Active
CON_000096,ACC_00420,OPP_000449,2026-03-22,52034.05,2026-03-28,2026-04-27,Transactional,Active
CON_000097,ACC_00294,OPP_000455,2025-02-08,37896.24,2025-02-18,2025-08-17,Enterprise Services,Active
CON_000098,ACC_00978,OPP_000465,2025-10-07,2707.56,2025-10-16,2026-10-11,Subscription,Active
CON_000099,ACC_00735,OPP_000466,2024-11-26,15619.62,2024-12-07,2025-12-02,Subscription,Active
CON_000100,ACC_00290,OPP_000478,2024-05-27,14877.11,2024-06-05,2024-12-02,Usage-Based,Active
CON_000101,ACC_00628,OPP_000484,2024-10-14,17305.62,2024-10-28,2025-01-26,Advertising,Active
CON_000102,ACC_00339,OPP_000502,2025-01-02,2404.05,2025-01-14,2025-07-13,Subscription,Active
CON_000103,ACC_00305,OPP_000504,2024-12-23,477752.54,2024-12-31,2025-12-26,Transactional,Active
CON_000104,ACC_00045,OPP_000506,2025-12-26,54045.07,2025-12-26,2026-01-25,Advertising,Active
CON_000105,ACC_00220,OPP_000511,2024-12-04,7599.98,2024-12-09,2027-11-24,Subscription,Active
CON_000106,ACC_00016,OPP_000516,2025-09-30,16370.28,2025-10-01,2027-09-21,Subscription,Active
CON_000107,ACC_00520,OPP_000517,2024-11-09,40298.48,2024-11-15,2025-11-10,Subscription,Active
CON_000108,ACC_00958,OPP_000519,2026-01-22,67053.72,2026-02-05,2026-03-07,Advertising,Active
CON_000109,ACC_00337,OPP_000526,2025-05-11,7483.85,2025-05-17,2026-05-12,Subscription,Active
CON_000110,ACC_00882,OPP_000531,2024-03-21,2723.58,2024-04-02,2024-09-29,Transactional,Active
CON_000111,ACC_00069,OPP_000539,2025-09-09,11910.86,2025-09-15,2026-09-10,Subscription,Active
CON_000112,ACC_00268,OPP_000551,2025-08-15,10612.1,2025-08-23,2025-09-22,Usage-Based,Active
CON_000113,ACC_00798,OPP_000559,2024-04-04,53411.84,2024-04-04,2027-03-20,Subscription,Active
CON_000114,ACC_00707,OPP_000561,2024-08-17,84890.71,2024-08-27,2027-08-12,Subscription,Amended
CON_000115,ACC_00967,OPP_000568,2024-08-10,37265.53,2024-08-13,2024-11-11,Advertising,Active
CON_000116,ACC_00634,OPP_000570,2024-03-13,9235.45,2024-03-19,2024-04-18,Advertising,Active
CON_000117,ACC_01020,OPP_000573,2024-12-02,25160.49,2024-12-16,2025-01-15,Advertising,Active
CON_000118,ACC_00173,OPP_000578,2025-05-28,3182.7,2025-05-31,2026-05-26,Subscription,Active
CON_000119,ACC_00091,OPP_000590,2025-09-26,2669.39,2025-10-09,2026-10-04,Subscription,Amended
CON_000120,ACC_00539,OPP_000591,2024-04-24,21438.0,2024-05-06,2024-08-04,Advertising,Active
CON_000121,ACC_00883,OPP_000598,2025-05-11,174932.9,2025-05-11,2027-05-01,Subscription,Amended
CON_000122,ACC_00154,OPP_000604,2025-09-27,38247.52,2025-10-02,2027-09-22,Subscription,Active
CON_000123,ACC_01027,OPP_000606,2025-05-06,82635.89,2025-05-20,2025-06-19,Advertising,Active
CON_000124,ACC_00423,OPP_000613,2025-09-24,19502.48,2025-09-30,2026-09-25,Transactional,Active
CON_000125,ACC_00954,OPP_000615,2025-01-17,3275.31,2025-01-28,2025-02-27,Advertising,Active
CON_000126,ACC_00867,OPP_000617,2025-02-08,33996.4,2025-02-21,2025-03-23,Advertising,Active
CON_000127,ACC_00411,OPP_000624,2025-09-08,21209.97,2025-09-08,2026-09-03,Subscription,Active
CON_000128,ACC_00073,OPP_000628,2025-04-04,61353.54,2025-04-14,2027-04-04,Subscription,Active
CON_000129,ACC_ORPHAN_8,OPP_000633,2025-01-01,4211.69,2025-01-14,2025-04-14,Advertising,Active
CON_000130,ACC_00271,OPP_000644,2025-06-08,2636.59,2025-06-16,2027-06-06,Subscription,Active
CON_000131,ACC_01172,OPP_000645,2025-01-25,6421.44,2025-02-08,2025-05-09,Advertising,Active
CON_000132,ACC_01031,OPP_000656,2024-10-31,9515.49,2024-11-10,2025-11-05,Subscription,Active
CON_000133,ACC_01152,OPP_000658,2025-08-17,69496.22,2025-08-26,2025-09-25,Transactional,Active
CON_000134,ACC_00435,OPP_000659,2024-05-09,13294.81,2024-05-10,2024-08-08,Advertising,Active
CON_000135,ACC_00843,OPP_000661,2025-04-13,46768.62,2025-04-24,2025-07-23,Transactional,Amended
CON_000136,ACC_00047,OPP_000663,2024-08-10,3975.54,2024-08-22,2025-08-17,Subscription,Active
CON_000137,ACC_00758,OPP_000666,2025-04-01,5242.23,2025-04-05,2025-05-05,Usage-Based,Active
CON_000138,ACC_00365,OPP_000667,2024-07-15,19628.88,2024-07-17,2025-01-13,Usage-Based,Active
CON_000139,ACC_00300,OPP_000674,2024-11-17,24899.92,2024-11-25,2024-12-25,Enterprise Services,Active
CON_000140,ACC_00470,OPP_000682,2025-08-10,34628.08,2025-08-24,2025-09-23,Usage-Based,Active
CON_000141,ACC_00934,OPP_000685,2025-09-22,5504.49,2025-10-02,2025-11-01,Transactional,Active
CON_000142,ACC_00216,OPP_000701,2025-02-16,2335.05,2025-02-28,2026-02-23,Subscription,Active
CON_000143,ACC_00107,OPP_000702,2024-09-14,5893.15,2024-09-22,2024-10-22,Enterprise Services,Active
CON_000144,ACC_00772,OPP_000704,2024-08-10,11530.72,2024-08-16,2024-09-15,Advertising,Active
CON_000145,ACC_00200,OPP_000705,2025-09-09,3420.57,2025-09-13,2025-12-12,Enterprise Services,Active
CON_000146,ACC_00671,OPP_000706,2024-09-10,21412.42,2024-09-22,2026-09-12,Subscription,Active
CON_000147,ACC_00411,OPP_000723,2025-04-15,12493.63,2025-04-24,2026-04-19,Subscription,Cancelled
CON_000148,ACC_01136,OPP_000725,2026-02-15,15570.48,2026-02-26,2026-08-25,Transactional,Active
CON_000149,ACC_00599,OPP_000732,2025-08-15,50707.18,2025-08-27,2026-08-22,Subscription,Active
CON_000150,ACC_00480,OPP_000744,2025-11-15,2453.04,2025-11-29,2026-11-24,Subscription,Active
CON_000151,ACC_00396,OPP_000751,2024-06-13,43168.41,2024-06-25,2024-07-25,Transactional,Cancelled
CON_000152,ACC_01157,OPP_000756,2024-04-25,8633.03,2024-05-01,2024-07-30,Usage-Based,Amended
CON_000153,ACC_01049,OPP_000760,2024-03-20,27466.48,2024-03-21,2025-03-16,Advertising,Active
CON_000154,ACC_00641,OPP_000764,2026-02-16,4416.8,2026-02-24,2027-02-19,Subscription,Active
CON_000155,ACC_00106,OPP_000770,2025-08-20,16790.4,2025-08-26,2025-09-25,Enterprise Services,Cancelled
CON_000156,ACC_00228,OPP_000776,2025-02-07,14332.6,2025-02-21,2027-02-11,Subscription,Active
CON_000157,ACC_00552,OPP_000778,2024-08-10,15887.35,2024-08-10,2025-08-05,Subscription,Active
CON_000158,ACC_00255,OPP_000781,2025-09-27,5419.45,2025-10-09,2026-01-07,Usage-Based,Active
CON_000159,ACC_01072,OPP_000783,2026-01-11,25714.54,2026-01-20,2026-07-19,Subscription,Active
CON_000160,ACC_00195,OPP_000786,2025-03-27,7635.87,2025-03-28,2027-03-18,Subscription,Active
CON_000161,ACC_00818,OPP_000788,2026-02-19,27554.68,2026-02-22,2028-02-12,Subscription,Active
CON_000162,ACC_00514,OPP_000792,2024-11-11,13266.51,2024-11-11,2025-02-09,Transactional,Active
CON_000163,ACC_00587,OPP_000796,2024-04-17,7019.71,2024-04-30,2024-10-27,Subscription,Active
CON_000164,ACC_00517,OPP_000802,2025-12-05,7267.39,2025-12-14,2026-01-13,Transactional,Active
CON_000165,ACC_ORPHAN_7,OPP_000805,2024-07-23,15491.48,2024-08-01,2025-01-28,Subscription,Active
CON_000166,ACC_00168,OPP_000807,2024-10-13,20588.41,2024-10-20,2025-10-15,Subscription,Active
CON_000167,ACC_00967,OPP_000808,2025-04-02,46513.88,2025-04-08,2026-04-03,Advertising,Cancelled
CON_000168,ACC_00775,OPP_000810,2025-11-29,26978.75,2025-12-01,2025-12-31,Advertising,Active
CON_000169,ACC_00151,OPP_000818,2024-03-29,37917.5,2024-04-08,2024-05-08,Usage-Based,Active
CON_000170,ACC_00455,OPP_000828,2025-09-05,2666.91,2025-09-06,2025-12-05,Transactional,Active
CON_000171,ACC_01200,OPP_000831,2025-10-03,57117.77,2025-10-06,2025-11-05,Transactional,Active
CON_000172,ACC_01195,OPP_000834,2024-08-27,234603.01,2024-09-10,2025-03-09,Transactional,Active
CON_000173,ACC_00829,OPP_000838,2024-02-27,47753.39,2024-02-28,2024-05-28,Advertising,Active
CON_000174,ACC_00609,OPP_000842,2024-08-31,13204.91,2024-09-14,2025-09-09,Subscription,Active
CON_000175,ACC_00716,OPP_000844,2025-06-08,3394.39,2025-06-09,2025-12-06,Usage-Based,Active
CON_000176,ACC_01058,OPP_000856,2026-01-05,14787.62,2026-01-12,2027-01-07,Subscription,Active
CON_000177,ACC_01072,OPP_000862,2025-03-09,95432.87,2025-03-17,2026-03-12,Subscription,Active
CON_000178,ACC_00674,OPP_000864,2025-05-15,7991.46,2025-05-16,2026-05-11,Subscription,Active
CON_000179,ACC_00163,OPP_000868,2025-03-21,7251.82,2025-04-03,2026-03-29,Subscription,Active
CON_000180,ACC_00466,OPP_000870,2024-05-17,11435.05,2024-05-31,2024-08-29,Usage-Based,Active
CON_000181,ACC_00601,OPP_000877,2024-06-12,2339.12,2024-06-15,2025-06-10,Subscription,Amended
CON_000182,ACC_01175,OPP_000890,2025-12-02,10283.82,2025-12-05,2026-11-30,Subscription,Active
CON_000183,ACC_00679,OPP_000892,2024-05-19,4003.99,2024-05-30,2027-05-15,Subscription,Active
CON_000184,ACC_00231,OPP_000900,2024-08-12,2313.67,2024-08-17,2024-11-15,Usage-Based,Active
CON_000185,ACC_00090,OPP_000901,2025-05-30,14511.18,2025-05-30,2025-11-26,Transactional,Amended
CON_000186,ACC_00521,OPP_000906,2024-05-20,47730.65,2024-05-31,2024-06-30,Enterprise Services,Amended
CON_000187,ACC_00665,OPP_000914,2024-08-01,7131.68,2024-08-06,2026-07-27,Subscription,Active
CON_000188,ACC_00110,OPP_000917,2024-07-08,62562.98,2024-07-14,2025-07-09,Advertising,Active
CON_000189,ACC_01178,OPP_000918,2024-03-16,6514.61,2024-03-25,2024-04-24,Enterprise Services,Active
CON_000190,ACC_00784,OPP_000924,2025-05-03,12013.2,2025-05-11,2028-04-25,Subscription,Active
CON_000191,ACC_00165,OPP_000930,2026-03-23,14176.92,2026-04-04,2026-10-01,Usage-Based,Active
CON_000192,ACC_00873,OPP_000933,2025-01-10,8951.86,2025-01-21,2028-01-06,Subscription,Active
CON_000193,ACC_00283,OPP_000934,2024-11-06,13406.39,2024-11-20,2025-11-15,Subscription,Active
CON_000194,ACC_01056,OPP_000941,2024-09-03,3428.31,2024-09-16,2026-09-06,Subscription,Active
CON_000195,ACC_00851,OPP_000942,2024-07-16,13122.75,2024-07-25,2025-07-20,Enterprise Services,Active
CON_000196,ACC_00214,OPP_000944,2024-08-29,45501.63,2024-09-06,2025-03-05,Advertising,Active
CON_000197,ACC_00349,OPP_000953,2024-09-01,8741.61,2024-09-07,2025-03-06,Advertising,Active
CON_000198,ACC_00234,OPP_000955,2024-06-19,301614.47,2024-06-28,2024-12-25,Subscription,Active
CON_000199,ACC_01087,OPP_000963,2025-12-01,25893.26,2025-12-01,2025-12-31,Transactional,Active
CON_000200,ACC_00779,OPP_000964,2024-07-06,14328.06,2024-07-12,2025-01-08,Subscription,Active
CON_000201,ACC_00408,OPP_000965,2025-03-29,17059.05,2025-04-02,2026-03-28,Subscription,Active
CON_000202,ACC_00725,OPP_000967,2024-04-21,6146.69,2024-04-29,2026-04-19,Subscription,Active
CON_000203,ACC_00086,OPP_000973,2025-07-09,24158.95,2025-07-22,2025-10-20,Usage-Based,Active
CON_000204,ACC_01113,OPP_000975,2025-08-24,3729.54,2025-08-31,2026-02-27,Transactional,Active
CON_000205,ACC_00713,OPP_000980,2025-01-22,14349.24,2025-01-30,2027-01-20,Subscription,Amended
CON_000206,ACC_00373,OPP_000986,2024-05-07,11429.13,2024-05-13,2024-08-11,Enterprise Services,Active
CON_000207,ACC_00004,OPP_000987,2025-02-19,42277.95,2025-02-24,2028-02-09,Subscription,Active
CON_000208,ACC_00457,OPP_000989,2024-10-28,210857.61,2024-11-07,2025-11-02,Subscription,Active
CON_000209,ACC_00576,OPP_000991,2024-06-22,13338.49,2024-06-25,2024-07-25,Advertising,Active
CON_000210,ACC_00842,OPP_000995,2024-10-10,52217.17,2024-10-23,2025-10-18,Enterprise Services,Active
CON_000211,ACC_00008,OPP_000998,2025-06-30,45383.03,2025-07-01,2025-07-31,Usage-Based,Active
CON_000212,ACC_00170,OPP_001001,2024-08-28,250805.0,2024-08-31,2025-08-26,Transactional,Active
CON_000213,ACC_00531,OPP_001002,2024-06-14,16269.23,2024-06-25,2025-06-20,Subscription,Active
CON_000214,ACC_01156,OPP_001005,2025-11-30,8201.28,2025-12-01,2026-11-26,Transactional,Active
CON_000215,ACC_00210,OPP_001009,2025-10-27,74467.07,2025-11-02,2026-01-31,Usage-Based,Active
CON_000216,ACC_00180,OPP_001015,2024-08-30,10070.85,2024-09-04,2026-08-25,Subscription,Active
CON_000217,ACC_00591,OPP_001021,2024-07-21,67079.24,2024-08-04,2025-07-30,Subscription,Active
CON_000218,ACC_00456,OPP_001024,2025-06-24,3506.09,2025-06-26,2025-12-23,Transactional,Active
CON_000219,ACC_00222,OPP_001027,2025-06-01,13677.79,2025-06-07,2026-06-02,Subscription,Active
CON_000220,ACC_00762,OPP_001028,2025-06-14,50275.11,2025-06-20,2025-07-20,Advertising,Active
CON_000221,ACC_00007,OPP_001031,2025-07-09,27975.42,2025-07-21,2026-07-16,Transactional,Active
CON_000222,ACC_00784,OPP_001035,2024-06-04,10296.82,2024-06-12,2025-06-07,Subscription,Active
CON_000223,ACC_00460,OPP_001036,2025-04-14,14978.64,2025-04-15,2025-05-15,Transactional,Active
CON_000224,ACC_00905,OPP_001037,2025-11-21,8586.22,2025-12-04,2026-11-29,Subscription,Active
CON_000225,ACC_00905,OPP_001041,2026-01-07,2951.37,2026-01-09,2027-12-30,Subscription,Active
CON_000226,ACC_00002,OPP_001050,2024-04-15,3905.62,2024-04-25,2025-04-20,Subscription,Active
CON_000227,ACC_00288,OPP_001054,2024-11-14,14507.58,2024-11-18,2025-05-17,Enterprise Services,Active
CON_000228,ACC_00820,OPP_001066,2025-04-19,38467.76,2025-04-20,2025-05-20,Enterprise Services,Active
CON_000229,ACC_01102,OPP_001070,2025-03-29,32164.96,2025-03-31,2026-03-26,Subscription,Active
CON_000230,ACC_00465,OPP_001073,2025-12-28,5555.97,2026-01-11,2026-02-10,Advertising,Active
CON_000231,ACC_00473,OPP_001074,2025-06-12,153338.07,2025-06-26,2025-07-26,Enterprise Services,Active
CON_000232,ACC_00760,OPP_001077,2025-11-25,2906.51,2025-12-04,2026-06-02,Subscription,Active
CON_000233,ACC_00232,OPP_001080,2025-06-02,3364.47,2025-06-14,2025-07-14,Advertising,Active
CON_000234,ACC_00496,OPP_001081,2024-12-05,7257.31,2024-12-18,2025-06-16,Subscription,Active
CON_000235,ACC_00105,OPP_001084,2024-07-30,78700.94,2024-08-04,2026-07-25,Subscription,Amended
CON_000236,ACC_00274,OPP_001089,2025-05-10,9785.44,2025-05-21,2026-05-16,Subscription,Active
CON_000237,ACC_00438,OPP_001092,2025-01-19,37294.8,2025-01-26,2026-01-21,Subscription,Active
CON_000238,ACC_00749,OPP_001096,2024-10-12,9020.58,2024-10-14,2026-10-04,Subscription,Active
CON_000239,ACC_00470,OPP_001097,2025-03-20,46008.56,2025-03-27,2025-06-25,Usage-Based,Active
CON_000240,ACC_00736,OPP_001098,2024-03-27,21014.24,2024-03-27,2025-03-22,Enterprise Services,Active
CON_000241,ACC_01117,OPP_001100,2025-05-30,7152.17,2025-06-08,2026-06-03,Subscription,Amended
CON_000242,ACC_00995,OPP_001111,2024-08-15,88448.42,2024-08-18,2025-08-13,Transactional,Active
CON_000243,ACC_00062,OPP_001114,2025-05-02,61718.17,2025-05-03,2026-04-28,Subscription,Cancelled
CON_000244,ACC_00358,OPP_001132,2025-10-30,25893.91,2025-11-09,2025-12-09,Enterprise Services,Active
CON_000245,ACC_01127,OPP_001135,2024-08-22,62569.32,2024-08-27,2025-08-22,Subscription,Active
CON_000246,ACC_00499,OPP_001138,2025-04-23,4561.16,2025-04-29,2026-04-24,Subscription,Active
CON_000247,ACC_00731,OPP_001139,2024-11-19,10865.42,2024-11-20,2025-05-19,Usage-Based,Active
CON_000248,ACC_00908,OPP_001151,2024-03-24,15747.75,2024-03-25,2024-09-21,Usage-Based,Active
CON_000249,ACC_00400,OPP_001154,2025-09-01,9049.3,2025-09-14,2025-10-14,Usage-Based,Active
CON_000250,ACC_00259,OPP_001160,2025-07-24,43933.25,2025-08-01,2025-08-31,Advertising,Active
CON_000251,ACC_01105,OPP_001169,2025-03-28,10009.08,2025-04-03,2026-03-29,Subscription,Active
CON_000252,ACC_01172,OPP_001175,2025-07-28,25541.17,2025-08-06,2025-11-04,Advertising,Active
CON_000253,ACC_01113,OPP_001184,2024-11-19,20253.83,2024-11-29,2024-12-29,Transactional,Active
CON_000254,ACC_00913,OPP_001187,2024-05-05,57911.46,2024-05-06,2024-08-04,Transactional,Active
