account_id,user_id,signup_date,channel,campaign_id,ad_group_id,creative_id,persona_segment,subscription_tier,is_missing_attribution,data_origin
acct_000996,usr_000996,2026-01-05,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001634,usr_001634,2026-01-05,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_001,NEW_OWNER,,False,SYNTHETIC
acct_000296,usr_000296,2026-01-05,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000343,usr_000343,2026-01-05,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001257,usr_001257,2026-01-05,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001073,usr_001073,2026-01-05,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000228,usr_000228,2026-01-05,GOOGLE_SEARCH,camp_google_002,ag_google_002_001,cr_google_025_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001892,usr_001892,2026-01-05,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000091,usr_000091,2026-01-05,GOOGLE_SEARCH,camp_google_001,ag_google_001_002,cr_google_023_002,NEW_OWNER,,False,SYNTHETIC
acct_001297,usr_001297,2026-01-06,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001354,usr_001354,2026-01-06,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001198,usr_001198,2026-01-06,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001599,usr_001599,2026-01-06,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_003,NEW_OWNER,,False,SYNTHETIC
acct_001016,usr_001016,2026-01-06,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001137,usr_001137,2026-01-06,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001585,usr_001585,2026-01-06,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_003,NEW_OWNER,,False,SYNTHETIC
acct_001570,usr_001570,2026-01-06,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_003,NEW_OWNER,,False,SYNTHETIC
acct_000125,usr_000125,2026-01-06,GOOGLE_SEARCH,camp_google_001,ag_google_001_003,cr_google_024_001,NEW_OWNER,,False,SYNTHETIC
acct_000923,usr_000923,2026-01-06,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000865,usr_000865,2026-01-06,META,camp_meta_004,ag_meta_004_001,cr_meta_010_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001428,usr_001428,2026-01-06,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000929,usr_000929,2026-01-06,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001604,usr_001604,2026-01-06,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_003,NEW_OWNER,,False,SYNTHETIC
acct_000204,usr_000204,2026-01-06,GOOGLE_SEARCH,camp_google_002,ag_google_002_001,cr_google_025_002,GROWTH_MINDED,,False,SYNTHETIC
acct_000309,usr_000309,2026-01-06,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000617,usr_000617,2026-01-06,META,camp_meta_001,ag_meta_001_002,cr_meta_002_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001825,usr_001825,2026-01-06,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000603,usr_000603,2026-01-06,META,camp_meta_001,ag_meta_001_002,cr_meta_002_001,NEW_OWNER,,False,SYNTHETIC
acct_000827,usr_000827,2026-01-06,META,camp_meta_003,ag_meta_003_002,cr_meta_008_003,NEW_OWNER,,False,SYNTHETIC
acct_000801,usr_000801,2026-01-07,META,camp_meta_003,ag_meta_003_001,cr_meta_007_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000002,usr_000002,2026-01-07,,,,,GROWTH_MINDED,,True,SYNTHETIC
acct_001425,usr_001425,2026-01-07,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001444,usr_001444,2026-01-07,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001149,usr_001149,2026-01-07,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001498,usr_001498,2026-01-07,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001089,usr_001089,2026-01-07,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001507,usr_001507,2026-01-07,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001893,usr_001893,2026-01-07,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000479,usr_000479,2026-01-07,GOOGLE_SEARCH,camp_google_002,ag_google_002_003,cr_google_027_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000318,usr_000318,2026-01-07,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000529,usr_000529,2026-01-07,META,camp_meta_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001688,usr_001688,2026-01-07,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_002,NEW_OWNER,,False,SYNTHETIC
acct_000793,usr_000793,2026-01-07,META,camp_meta_003,ag_meta_003_001,cr_meta_007_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001723,usr_001723,2026-01-07,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000970,usr_000970,2026-01-07,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001573,usr_001573,2026-01-07,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_003,NEW_OWNER,,False,SYNTHETIC
acct_000641,usr_000641,2026-01-07,META,camp_meta_001,ag_meta_001_003,cr_meta_003_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000118,usr_000118,2026-01-07,GOOGLE_SEARCH,camp_google_001,ag_google_001_003,cr_google_024_001,NEW_OWNER,,False,SYNTHETIC
acct_000565,usr_000565,2026-01-07,META,camp_meta_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001110,usr_001110,2026-01-08,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_002,COMMUNITY_FOCUSED,,False,SYNTHETIC
acct_001317,usr_001317,2026-01-08,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001277,usr_001277,2026-01-08,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000221,usr_000221,2026-01-08,GOOGLE_SEARCH,camp_google_002,ag_google_002_001,cr_google_025_002,GROWTH_MINDED,,False,SYNTHETIC
acct_000229,usr_000229,2026-01-08,GOOGLE_SEARCH,camp_google_002,ag_google_002_001,cr_google_025_003,GROWTH_MINDED,,False,SYNTHETIC
acct_001101,usr_001101,2026-01-08,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_002,COMMUNITY_FOCUSED,,False,SYNTHETIC
acct_000925,usr_000925,2026-01-08,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000202,usr_000202,2026-01-08,GOOGLE_SEARCH,camp_google_002,ag_google_002_001,cr_google_025_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000752,usr_000752,2026-01-08,META,camp_meta_002,ag_meta_002_003,cr_meta_006_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000875,usr_000875,2026-01-08,META,camp_meta_004,ag_meta_004_001,cr_meta_010_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000100,usr_000100,2026-01-08,GOOGLE_SEARCH,camp_google_001,ag_google_001_002,cr_google_023_003,NEW_OWNER,,False,SYNTHETIC
acct_001142,usr_001142,2026-01-08,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000606,usr_000606,2026-01-08,META,camp_meta_001,ag_meta_001_002,cr_meta_002_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000289,usr_000289,2026-01-08,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001333,usr_001333,2026-01-08,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001171,usr_001171,2026-01-08,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001961,usr_001961,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001525,usr_001525,2026-01-08,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001813,usr_001813,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001984,usr_001984,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_003,GROWTH_MINDED,,False,SYNTHETIC
acct_001902,usr_001902,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001899,usr_001899,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001786,usr_001786,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001381,usr_001381,2026-01-08,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001744,usr_001744,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001733,usr_001733,2026-01-08,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000069,usr_000069,2026-01-08,GOOGLE_SEARCH,camp_google_001,ag_google_001_002,cr_google_023_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001113,usr_001113,2026-01-09,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_003,COMMUNITY_FOCUSED,,False,SYNTHETIC
acct_001489,usr_001489,2026-01-09,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001108,usr_001108,2026-01-09,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_002,COMMUNITY_FOCUSED,,False,SYNTHETIC
acct_000786,usr_000786,2026-01-09,META,camp_meta_003,ag_meta_003_001,cr_meta_007_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001070,usr_001070,2026-01-09,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000049,usr_000049,2026-01-09,,,,,GROWTH_MINDED,,True,SYNTHETIC
acct_000694,usr_000694,2026-01-09,META,camp_meta_002,ag_meta_002_002,cr_meta_005_001,NEW_OWNER,,False,SYNTHETIC
acct_001793,usr_001793,2026-01-09,,,,,SCRAPPY_INDEPENDENT,,True,SYNTHETIC
acct_000605,usr_000605,2026-01-09,META,camp_meta_001,ag_meta_001_002,cr_meta_002_001,NEW_OWNER,,False,SYNTHETIC
acct_000671,usr_000671,2026-01-09,META,camp_meta_002,ag_meta_002_001,cr_meta_004_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001557,usr_001557,2026-01-09,,,,,NEW_OWNER,,True,SYNTHETIC
acct_001806,usr_001806,2026-01-09,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001933,usr_001933,2026-01-09,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001312,usr_001312,2026-01-09,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000543,usr_000543,2026-01-09,META,camp_meta_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000535,usr_000535,2026-01-09,META,camp_meta_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001378,usr_001378,2026-01-09,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_002,GROWTH_MINDED,,False,SYNTHETIC
acct_000766,usr_000766,2026-01-09,META,camp_meta_003,ag_meta_003_001,cr_meta_007_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001468,usr_001468,2026-01-09,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000949,usr_000949,2026-01-09,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001417,usr_001417,2026-01-09,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001195,usr_001195,2026-01-09,,,,,SCRAPPY_INDEPENDENT,,True,SYNTHETIC
acct_000575,usr_000575,2026-01-09,META,camp_meta_001,ag_meta_001_001,cr_meta_001_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001624,usr_001624,2026-01-09,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_001,NEW_OWNER,,False,SYNTHETIC
acct_001609,usr_001609,2026-01-09,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_001,NEW_OWNER,,False,SYNTHETIC
acct_001874,usr_001874,2026-01-09,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000742,usr_000742,2026-01-10,META,camp_meta_002,ag_meta_002_003,cr_meta_006_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000548,usr_000548,2026-01-10,META,camp_meta_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001548,usr_001548,2026-01-10,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001862,usr_001862,2026-01-10,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000700,usr_000700,2026-01-10,META,camp_meta_002,ag_meta_002_002,cr_meta_005_001,NEW_OWNER,,False,SYNTHETIC
acct_001369,usr_001369,2026-01-10,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001819,usr_001819,2026-01-10,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001965,usr_001965,2026-01-10,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001246,usr_001246,2026-01-10,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000175,usr_000175,2026-01-10,GOOGLE_SEARCH,camp_google_001,ag_google_001_003,cr_google_024_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000230,usr_000230,2026-01-10,GOOGLE_SEARCH,camp_google_002,ag_google_002_001,cr_google_025_003,GROWTH_MINDED,,False,SYNTHETIC
acct_000637,usr_000637,2026-01-10,META,camp_meta_001,ag_meta_001_003,cr_meta_003_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001910,usr_001910,2026-01-10,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001697,usr_001697,2026-01-10,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_002,NEW_OWNER,,False,SYNTHETIC
acct_001499,usr_001499,2026-01-10,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001502,usr_001502,2026-01-10,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001027,usr_001027,2026-01-10,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001510,usr_001510,2026-01-10,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000669,usr_000669,2026-01-10,META,camp_meta_002,ag_meta_002_001,cr_meta_004_002,GROWTH_MINDED,,False,SYNTHETIC
acct_000680,usr_000680,2026-01-10,META,camp_meta_002,ag_meta_002_001,cr_meta_004_003,NEW_OWNER,,False,SYNTHETIC
acct_000765,usr_000765,2026-01-11,META,camp_meta_003,ag_meta_003_001,cr_meta_007_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000624,usr_000624,2026-01-11,META,camp_meta_001,ag_meta_001_002,cr_meta_002_003,NEW_OWNER,,False,SYNTHETIC
acct_001833,usr_001833,2026-01-11,TIKTOK,camp_tiktok_003,ag_tiktok_003_002,cr_tiktok_020_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000201,usr_000201,2026-01-11,GOOGLE_SEARCH,camp_google_002,ag_google_002_001,cr_google_025_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001098,usr_001098,2026-01-11,TIKTOK,camp_tiktok_001,ag_tiktok_001_002,cr_tiktok_014_002,COMMUNITY_FOCUSED,,False,SYNTHETIC
acct_001313,usr_001313,2026-01-11,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001292,usr_001292,2026-01-11,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001274,usr_001274,2026-01-11,TIKTOK,camp_tiktok_002,ag_tiktok_002_001,cr_tiktok_016_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001959,usr_001959,2026-01-11,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001172,usr_001172,2026-01-11,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001166,usr_001166,2026-01-11,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001158,usr_001158,2026-01-11,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001934,usr_001934,2026-01-11,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_002,GROWTH_MINDED,,False,SYNTHETIC
acct_000322,usr_000322,2026-01-11,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000406,usr_000406,2026-01-11,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001003,usr_001003,2026-01-11,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001883,usr_001883,2026-01-11,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001550,usr_001550,2026-01-11,,,,,GROWTH_MINDED,,True,SYNTHETIC
acct_000486,usr_000486,2026-01-11,GOOGLE_SEARCH,camp_google_002,ag_google_002_003,cr_google_027_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000501,usr_000501,2026-01-11,GOOGLE_SEARCH,camp_google_002,ag_google_002_003,cr_google_027_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000849,usr_000849,2026-01-11,META,camp_meta_003,ag_meta_003_003,cr_meta_009_002,NEW_OWNER,,False,SYNTHETIC
acct_000840,usr_000840,2026-01-11,META,camp_meta_003,ag_meta_003_003,cr_meta_009_002,NEW_OWNER,,False,SYNTHETIC
acct_000829,usr_000829,2026-01-11,META,camp_meta_003,ag_meta_003_002,cr_meta_008_003,NEW_OWNER,,False,SYNTHETIC
acct_000405,usr_000405,2026-01-12,GOOGLE_SEARCH,camp_google_002,ag_google_002_002,cr_google_026_003,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000560,usr_000560,2026-01-12,META,camp_meta_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_001873,usr_001873,2026-01-12,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001657,usr_001657,2026-01-12,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_002,NEW_OWNER,,False,SYNTHETIC
acct_000627,usr_000627,2026-01-12,META,camp_meta_001,ag_meta_001_002,cr_meta_002_003,NEW_OWNER,,False,SYNTHETIC
acct_000991,usr_000991,2026-01-12,,,,,DELIVERY_HEAVY,,True,SYNTHETIC
acct_000585,usr_000585,2026-01-12,META,camp_meta_001,ag_meta_001_002,cr_meta_002_001,NEW_OWNER,,False,SYNTHETIC
acct_000945,usr_000945,2026-01-12,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001151,usr_001151,2026-01-12,TIKTOK,camp_tiktok_001,ag_tiktok_001_003,cr_tiktok_015_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001437,usr_001437,2026-01-12,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001551,usr_001551,2026-01-12,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001457,usr_001457,2026-01-12,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000872,usr_000872,2026-01-12,META,camp_meta_004,ag_meta_004_001,cr_meta_010_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001345,usr_001345,2026-01-12,TIKTOK,camp_tiktok_002,ag_tiktok_002_002,cr_tiktok_017_001,GROWTH_MINDED,,False,SYNTHETIC
acct_001659,usr_001659,2026-01-12,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_002,NEW_OWNER,,False,SYNTHETIC
acct_000797,usr_000797,2026-01-12,META,camp_meta_003,ag_meta_003_001,cr_meta_007_003,DELIVERY_HEAVY,,False,SYNTHETIC
