creative_id,campaign_id,campaign_name,ad_group_id,channel,persona_segment,hook_type,creative_format,data_origin
cr_tiktok_018_001,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_003,TIKTOK,GROWTH_MINDED,SOCIAL_PROOF,STATIC_IMAGE,SYNTHETIC
cr_tiktok_018_002,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_003,TIKTOK,GROWTH_MINDED,DEMONSTRATION,SHORT_FORM_VIDEO,SYNTHETIC
cr_tiktok_018_003,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_003,TIKTOK,NEW_OWNER,SOCIAL_PROOF,SHORT_FORM_VIDEO,SYNTHETIC
cr_tiktok_019_001,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_001,TIKTOK,NEW_OWNER,OUTCOME,PRODUCT_DEMO,SYNTHETIC
cr_tiktok_019_002,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_001,TIKTOK,NEW_OWNER,FEAR_OF_MISSING_OUT,UGC_VIDEO,SYNTHETIC
cr_tiktok_019_003,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_001,TIKTOK,COMMUNITY_FOCUSED,DEMONSTRATION,PRODUCT_DEMO,SYNTHETIC
cr_tiktok_020_001,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_002,TIKTOK,GROWTH_MINDED,CONTRAST,UGC_VIDEO,SYNTHETIC
cr_tiktok_020_002,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_002,TIKTOK,SCRAPPY_INDEPENDENT,CONTRAST,CAROUSEL,SYNTHETIC
cr_tiktok_020_003,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_002,TIKTOK,DELIVERY_HEAVY,DEMONSTRATION,UGC_VIDEO,SYNTHETIC
cr_tiktok_021_001,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_003,TIKTOK,GROWTH_MINDED,SOCIAL_PROOF,PRODUCT_DEMO,SYNTHETIC
cr_tiktok_021_002,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_003,TIKTOK,GROWTH_MINDED,DEMONSTRATION,UGC_VIDEO,SYNTHETIC
cr_tiktok_021_003,camp_tiktok_003,TikTok - Before/After,ag_tiktok_003_003,TIKTOK,GROWTH_MINDED,CONTRAST,STATIC_IMAGE,SYNTHETIC
cr_google_022_001,camp_google_001,Google - Branded,ag_google_001_001,GOOGLE_SEARCH,GROWTH_MINDED,FEAR_OF_MISSING_OUT,PRODUCT_DEMO,SYNTHETIC
cr_google_022_002,camp_google_001,Google - Branded,ag_google_001_001,GOOGLE_SEARCH,GROWTH_MINDED,CONTRAST,STATIC_IMAGE,SYNTHETIC
cr_google_022_003,camp_google_001,Google - Branded,ag_google_001_001,GOOGLE_SEARCH,GROWTH_MINDED,CONTRAST,SHORT_FORM_VIDEO,SYNTHETIC
cr_google_023_001,camp_google_001,Google - Branded,ag_google_001_002,GOOGLE_SEARCH,DELIVERY_HEAVY,OUTCOME,PRODUCT_DEMO,SYNTHETIC
cr_google_023_002,camp_google_001,Google - Branded,ag_google_001_002,GOOGLE_SEARCH,NEW_OWNER,DEMONSTRATION,UGC_VIDEO,SYNTHETIC
cr_google_023_003,camp_google_001,Google - Branded,ag_google_001_002,GOOGLE_SEARCH,NEW_OWNER,FEAR_OF_MISSING_OUT,CAROUSEL,SYNTHETIC
cr_google_024_001,camp_google_001,Google - Branded,ag_google_001_003,GOOGLE_SEARCH,NEW_OWNER,SOCIAL_PROOF,CAROUSEL,SYNTHETIC
cr_google_024_002,camp_google_001,Google - Branded,ag_google_001_003,GOOGLE_SEARCH,GROWTH_MINDED,CONTRAST,UGC_VIDEO,SYNTHETIC
cr_google_024_003,camp_google_001,Google - Branded,ag_google_001_003,GOOGLE_SEARCH,SCRAPPY_INDEPENDENT,DEMONSTRATION,UGC_VIDEO,SYNTHETIC
cr_google_025_001,camp_google_002,Google - Non-Branded,ag_google_002_001,GOOGLE_SEARCH,SCRAPPY_INDEPENDENT,CONTRAST,UGC_VIDEO,SYNTHETIC
cr_google_025_002,camp_google_002,Google - Non-Branded,ag_google_002_001,GOOGLE_SEARCH,GROWTH_MINDED,FEAR_OF_MISSING_OUT,UGC_VIDEO,SYNTHETIC
cr_google_025_003,camp_google_002,Google - Non-Branded,ag_google_002_001,GOOGLE_SEARCH,GROWTH_MINDED,OUTCOME,SHORT_FORM_VIDEO,SYNTHETIC
cr_google_026_001,camp_google_002,Google - Non-Branded,ag_google_002_002,GOOGLE_SEARCH,DELIVERY_HEAVY,OUTCOME,UGC_VIDEO,SYNTHETIC
cr_google_026_002,camp_google_002,Google - Non-Branded,ag_google_002_002,GOOGLE_SEARCH,SCRAPPY_INDEPENDENT,FEAR_OF_MISSING_OUT,UGC_VIDEO,SYNTHETIC
cr_google_026_003,camp_google_002,Google - Non-Branded,ag_google_002_002,GOOGLE_SEARCH,SCRAPPY_INDEPENDENT,OUTCOME,PRODUCT_DEMO,SYNTHETIC
cr_google_027_001,camp_google_002,Google - Non-Branded,ag_google_002_003,GOOGLE_SEARCH,DELIVERY_HEAVY,DEMONSTRATION,SHORT_FORM_VIDEO,SYNTHETIC
cr_google_027_002,camp_google_002,Google - Non-Branded,ag_google_002_003,GOOGLE_SEARCH,SCRAPPY_INDEPENDENT,CONTRAST,SHORT_FORM_VIDEO,SYNTHETIC
cr_google_027_003,camp_google_002,Google - Non-Branded,ag_google_002_003,GOOGLE_SEARCH,SCRAPPY_INDEPENDENT,OUTCOME,CAROUSEL,SYNTHETIC
cr_linkedin_028_001,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_001,LINKEDIN,GROWTH_MINDED,CONTRAST,CAROUSEL,SYNTHETIC
cr_linkedin_028_002,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_001,LINKEDIN,DELIVERY_HEAVY,SOCIAL_PROOF,PRODUCT_DEMO,SYNTHETIC
cr_linkedin_028_003,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_001,LINKEDIN,DELIVERY_HEAVY,FEAR_OF_MISSING_OUT,CAROUSEL,SYNTHETIC
cr_linkedin_029_001,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_002,LINKEDIN,GROWTH_MINDED,CONTRAST,STATIC_IMAGE,SYNTHETIC
cr_linkedin_029_002,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_002,LINKEDIN,DELIVERY_HEAVY,OUTCOME,UGC_VIDEO,SYNTHETIC
cr_linkedin_029_003,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_002,LINKEDIN,SCRAPPY_INDEPENDENT,DEMONSTRATION,CAROUSEL,SYNTHETIC
cr_linkedin_030_001,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_003,LINKEDIN,GROWTH_MINDED,DEMONSTRATION,STATIC_IMAGE,SYNTHETIC
cr_linkedin_030_002,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_003,LINKEDIN,COMMUNITY_FOCUSED,DEMONSTRATION,PRODUCT_DEMO,SYNTHETIC
cr_linkedin_030_003,camp_linkedin_001,LinkedIn - Decision Maker,ag_linkedin_001_003,LINKEDIN,SCRAPPY_INDEPENDENT,FEAR_OF_MISSING_OUT,SHORT_FORM_VIDEO,SYNTHETIC
