revenue_event_id,account_id,subscription_id,event_date,event_type,amount_usd,month_num,location_count,data_origin
rev_0000057,acct_000572,sub_acct_000572,2026-02-02,MRR,199,0,1,SYNTHETIC
rev_0000058,acct_001124,sub_acct_001124,2026-02-02,MRR,99,0,1,SYNTHETIC
rev_0000059,acct_001124,sub_acct_001124,2026-03-04,MRR,99,1,1,SYNTHETIC
rev_0000060,acct_001827,sub_acct_001827,2026-02-22,MRR,399,0,1,SYNTHETIC
rev_0000061,acct_001827,sub_acct_001827,2026-03-24,MRR,399,1,1,SYNTHETIC
rev_0000062,acct_000363,sub_acct_000363,2026-02-03,MRR,99,0,1,SYNTHETIC
rev_0000063,acct_000363,sub_acct_000363,2026-03-05,MRR,99,1,1,SYNTHETIC
rev_0000064,acct_000853,sub_acct_000853,2026-02-17,MRR,399,0,1,SYNTHETIC
rev_0000065,acct_000853,sub_acct_000853,2026-03-19,MRR,399,1,1,SYNTHETIC
rev_0000066,acct_001220,sub_acct_001220,2026-02-15,MRR,99,0,1,SYNTHETIC
rev_0000067,acct_001220,sub_acct_001220,2026-03-17,MRR,99,1,1,SYNTHETIC
rev_0000068,acct_001505,sub_acct_001505,2026-02-18,MRR,99,0,1,SYNTHETIC
rev_0000069,acct_001505,sub_acct_001505,2026-03-20,MRR,99,1,1,SYNTHETIC
rev_0000070,acct_001074,sub_acct_001074,2026-03-02,MRR,99,0,1,SYNTHETIC
rev_0000071,acct_001712,sub_acct_001712,2026-02-03,MRR,99,0,1,SYNTHETIC
rev_0000072,acct_001755,sub_acct_001755,2026-02-04,MRR,398,0,2,SYNTHETIC
rev_0000073,acct_000968,sub_acct_000968,2026-02-07,MRR,99,0,1,SYNTHETIC
rev_0000074,acct_000968,sub_acct_000968,2026-03-09,MRR,99,1,1,SYNTHETIC
rev_0000075,acct_000435,sub_acct_000435,2026-02-04,MRR,99,0,1,SYNTHETIC
rev_0000076,acct_000435,sub_acct_000435,2026-03-06,MRR,99,1,1,SYNTHETIC
rev_0000077,acct_001763,sub_acct_001763,2026-02-14,MRR,399,0,1,SYNTHETIC
rev_0000078,acct_001725,sub_acct_001725,2026-02-05,MRR,99,0,1,SYNTHETIC
rev_0000079,acct_001725,sub_acct_001725,2026-03-07,MRR,99,1,1,SYNTHETIC
rev_0000080,acct_000276,sub_acct_000276,2026-02-12,MRR,199,0,1,SYNTHETIC
rev_0000081,acct_000276,sub_acct_000276,2026-03-14,MRR,199,1,1,SYNTHETIC
rev_0000082,acct_000677,sub_acct_000677,2026-02-17,MRR,198,0,2,SYNTHETIC
rev_0000083,acct_000677,sub_acct_000677,2026-03-19,MRR,198,1,2,SYNTHETIC
rev_0000084,acct_000524,sub_acct_000524,2026-02-18,MRR,199,0,1,SYNTHETIC
rev_0000085,acct_000524,sub_acct_000524,2026-03-20,MRR,199,1,1,SYNTHETIC
rev_0000086,acct_001655,sub_acct_001655,2026-02-19,MRR,199,0,1,SYNTHETIC
rev_0000087,acct_001655,sub_acct_001655,2026-03-21,MRR,199,1,1,SYNTHETIC
rev_0000088,acct_001223,sub_acct_001223,2026-02-24,MRR,99,0,1,SYNTHETIC
rev_0000089,acct_000207,sub_acct_000207,2026-02-09,MRR,199,0,1,SYNTHETIC
rev_0000090,acct_000207,sub_acct_000207,2026-03-11,MRR,199,1,1,SYNTHETIC
rev_0000091,acct_001367,sub_acct_001367,2026-02-28,MRR,199,0,1,SYNTHETIC
rev_0000092,acct_000815,sub_acct_000815,2026-03-04,MRR,597,0,3,SYNTHETIC
rev_0000093,acct_000085,sub_acct_000085,2026-02-19,MRR,99,0,1,SYNTHETIC
rev_0000094,acct_000085,sub_acct_000085,2026-03-21,MRR,99,1,1,SYNTHETIC
rev_0000095,acct_000864,sub_acct_000864,2026-02-24,MRR,99,0,1,SYNTHETIC
rev_0000096,acct_000864,sub_acct_000864,2026-03-26,MRR,99,1,1,SYNTHETIC
rev_0000097,acct_001213,sub_acct_001213,2026-02-18,MRR,399,0,1,SYNTHETIC
rev_0000098,acct_001213,sub_acct_001213,2026-03-20,MRR,399,1,1,SYNTHETIC
rev_0000099,acct_001515,sub_acct_001515,2026-02-13,MRR,198,0,2,SYNTHETIC
rev_0000100,acct_001515,sub_acct_001515,2026-03-15,MRR,198,1,2,SYNTHETIC
rev_0000101,acct_000993,sub_acct_000993,2026-02-16,MRR,99,0,1,SYNTHETIC
rev_0000102,acct_000993,sub_acct_000993,2026-03-18,MRR,99,1,1,SYNTHETIC
rev_0000103,acct_001057,sub_acct_001057,2026-02-24,MRR,99,0,1,SYNTHETIC
rev_0000104,acct_001057,sub_acct_001057,2026-03-26,MRR,99,1,1,SYNTHETIC
rev_0000105,acct_000779,sub_acct_000779,2026-02-18,MRR,399,0,1,SYNTHETIC
rev_0000106,acct_000151,sub_acct_000151,2026-02-22,MRR,199,0,1,SYNTHETIC
rev_0000107,acct_000151,sub_acct_000151,2026-03-24,MRR,199,1,1,SYNTHETIC
rev_0000108,acct_000458,sub_acct_000458,2026-02-10,MRR,398,0,2,SYNTHETIC
rev_0000109,acct_000458,sub_acct_000458,2026-03-12,MRR,398,1,2,SYNTHETIC
rev_0000110,acct_000277,sub_acct_000277,2026-02-10,MRR,198,0,2,SYNTHETIC
rev_0000111,acct_000277,sub_acct_000277,2026-03-12,MRR,198,1,2,SYNTHETIC
rev_0000112,acct_001330,sub_acct_001330,2026-02-22,MRR,99,0,1,SYNTHETIC
rev_0000113,acct_000819,sub_acct_000819,2026-02-13,MRR,199,0,1,SYNTHETIC
rev_0000114,acct_000819,sub_acct_000819,2026-03-15,MRR,199,1,1,SYNTHETIC
rev_0000115,acct_001595,sub_acct_001595,2026-02-18,MRR,99,0,1,SYNTHETIC
rev_0000116,acct_001595,sub_acct_001595,2026-03-20,MRR,99,1,1,SYNTHETIC
rev_0000117,acct_000882,sub_acct_000882,2026-02-11,MRR,399,0,1,SYNTHETIC
rev_0000118,acct_000882,sub_acct_000882,2026-03-13,MRR,399,1,1,SYNTHETIC
rev_0000119,acct_000965,sub_acct_000965,2026-02-25,MRR,199,0,1,SYNTHETIC
rev_0000120,acct_001627,sub_acct_001627,2026-02-14,MRR,198,0,2,SYNTHETIC
rev_0000121,acct_001627,sub_acct_001627,2026-03-16,MRR,198,1,2,SYNTHETIC
rev_0000122,acct_001722,sub_acct_001722,2026-02-25,MRR,199,0,1,SYNTHETIC
rev_0000123,acct_001722,sub_acct_001722,2026-03-27,MRR,199,1,1,SYNTHETIC
rev_0000124,acct_001301,sub_acct_001301,2026-03-05,MRR,199,0,1,SYNTHETIC
rev_0000125,acct_001781,sub_acct_001781,2026-02-14,MRR,198,0,2,SYNTHETIC
rev_0000126,acct_001781,sub_acct_001781,2026-03-16,MRR,198,1,2,SYNTHETIC
rev_0000127,acct_000692,sub_acct_000692,2026-03-06,MRR,199,0,1,SYNTHETIC
rev_0000128,acct_001958,sub_acct_001958,2026-03-09,MRR,798,0,2,SYNTHETIC
rev_0000129,acct_000466,sub_acct_000466,2026-02-14,MRR,198,0,2,SYNTHETIC
rev_0000130,acct_000466,sub_acct_000466,2026-03-16,MRR,198,1,2,SYNTHETIC
rev_0000131,acct_001646,sub_acct_001646,2026-02-26,MRR,199,0,1,SYNTHETIC
rev_0000132,acct_001435,sub_acct_001435,2026-03-12,MRR,199,0,1,SYNTHETIC
rev_0000133,acct_000434,sub_acct_000434,2026-02-23,MRR,398,0,2,SYNTHETIC
rev_0000134,acct_000434,sub_acct_000434,2026-03-25,MRR,398,1,2,SYNTHETIC
rev_0000135,acct_001165,sub_acct_001165,2026-03-09,MRR,99,0,1,SYNTHETIC
rev_0000136,acct_001271,sub_acct_001271,2026-03-08,MRR,99,0,1,SYNTHETIC
rev_0000137,acct_001789,sub_acct_001789,2026-03-03,MRR,99,0,1,SYNTHETIC
rev_0000138,acct_000310,sub_acct_000310,2026-02-26,MRR,99,0,1,SYNTHETIC
rev_0000139,acct_000310,sub_acct_000310,2026-03-28,MRR,99,1,1,SYNTHETIC
rev_0000140,acct_001054,sub_acct_001054,2026-02-21,MRR,99,0,1,SYNTHETIC
rev_0000141,acct_000259,sub_acct_000259,2026-02-22,MRR,199,0,1,SYNTHETIC
rev_0000142,acct_000259,sub_acct_000259,2026-03-24,MRR,199,1,1,SYNTHETIC
rev_0000143,acct_000891,sub_acct_000891,2026-02-20,MRR,199,0,1,SYNTHETIC
rev_0000144,acct_000891,sub_acct_000891,2026-03-22,MRR,199,1,1,SYNTHETIC
rev_0000145,acct_001196,sub_acct_001196,2026-03-08,MRR,99,0,1,SYNTHETIC
rev_0000146,acct_001358,sub_acct_001358,2026-02-25,MRR,99,0,1,SYNTHETIC
rev_0000147,acct_001358,sub_acct_001358,2026-03-27,MRR,99,1,1,SYNTHETIC
rev_0000148,acct_001464,sub_acct_001464,2026-02-22,MRR,398,0,2,SYNTHETIC
rev_0000149,acct_001464,sub_acct_001464,2026-03-24,MRR,398,1,2,SYNTHETIC
rev_0000150,acct_001500,sub_acct_001500,2026-02-27,MRR,398,0,2,SYNTHETIC
rev_0000151,acct_001500,sub_acct_001500,2026-03-29,MRR,398,1,2,SYNTHETIC
rev_0000152,acct_000541,sub_acct_000541,2026-02-28,MRR,198,0,2,SYNTHETIC
rev_0000153,acct_001967,sub_acct_001967,2026-02-18,MRR,199,0,1,SYNTHETIC
rev_0000154,acct_001967,sub_acct_001967,2026-03-20,MRR,199,1,1,SYNTHETIC
rev_0000155,acct_001909,sub_acct_001909,2026-03-01,MRR,597,0,3,SYNTHETIC
rev_0000156,acct_000943,sub_acct_000943,2026-03-15,MRR,199,0,1,SYNTHETIC
rev_0000157,acct_000119,sub_acct_000119,2026-03-19,MRR,99,0,1,SYNTHETIC
rev_0000158,acct_001194,sub_acct_001194,2026-03-09,MRR,99,0,1,SYNTHETIC
rev_0000159,acct_000676,sub_acct_000676,2026-03-07,MRR,99,0,1,SYNTHETIC
rev_0000160,acct_001050,sub_acct_001050,2026-03-11,MRR,99,0,1,SYNTHETIC
rev_0000161,acct_001269,sub_acct_001269,2026-02-20,MRR,99,0,1,SYNTHETIC
rev_0000162,acct_000174,sub_acct_000174,2026-03-01,MRR,99,0,1,SYNTHETIC
rev_0000163,acct_001295,sub_acct_001295,2026-02-21,MRR,199,0,1,SYNTHETIC
rev_0000164,acct_000632,sub_acct_000632,2026-03-08,MRR,399,0,1,SYNTHETIC
rev_0000165,acct_000768,sub_acct_000768,2026-02-21,MRR,399,0,1,SYNTHETIC
rev_0000166,acct_000768,sub_acct_000768,2026-03-23,MRR,399,1,1,SYNTHETIC
rev_0000167,acct_001960,sub_acct_001960,2026-03-11,MRR,399,0,1,SYNTHETIC
rev_0000168,acct_000499,sub_acct_000499,2026-03-05,MRR,99,0,1,SYNTHETIC
rev_0000169,acct_001299,sub_acct_001299,2026-02-27,MRR,399,0,1,SYNTHETIC
rev_0000170,acct_001299,sub_acct_001299,2026-03-29,MRR,399,1,1,SYNTHETIC
rev_0000171,acct_001459,sub_acct_001459,2026-03-19,MRR,99,0,1,SYNTHETIC
rev_0000172,acct_001778,sub_acct_001778,2026-03-06,MRR,99,0,1,SYNTHETIC
rev_0000173,acct_000156,sub_acct_000156,2026-03-14,MRR,399,0,1,SYNTHETIC
rev_0000174,acct_001112,sub_acct_001112,2026-02-23,MRR,199,0,1,SYNTHETIC
rev_0000175,acct_001112,sub_acct_001112,2026-03-25,MRR,199,1,1,SYNTHETIC
rev_0000176,acct_001111,sub_acct_001111,2026-03-02,MRR,99,0,1,SYNTHETIC
rev_0000177,acct_000809,sub_acct_000809,2026-03-14,MRR,199,0,1,SYNTHETIC
rev_0000178,acct_000582,sub_acct_000582,2026-03-05,MRR,398,0,2,SYNTHETIC
rev_0000179,acct_001481,sub_acct_001481,2026-02-25,MRR,99,0,1,SYNTHETIC
rev_0000180,acct_001481,sub_acct_001481,2026-03-27,MRR,99,1,1,SYNTHETIC
rev_0000181,acct_000121,sub_acct_000121,2026-03-20,MRR,99,0,1,SYNTHETIC
rev_0000182,acct_001736,sub_acct_001736,2026-03-17,MRR,99,0,1,SYNTHETIC
rev_0000183,acct_000470,sub_acct_000470,2026-02-27,MRR,199,0,1,SYNTHETIC
rev_0000184,acct_000470,sub_acct_000470,2026-03-29,MRR,199,1,1,SYNTHETIC
rev_0000185,acct_001052,sub_acct_001052,2026-03-02,MRR,798,0,2,SYNTHETIC
rev_0000186,acct_000160,sub_acct_000160,2026-03-08,MRR,99,0,1,SYNTHETIC
rev_0000187,acct_000900,sub_acct_000900,2026-03-21,MRR,99,0,1,SYNTHETIC
rev_0000188,acct_000842,sub_acct_000842,2026-03-13,MRR,99,0,1,SYNTHETIC
rev_0000189,acct_001129,sub_acct_001129,2026-03-20,MRR,99,0,1,SYNTHETIC
rev_0000190,acct_000102,sub_acct_000102,2026-03-09,MRR,99,0,1,SYNTHETIC
rev_0000191,acct_001509,sub_acct_001509,2026-03-03,MRR,199,0,1,SYNTHETIC
rev_0000192,acct_001518,sub_acct_001518,2026-03-08,MRR,198,0,2,SYNTHETIC
rev_0000193,acct_000816,sub_acct_000816,2026-03-18,MRR,399,0,1,SYNTHETIC
rev_0000194,acct_000869,sub_acct_000869,2026-02-28,MRR,99,0,1,SYNTHETIC
rev_0000195,acct_001419,sub_acct_001419,2026-02-28,MRR,99,0,1,SYNTHETIC
rev_0000196,acct_001580,sub_acct_001580,2026-03-01,MRR,99,0,1,SYNTHETIC
rev_0000197,acct_001359,sub_acct_001359,2026-03-24,MRR,99,0,1,SYNTHETIC
rev_0000198,acct_001068,sub_acct_001068,2026-03-25,MRR,99,0,1,SYNTHETIC
rev_0000199,acct_000287,sub_acct_000287,2026-03-10,MRR,199,0,1,SYNTHETIC
rev_0000200,acct_001695,sub_acct_001695,2026-03-03,MRR,199,0,1,SYNTHETIC
rev_0000201,acct_000298,sub_acct_000298,2026-03-28,MRR,399,0,1,SYNTHETIC
rev_0000202,acct_000381,sub_acct_000381,2026-03-21,MRR,199,0,1,SYNTHETIC
rev_0000203,acct_000594,sub_acct_000594,2026-03-02,MRR,99,0,1,SYNTHETIC
rev_0000204,acct_000392,sub_acct_000392,2026-03-06,MRR,199,0,1,SYNTHETIC
rev_0000205,acct_000370,sub_acct_000370,2026-03-26,MRR,99,0,1,SYNTHETIC
rev_0000206,acct_000257,sub_acct_000257,2026-03-06,MRR,99,0,1,SYNTHETIC
rev_0000207,acct_001382,sub_acct_001382,2026-03-03,MRR,199,0,1,SYNTHETIC
rev_0000208,acct_000727,sub_acct_000727,2026-03-03,MRR,199,0,1,SYNTHETIC
rev_0000209,acct_000262,sub_acct_000262,2026-03-16,MRR,99,0,1,SYNTHETIC
rev_0000210,acct_000376,sub_acct_000376,2026-03-16,MRR,199,0,1,SYNTHETIC
rev_0000211,acct_000265,sub_acct_000265,2026-03-03,MRR,199,0,1,SYNTHETIC
rev_0000212,acct_000375,sub_acct_000375,2026-03-17,MRR,199,0,1,SYNTHETIC
rev_0000213,acct_000255,sub_acct_000255,2026-03-13,MRR,99,0,1,SYNTHETIC
rev_0000214,acct_000393,sub_acct_000393,2026-03-26,MRR,99,0,1,SYNTHETIC
rev_0000215,acct_000361,sub_acct_000361,2026-03-09,MRR,399,0,1,SYNTHETIC
rev_0000216,acct_000396,sub_acct_000396,2026-03-21,MRR,99,0,1,SYNTHETIC
rev_0000217,acct_000319,sub_acct_000319,2026-03-19,MRR,199,0,1,SYNTHETIC
rev_0000218,acct_000330,sub_acct_000330,2026-03-16,MRR,198,0,2,SYNTHETIC
rev_0000219,acct_000391,sub_acct_000391,2026-03-11,MRR,99,0,1,SYNTHETIC
rev_0000220,acct_000895,sub_acct_000895,2026-03-20,MRR,199,0,1,SYNTHETIC
rev_0000221,acct_000998,sub_acct_000998,2026-03-13,MRR,99,0,1,SYNTHETIC
rev_0000222,acct_001047,sub_acct_001047,2026-03-17,MRR,399,0,1,SYNTHETIC
rev_0000223,acct_000439,sub_acct_000439,2026-03-13,MRR,99,0,1,SYNTHETIC
rev_0000224,acct_001315,sub_acct_001315,2026-03-12,MRR,199,0,1,SYNTHETIC
rev_0000225,acct_001847,sub_acct_001847,2026-03-27,MRR,199,0,1,SYNTHETIC
rev_0000226,acct_000195,sub_acct_000195,2026-03-18,MRR,99,0,1,SYNTHETIC
rev_0000227,acct_001775,sub_acct_001775,2026-03-11,MRR,399,0,1,SYNTHETIC
rev_0000228,acct_001339,sub_acct_001339,2026-03-21,MRR,399,0,1,SYNTHETIC
rev_0000229,acct_001190,sub_acct_001190,2026-03-22,MRR,398,0,2,SYNTHETIC
rev_0000230,acct_001063,sub_acct_001063,2026-03-21,MRR,399,0,1,SYNTHETIC
rev_0000231,acct_001900,sub_acct_001900,2026-03-17,MRR,399,0,1,SYNTHETIC
rev_0000232,acct_001153,sub_acct_001153,2026-03-29,MRR,99,0,1,SYNTHETIC
rev_0000233,acct_000037,sub_acct_000037,2026-03-18,MRR,399,0,1,SYNTHETIC
rev_0000234,acct_001540,sub_acct_001540,2026-03-23,MRR,399,0,1,SYNTHETIC
rev_0000235,acct_001641,sub_acct_001641,2026-03-11,MRR,99,0,1,SYNTHETIC
rev_0000236,acct_001375,sub_acct_001375,2026-03-12,MRR,597,0,3,SYNTHETIC
rev_0000237,acct_000106,sub_acct_000106,2026-03-19,MRR,99,0,1,SYNTHETIC
rev_0000238,acct_001260,sub_acct_001260,2026-03-27,MRR,199,0,1,SYNTHETIC
rev_0000239,acct_000390,sub_acct_000390,2026-03-16,MRR,199,0,1,SYNTHETIC
rev_0000240,acct_000997,sub_acct_000997,2026-03-17,MRR,399,0,1,SYNTHETIC
rev_0000241,acct_001482,sub_acct_001482,2026-03-16,MRR,199,0,1,SYNTHETIC
rev_0000242,acct_000123,sub_acct_000123,2026-03-21,MRR,99,0,1,SYNTHETIC
rev_0000243,acct_001956,sub_acct_001956,2026-03-29,MRR,99,0,1,SYNTHETIC
rev_0000244,acct_000857,sub_acct_000857,2026-03-25,MRR,399,0,1,SYNTHETIC
rev_0000245,acct_001835,sub_acct_001835,2026-03-27,MRR,99,0,1,SYNTHETIC
rev_0000246,acct_001119,sub_acct_001119,2026-03-23,MRR,199,0,1,SYNTHETIC
rev_0000247,acct_001125,sub_acct_001125,2026-03-29,MRR,99,0,1,SYNTHETIC
rev_0000248,acct_000568,sub_acct_000568,2026-03-29,MRR,99,0,1,SYNTHETIC
rev_0000249,acct_000027,sub_acct_000027,2026-03-24,MRR,198,0,2,SYNTHETIC
rev_0000250,acct_001692,sub_acct_001692,2026-03-25,MRR,199,0,1,SYNTHETIC
rev_0000251,acct_000596,sub_acct_000596,2026-03-26,MRR,199,0,1,SYNTHETIC
rev_0000252,acct_000703,sub_acct_000703,2026-03-29,MRR,99,0,1,SYNTHETIC
rev_0000253,acct_000161,sub_acct_000161,2026-03-26,MRR,99,0,1,SYNTHETIC
rev_0000254,acct_001318,sub_acct_001318,2026-03-28,MRR,399,0,1,SYNTHETIC
rev_0000255,acct_001528,sub_acct_001528,2026-03-29,MRR,297,0,3,SYNTHETIC
